Mixture,Other,Non-inflammatory_Macrophage,alpha-beta_T_Cells,Inflammatory_Macrophage,NK-like_Cells,gamma-delta_T_Cells,Mature_B_Cells,Plasma_Cells,P-value,Correlation,RMSE
GSM2053444,0.795506289880846,0.00798935822082817,0.047992369634512,0,0.00522768376013422,0.108365377980874,0.0349189205228058,0,0,0.869741908394891,0.62394620609038
GSM2053438,0.609369356964319,0.0465868886358693,0.107406787934438,0.0278768044004013,0.0457147810954422,0.10519841565872,0.0578469653108109,0,0,0.839820766275733,0.571418860511414
GSM2053485,0.193257628141679,0.00192480201638085,0.157202540652587,0.207958933269522,0.0701065894163376,0.156603062139351,0.0244893091894614,0.188457135174682,0,0.628370827447644,0.781940431118182
GSM2053456,0.368024095497559,0.0679989320968913,0.16291654409763,0.0850835493747297,0.0424053600451179,0.0496851544981674,0.0936160046251517,0.130270359764753,0,0.770800109921286,0.641673711250943
GSM2053473,0.234100787286489,0,0.186954477494167,0.115941764954197,0.121642299991593,0.0672727636866092,0.0143749573099884,0.259712949276956,0,0.610377611162724,0.793224278653749
GSM2053478,0.378538434876968,0.00241902404711163,0.199941154723531,0.0730906259735607,0.164208167336775,0.0146213858211487,0.0884554002507226,0.0787258069701833,0,0.730114513811928,0.686828728840566
GSM2053460,0.3689775050593,0.0377540412726724,0.176402708617552,0.107461370034351,0,0.189411140614455,0.0657020764474069,0.0542911579542633,0,0.766400292584166,0.648737483441463
GSM2053466,0.30612804297578,0.105769277102331,0.177487961514771,0.148652768131601,0.0504108055971169,0.0898907199931458,0.0832141096958984,0.0384463149893554,0,0.714855384821283,0.701032722546891
GSM2053484,0.376614757893815,0.0386638721885546,0.257438644225304,0.0683804716670184,0.0397379668737502,0.0357555884489977,0.0555430303530288,0.127865668349531,0,0.692188844384735,0.723755848803773
GSM2053454,0.63910724717822,0.0478075741724703,0.108186583140338,0,0.0236712217260345,0.121710759957277,0.0595166138256604,0,0,0.858887043262196,0.54827716603482
GSM2053479,0.0434875015454555,0.0663670220974136,0.187891631400537,0.137225472047527,0.0976160664450986,0.0846507661233751,0.189687592634758,0.193073947705836,0,0.716016177551117,0.731045921913073
GSM2053448,0.688005391088064,0.0392303074610311,0.0905196657476841,0.00528208940161165,0.0154705448943491,0.107700611296867,0.0537913901103933,0,0,0.851252039748587,0.587235711882873
GSM2053435,0.427058564427054,0.0664746110346471,0.271781852338094,0.0750389517493121,0.0413147596748806,0.0505422644379473,0.0677889963380655,0,0,0.774420446180302,0.635953086467456
GSM2053464,0.396568396273933,0.0344515057328495,0.203954135060119,0.059294989682228,0.0946292511583222,0,0.0853488945613374,0.125752827531211,0,0.70855490231561,0.70815102179468
GSM2053459,0.0885164520818552,0.0417091903262382,0.215588144176985,0.0725157253799336,0.0706702508020114,0.170074572015008,0.152178226718167,0.188747438499801,0,0.66693516444551,0.774247021394214
GSM2053489,0.472569671948795,0.0516291473772736,0.153134609165118,0.0335226855712811,0.0565300959919979,0.0991266837833156,0.0886865185350483,0.0448005876271707,0,0.78801397162526,0.620747500332252
GSM2053439,0.571397181244096,0.0735418069260051,0.163219941441316,0.0325347155798766,0.0367968536440379,0.0884434581779252,0.0340660429867435,0,0,0.803492935379747,0.619783418071358
GSM2053457,0.372487904290096,0.0891078365359479,0.171446811570651,0.113820318006746,0.0363618677209137,0.0681792718155513,0.10365545799466,0.0449405320654341,0,0.822803325716474,0.577480732494949
GSM2053492,0.400328165409701,0.0460867083972391,0.16577613427364,0.0675104691865364,0.111585882038753,0.0816086678939503,0.0319555102706426,0.0951484625295386,0,0.692548939418752,0.724577652785413
GSM2053491,0.229116655517995,0.0378301174651985,0.210198566250808,0.107811711188507,0.132639784683102,0.104524204395347,0.0338719045531438,0.1440070559459,0,0.63199957048378,0.779373276475545
GSM2053451,0.699580980318,0.0036184945208353,0.0953527234034029,0.00496088319227249,0.00640733680279159,0.138053050099761,0.0520265316629367,0,0,0.84532067897139,0.598468328237492
GSM2053471,0.251771564855227,0.0378367484438991,0.217744415997623,0.0356798071038804,0.15062474391079,0.100849164642607,0.0130739674565409,0.192419587589432,0,0.669873092986218,0.750872410426434
GSM2053443,0.691229077269658,0.0229786012140092,0.102674104150489,0.0197648027503752,0,0.112567096500661,0.0507863181148083,0,0,0.826706106502317,0.630891521435063
GSM2053483,0.651021969086153,0.0302684873825332,0.129083849867662,0.0254245264931735,0,0.124564997447137,0.0396361697233414,0,0,0.818181148061204,0.623688415922435
GSM2053450,0.726877425661626,0.0488422536721682,0.0606213177948902,0,0.0132223743464721,0.109541898941027,0.0408947295838158,0,0,0.852028806345799,0.612860577943193
GSM2053472,0.422455946755515,0.0510558554407753,0.149333238552745,0.0729793885680351,0.121688949855118,0.0660731792899309,0.0374487782364637,0.0789646633014173,0,0.682507813077013,0.73733386983544
