Mixture,Other,Non-inflammatory_Macrophage,alpha-beta_T_Cells,Inflammatory_Macrophage,NK-like_Cells,gamma-delta_T_Cells,Mature_B_Cells,Plasma_Cells,P-value,Correlation,RMSE
RK280_Liver,0.489420014458672,0.0769528859461074,0.129797002835908,0.107914561047375,0.064171498647097,0.0517769441769938,0.0459852951272255,0.0339817977606213,0,0.897420023756312,0.504624740373424
RK226_Cancer,0.00383001105284658,0.0583148519287883,0.130133543554544,0.414716375312337,0.0438201003037845,0.0788301963331752,0.0195379746272187,0.250816946887306,0,0.75620771784183,0.665982703852762
RK007_Liver,0.772594201473501,0.0325027508575045,0.0513237232924137,0.0225690369979351,0.040693632644209,0.0457010337373187,0.0346156209971178,0,0,0.936519230480379,0.386171515235036
RK004_Liver,0.230054052050457,0.161501188787329,0.215251625222043,0.146866158665077,0.0638802976639111,0.0881534474675421,0.0557183078581145,0.0385749222855263,0,0.886294576649448,0.518556297140865
RK119_Liver,0.579098659757672,0.0490590507871039,0.073151691748066,0.0948869128389952,0.0688498521120418,0.0503300753685281,0.050994329412515,0.0336294279750776,0,0.927874425921538,0.44597446734615
RK191_Liver,0.60505443446605,0.112298976250783,0.07709518094598,0.0378412441846154,0.0589394380102234,0.049335070821487,0.0434992507583491,0.0159364045625119,0,0.93443681342043,0.402805874161261
RK081_Liver,0.669194234937982,0.0695372430898222,0,0.0386893044087561,0.0271965889196507,0.115281782559287,0.0801008460845021,0,0,0.911357059106435,0.444126195733064
RK172_Liver,0.642767520755184,0.0780937177616194,0.0698482435938746,0.0389328078399111,0.0494323704532425,0.0456928457222607,0.0752324938739076,0,0,0.905379331440693,0.457805604425848
RK041_Liver,0.576439815060114,0.056026236222058,0.102550122822555,0.0781014388879362,0.102509773645549,0.0154093221645126,0.0407591724726567,0.0282041187246186,0,0.86302470935254,0.539531995204321
RK214_Liver,0.846754265267009,0.0408580622849838,0,0,0.0207345971481566,0.0501685361517742,0.0414845391480763,0,0,0.921556982939661,0.412743597367216
RK125_Liver,0.529494534965664,0.105310019830023,0.111904301686402,0.070739306604661,0.0445768875820308,0.0676344092846995,0.0389813405126035,0.0313591995339166,0,0.883865481938902,0.503449592582719
RK159_Liver,0.821772905685922,0.0319380540257611,0.0255912121489908,0.0155343678695418,0.0319009276801901,0.0454794886501674,0.0277830439394265,0,0,0.938925382671366,0.374332796756612
RK197_Liver,0.744719895363187,0.0323856192885747,0.049465836441516,0.0311603633387866,0.0480747083281279,0.0415979657787196,0.052307023283496,0.000288588177592371,0,0.888379390047663,0.480260666770637
RK071_Liver,0.600428988335621,0.0383929338776981,0.115851021053393,0.0795999432593626,0.0481436171265864,0.0352206021605172,0.0181797710381628,0.0641831231486586,0,0.833680598816704,0.575727545353579
RK262_Cancer,0.0866714232903546,0.116929250579488,0.171034260524998,0.0964239378732676,0.131449268161631,0.00642148950631174,0.0939731260666813,0.297097243997268,0,0.833648687735019,0.633619829928385
RK157_Cancer,0.422929748773231,0.0858655065397151,0.0733434986018758,0.122178738334834,0.0643143466268508,0.0360502207138698,0.0723343363267564,0.122983604082867,0,0.836642389536049,0.581352293708886
RK243_Cancer,0.347588197308384,0.150540046218987,0.174280607103133,0.0874318757416733,0.0274976026346923,0.0289752019900742,0.120348869816003,0.0633375991870525,0,0.88156723198229,0.515192325418565
RK104_Cancer,0.639104468321608,0.100697212619851,0.0729108971852363,0.0322466160421759,0.0390521264994953,0.0311970504434412,0.0307876759775918,0.0540039529105999,0,0.884373961979074,0.48773230730598
RK241_Liver,0.453225312950786,0.0382811177706663,0.131815739918817,0.133691007423491,0.0603337531422711,0.0524392676606913,0.044309759076387,0.0859040420568907,0,0.899072393925487,0.534450563885986
RK142_Liver,0.68889295732646,0.0230159230264437,0.0693210130585965,0.0598230431921438,0.0516196036081033,0.0602848237720414,0.0470426360162111,0,0,0.899642424420467,0.47173408221582
RK048_Liver,0.827806746045282,0.0336246577245539,0.0406528998888536,0.0141640559840564,0.0250077561759139,0.0357482476282666,0.0229956365530736,0,0,0.923733598926239,0.408035842778621
RK069_Cancer,0.0962614061042307,0.0917192141837664,0,0.155227155167756,0.280632264740352,0.0492372571160063,0.0811687168549221,0.245753985832966,0,0.369342663920153,0.939077194849899
