Mixture,Central_venous_LSECs,Cholangiocytes,Other,Hepatocyte,Portal_endothelial_Cells,Periportal_LSECs,Hepatic_Stellate_Cells,Erythroid_Cells,P-value,Correlation,RMSE
098699N,0.0429068104499899,0.00686284370440698,0.0714967044580894,0.792862425647025,0.045689693314841,0.0118504713725173,0.0114865958290999,0.016844455224031,0,0.820248484921189,0.577717463682566
090608N,0.00196705462401211,0.0144784328858592,0.117063231842579,0.666839442378789,0.0982994476131311,0.058479689306808,0.0258203182411707,0.0170523831076506,0,0.731599113486205,0.685832901847721
81023N,0.0743915230345675,0.00165498338697998,0.173991021814442,0.673176154106447,0.0249749443509374,0.0235347710391284,0.00903093153081966,0.0192456707366783,0,0.769409234019171,0.650395534076412
099535N,0.0331005484055815,0.0175447341062185,0.142730227502983,0.634496471019356,0.0773999138070737,0.0532727667087001,0.0253624515542865,0.0160928868958004,0,0.772050760088362,0.651113513801551
11770N,0.0367415912913336,0.0067999239713432,0.200771141547368,0.671650132008795,0.035479567823432,0.024984702491896,0.00671046822301655,0.0168624726428155,0,0.777772291408184,0.641990286055287
81032N,0.0749224512092603,0.000264034644166102,0.226551191780804,0.561964504093233,0.0795720310693185,0.0266087943734968,0.0167372037173372,0.0133797891123837,0,0.70408702036192,0.722884338718237
85421N,0.0889274156262806,0.00155700425435051,0.156407464858791,0.699309804044922,0.0207107439932308,0.0118417318414164,0.00779443325369675,0.0134514021273111,0,0.889263919466698,0.507642758761507
86279N,0.102498105276404,0,0.105956020350973,0.713058879965948,0.0264437471008222,0.0277949818056175,0.0137091951592623,0.0105390703409738,0,0.77269884548415,0.64166247073152
86960N,0.108880237027671,0.00432966342164672,0.0838067827980837,0.763579855615037,0.0106313058785067,0.00538644687099317,0.00869192208297512,0.0146937863050859,0,0.80596648012988,0.599017658921893
87823N,0.0909434834739219,0.00356653616577745,0.291534857518842,0.521552006326532,0.0478341784989389,0.00911042290861095,0.0203307391916308,0.0151277759157458,0,0.761224240037227,0.688093405741773
88659N,0.0476799923430145,0.017388700603432,0.192936899161154,0.660676084388521,0.0131907341891857,0.0390233858087304,0.0150692041395132,0.014034999366449,0,0.654794544636141,0.75644063051209
88674N,0.0867528076206667,0.00274490313911171,0.113481169337316,0.767613507034394,0.00577310582171567,0.00252406092917613,0.00858071771922566,0.0125297283983948,0,0.777700349051742,0.63228403807594
88724N,0.0705559288081655,0.00104298438252897,0.0731120327110608,0.818019626486996,0.00994297383522931,0,0.00715709144298981,0.02016936233303,0,0.783298165623154,0.624179493797941
89290N,0.0611362501922899,0.0098523420833516,0.122368649582245,0.704053496070162,0.0493769068249699,0.0241406725857986,0.00696052618064969,0.022111156480533,0,0.759846083711277,0.655690650573555
96484N,0.0562810243233446,0,0.0719012094329686,0.788569397434076,0.0488261638713655,0.0135193263518062,0.00547252644754432,0.0154303521388946,0,0.79497011330447,0.610023353142652
099535T,0,0.224898879011321,0.427468539665454,0.0861392777205305,0.0912973377600755,0.0865293299389713,0.0333026520276976,0.0503639838759502,0,0.639415459786704,0.802368092035004
090608T,0.0121905517829721,0.251693544526602,0.493502389432226,0.0506358642625178,0.125887908674743,0,0.0221446845644992,0.0439450567564401,0,0.448629579440178,0.895278901679064
098699T,0.00854535948705578,0.1060388248665,0.494705051064248,0.117330899822151,0.135433364619949,0.0815698511339193,0.00835373019823904,0.0480229188079379,0,0.608287419689002,0.83973089707079
11770T,0.00922636035162154,0.0388453349944803,0.686901711226947,0.0364400200713183,0.0960383170382992,0.0616543493725262,0.0377254344139376,0.0331684725308696,0,0.721985640456594,0.800556901566714
81023T,0.0137708488031,0.141933592918113,0.481347718901049,0.0667083119175484,0.072236781446497,0.115851599330413,0.0661220019115033,0.0420291447717758,0,0.549750240261682,0.852518629765732
81032T,0,0.173709383674289,0.427348871967017,0.0307918249956187,0.0818027233996499,0.171343074939086,0.0817633622396785,0.0332407587846609,0,0.775013481825444,0.721771724374928
85421T,0.0174729906187579,0.0308830295038201,0.560055072450201,0.162181400798872,0.0766544326167055,0.0845743242277613,0.0220367248140999,0.0461420249697832,0,0.669950935121807,0.819519143077759
86279T,0,0.155295924485446,0.424235260982262,0.0569424267551199,0.0909062306007359,0.11608807061351,0.111657604373178,0.0448744821897475,0,0.721778984820114,0.747003209849669
86960T,0.00758089943082528,0.115360273767222,0.44889517846969,0.0397377979335232,0.0861086152792704,0.22610037061268,0.0348587691390524,0.0413580953677366,0,0.574660080584737,0.846033955218643
87823T,0.00179157704232738,0.0182793692255494,0.533684825137148,0.0321643200774948,0.150938112328098,0.100179661239384,0.13725265563302,0.0257094793169778,0,0.763467478680379,0.718918758798372
88659T,0.0182057354161808,0.0127031712564769,0.409000121193541,0.415595405803489,0.0229189359178322,0.0368761621360652,0,0.0847004682764155,0,0.360002217010647,0.936806916822875
88674T,0.009386315095086,0.0233526883415733,0.757200977488639,0.0428111916007043,0.0769666503413456,0.0553835110446308,0.0146243692598139,0.0202742968282067,0,0.723977737801825,0.807904225570842
88724T,0.0247766353827527,0.104893734436426,0.51165071036304,0.115525749796609,0.0620125285746054,0.11558001200229,0.022389861151761,0.0431707682925166,0,0.717160957523996,0.795505508337953
89290T,0.0072648807071743,0.190701024225633,0.470376623012039,0.0926165037654654,0.0955363705578179,0.0837615210913657,0.0137254111572091,0.0460176654832964,0,0.782395469269759,0.743583148304366
96484T,0.0143278593327985,0.0433231551754196,0.606182051434348,0.0582606747196215,0.167536580299006,0.0139389087072188,0.0382153854358666,0.0582153848957201,0,0.597803901648706,0.847592401106621
