Mixture,Central_venous_LSECs,Cholangiocytes,Other,Hepatocyte,Portal_endothelial_Cells,Periportal_LSECs,Hepatic_Stellate_Cells,Erythroid_Cells,P-value,Correlation,RMSE
RK280_Liver,0.0654308268857975,0.151035199248192,0.263378074481876,0.375373510028772,0.0335544682440045,0.0379941485315964,0.0548297801990542,0.0184039923807077,0,0.965761670854919,0.355061471322072
RK226_Cancer,0.00952095032021229,0.00844975756872331,0.753288433798621,0,0.0573781736688444,0.0832194988077339,0.0644028871065083,0.0237402987293567,0,0.47475539680565,0.944197354571499
RK007_Liver,0.0407882268476546,0.143507523037757,0.0928335880422341,0.662627837394163,0.0344013088909467,0,0.0108082753488383,0.0150332404384059,0,0.951931061537652,0.311992842728328
RK004_Liver,0.0719765178393582,0.0564498572449257,0.529065825424726,0.20793053890925,0.0545663949557665,0.0135114038962227,0.054199872080515,0.012299589649236,0,0.947691915233088,0.671907569077493
RK119_Liver,0.0331952768867008,0.187422261283115,0.199078881967932,0.47012916067069,0.0512562902447808,0.0239856495949154,0.0198207105975871,0.0151117687542788,0,0.981617290182114,0.213248345443967
RK191_Liver,0.0786424546326128,0.116462232006417,0.243917391929411,0.486492733094014,0.0541874262556513,0,0.0161285937956607,0.00416916828623341,0,0.966351306748149,0.340827725930366
RK081_Liver,0.0521876572493977,0.148579948976987,0.125705188152514,0.580494589276713,0.0678997810841068,0,0.0200555625796982,0.00507727268058388,0,0.95679120330746,0.298397832634735
RK172_Liver,0.0440388389469158,0.122659438617094,0.169817305405546,0.570453513291624,0.0577818355914932,0,0.0230688648895433,0.0121802032577841,0,0.954901611415157,0.321163370372971
RK041_Liver,0.0631191675396182,0.143080329787241,0.211945465724709,0.491077659839803,0.0412373766836207,0.0218183659196668,0.0115821450327567,0.0161394894725847,0,0.967384840807392,0.300149216514025
RK214_Liver,0.0504369068431848,0.140155853354666,0.0229844885372363,0.744911392264887,0.0293358791867186,0,0.00599717007170848,0.00617830974159866,0,0.936633475539266,0.3724400896717
RK125_Liver,0.0476707294181783,0.19379072833516,0.251044868599646,0.432320065966508,0.0483505427557739,0,0.0180969897799927,0.00872607514474059,0,0.973841254398109,0.250800957472393
RK159_Liver,0.0489627005242752,0.185834466192273,0.0463622151940798,0.684472318042734,0.0175963333493132,0,0.00534530642690526,0.01142666027042,0,0.969526323341034,0.280165177293138
RK197_Liver,0.0466342529952384,0.152186541785005,0.159600997557203,0.587852168275906,0.0220035425035417,0.00874339412687717,0.0110031837185673,0.0119759190376625,0,0.948109119864384,0.322198272344891
RK071_Liver,0.0720767594384384,0.148607346736979,0.193107670573064,0.486056108508076,0.0494983700319532,0.0187506958082194,0.0191534518444028,0.0127495970588671,0,0.976688001356169,0.268927874922662
RK262_Cancer,0.0524083955212749,0.275311225472097,0.588792392209357,0.0617917092592444,0,0,0.00187371454958119,0.0198225629884455,0,0.868971623582813,0.51313913678805
RK157_Cancer,0.0354844605914134,0,0.413020099164661,0.424819847022404,0.0141542304563356,0.0630534032826785,0.0109290236792792,0.0385389358032283,0,0.748937215010283,0.73281887675638
RK243_Cancer,0.0620334214202071,0.164566403332248,0.332398457592933,0.375166126506134,0.018757436138837,0.0317410920632357,0.0100473914138447,0.00528967153256099,0,0.953181581825004,0.364771801336446
RK104_Cancer,0.0653143383159143,0.109928064037929,0.166266903283707,0.612158922255649,0.0193265029109202,0.000365723426753646,0.0135636525610998,0.0130758932080268,0,0.970780299784981,0.272318865287209
RK241_Liver,0.0442529777717281,0.137958674104132,0.286940310632686,0.328599164291961,0.0709937919540991,0.0810233015667796,0.0367056097587448,0.0135261699198699,0,0.976073001107446,0.392836394250067
RK142_Liver,0.0235792852754711,0.187170793511086,0.142161943129533,0.568268570988662,0.0393116683921406,0.0100976660954443,0.02059801662661,0.00881205598105279,0,0.96478533903317,0.267896218330444
RK048_Liver,0.0588088286563972,0.111298435945796,0.0901507689118376,0.714229558953915,0.00956179900012422,0,0.00654037427171183,0.00941023426021801,0,0.948814009583045,0.321165199235047
RK069_Cancer,0.0473744361318466,0.355279068094729,0.426659441568952,0.00477351128577101,0.0151300052231679,0.0745854825921518,0.0259371151427876,0.0502609399605934,0,0.785303080234896,0.62659192098929
RK101_Liver,0.0537928821214669,0.138609046338924,0.0700281946568401,0.682906591794151,0.0404633372863509,0,0.00818666687858181,0.00601328092368475,0,0.973661391596608,0.235242370945436
RK254_Cancer,0.0142779874273544,0.0109669247195638,0.553378507938548,0.264888359838338,0.00376150658588585,0.0997847635085222,0.00314982902811389,0.0497921209536742,0,0.492959121999613,0.88936449408772
RK232_Cancer,0.0356829252388399,0.170883558398512,0.389639782470784,0.334837838843288,0.0330714453567658,0,0.0107102447939285,0.0251742048978823,0,0.933946376374576,0.412805750160721
RK171_Cancer,0.055247981970602,0.0828151274855493,0.40594295906629,0.300995677486099,0.0244846431233767,0.0677257698407564,0.039549212385749,0.023238628641577,0,0.902154939081728,0.590960782182235
RK181_Liver,0.0337572856554449,0.185308466035666,0.0999197802050007,0.644999617654338,0.0159524233208111,0,0.010938320612572,0.00912410651616765,0,0.967219648518377,0.273595786400192
RK164_Liver,0.0295355114082928,0.147969324081722,0.115136401060158,0.636228265452715,0.0270938056189156,0.00863565237401218,0.0212050483849402,0.0141959916192441,0,0.976904454290073,0.220737273989736
RK061_Liver,0.102201337834726,0.110128549275768,0.190755006637636,0.502253979931562,0.0435075579719982,0.0150142331402237,0.0241028044126198,0.0120365307954659,0,0.948350060786943,0.377282956993467
RK015_Cancer,0.0219434131697554,0.155324832603372,0.235437041609267,0.57235419915748,0.00308833544997958,0,0.0028254151426805,0.00902676286746566,0,0.939930324924266,0.344814969443554
RK079_Liver,0.0441852113725412,0.118404507921638,0.164791069386012,0.603273341338074,0.0370261956765658,0,0.0141862361173105,0.0181334381878588,0,0.949420619134046,0.329259151775825
RK305_Cancer,0.0560782631211708,0.21557439695777,0.250838504737164,0.374514635294462,0.0289761014856589,0.029952511171939,0.0182625877909057,0.0258029994409299,0,0.969739919522747,0.264877543455991
RK056_Cancer,0.0458892192546878,0.254331474227864,0.229037483714254,0.402778197000247,0.0374237843497529,0,0,0.0305398414531941,0,0.964532589382943,0.266485574397338
RK059_Cancer,0.0284932330305708,0.0587883682916507,0.351549524147093,0.445505607652639,0.0214571766115601,0.0660398240180805,0.00819057908062311,0.0199756871677827,0,0.888907269129354,0.553894402446462
