geo_accession,source_name_ch1,Phenotype
GSM1100370,human HCC sample from elder patient,Elder HCC
GSM1100371,human HCC sample from elder patient,Elder HCC
GSM1100372,human HCC sample from elder patient,Elder HCC
GSM1100373,human HCC sample from elder patient,Elder HCC
GSM1100374,human HCC sample from elder patient,Elder HCC
GSM1100375,human HCC sample from elder patient,Elder HCC
GSM1100376,human HCC sample from elder patient,Elder HCC
GSM1100377,human HCC sample from elder patient,Elder HCC
GSM1100378,human HCC sample from elder patient,Elder HCC
GSM1100379,human HCC sample from elder patient,Elder HCC
GSM1100380,human HCC sample from elder patient,Elder HCC
GSM1100381,human HCC sample from elder patient,Elder HCC
GSM1100382,human normal liver sample from elder HCC patient,Elder Normal
GSM1100383,human normal liver sample from elder HCC patient,Elder Normal
GSM1100384,human normal liver sample from elder HCC patient,Elder Normal
GSM1100385,human normal liver sample from elder HCC patient,Elder Normal
GSM1100386,human normal liver sample from elder HCC patient,Elder Normal
GSM1100387,human normal liver sample from elder HCC patient,Elder Normal
GSM1100388,human normal liver sample from elder HCC patient,Elder Normal
GSM1100389,human normal liver sample from elder HCC patient,Elder Normal
GSM1100390,human normal liver sample from elder HCC patient,Elder Normal
GSM1100391,human normal liver sample from elder HCC patient,Elder Normal
GSM1100392,human normal liver sample from elder HCC patient,Elder Normal
GSM1100393,human normal liver sample from elder HCC patient,Elder Normal
GSM1100394,human normal liver sample from elder HCC patient,Elder Normal
GSM1100395,human normal liver sample from elder HCC patient,Elder Normal
GSM1100396,human normal liver sample from elder HCC patient,Elder Normal
GSM1100397,human normal liver sample from elder HCC patient,Elder Normal
GSM1100398,human normal liver sample from elder HCC patient,Elder Normal
GSM1100399,human normal liver sample from elder HCC patient,Elder Normal
GSM1100400,human normal liver sample from elder HCC patient,Elder Normal
GSM1100401,human normal liver sample from elder HCC patient,Elder Normal
GSM1100402,human normal liver sample from elder HCC patient,Elder Normal
GSM1100403,human normal liver sample from elder HCC patient,Elder Normal
GSM1100404,human normal liver sample from elder HCC patient,Elder Normal
GSM1100405,human normal liver sample from elder HCC patient,Elder Normal
GSM1100406,human HCC sample from elder patient,Elder HCC
GSM1100407,human HCC sample from elder patient,Elder HCC
GSM1100408,human HCC sample from elder patient,Elder HCC
GSM1100409,human HCC sample from elder patient,Elder HCC
GSM1100410,human HCC sample from elder patient,Elder HCC
GSM1100411,human HCC sample from elder patient,Elder HCC
GSM1100412,human HCC sample from elder patient,Elder HCC
GSM1100413,human HCC sample from elder patient,Elder HCC
GSM1100414,human HCC sample from elder patient,Elder HCC
GSM1100415,human HCC sample from elder patient,Elder HCC
GSM1100416,human HCC sample from elder patient,Elder HCC
GSM1100417,human HCC sample from elder patient,Elder HCC
GSM1100418,human HCC sample from elder patient,Elder HCC
GSM1100419,human HCC sample from elder patient,Elder HCC
GSM1100420,human HCC sample from elder patient,Elder HCC
GSM1100421,human HCC sample from elder patient,Elder HCC
GSM1100422,human HCC sample from elder patient,Elder HCC
GSM1100423,human HCC sample from elder patient,Elder HCC
