Mixture,LVECt,Other,LSEC,Hepatocytes,LVEC,Carcinoma,P-value,Correlation,RMSE
RK280_Liver,0,0.328639313421046,0.0331467411042738,0.130723730618408,0.15245533517495,0.355034879681322,0,0.93357383662275,0.691972592543968
RK226_Cancer,0.0502118531031066,0.545318677098355,1.30247156507282e-05,7.11882376550427e-05,0.0702904066924651,0.334094850152767,0,0.753815048498075,0.89231919072856
RK007_Liver,0.015208892929335,0.276689640423071,0.0523726398113856,0.356286809743493,0.0970842483985238,0.202357768694192,0,0.955745580620152,0.314158802485674
RK004_Liver,0.00691343681557691,0.644067634301563,0.0711802835666928,0.0610410232985897,0.106038557748873,0.110759064268704,0,0.823344544999219,0.818255196928486
RK119_Liver,0.0274182455158221,0.336153693515417,0.0234953245452591,0.236806247822172,0.122416407693796,0.253710080907533,0,0.934971440018553,0.497553191251737
RK191_Liver,0.0172977787543906,0.387216693900908,0.0981494078207495,0.203942222920053,0.0784834670222139,0.214910429581685,0,0.89285777925546,0.58853591827604
RK081_Liver,0.0124950548867385,0.348952075435816,0.0886648726415905,0.296706197411161,0.104528893904904,0.14865290571979,0,0.953549352056846,0.378123279042484
RK172_Liver,0,0.391966096683216,0.055329719063054,0.226488703554442,0.119256556765133,0.206958923934155,0,0.907192046271765,0.542105836302485
RK041_Liver,0.0216963728857704,0.296349080216514,0.0647495786393971,0.253292499192492,0.132526378692588,0.231386090373239,0,0.874635646150267,0.546084591976498
RK214_Liver,0,0.263307346477636,0.0833213228917927,0.361550406741751,0.0752003727412143,0.216620551147606,0,0.952414724174602,0.320534235969543
RK125_Liver,0.0140925742793451,0.427680322077651,0.0612421656741745,0.200296982685675,0.0896664920193479,0.207021463263806,0,0.902250187160888,0.585102802350357
RK159_Liver,0,0.263243862543053,0.0806086306140923,0.325819949258522,0.0755425784857774,0.254784979098556,0,0.943943789488634,0.365881281076847
