title,geo_accession,Phenotype
HCV+cirrhosis with HCC 1,GSM449731,Cirrhotic HCC
HCV+cirrhosis with HCC 2,GSM449732,Cirrhotic HCC
HCV+cirrhosis without HCC 1,GSM449733,Cirrhosis
HCV+cirrhosis with HCC 3,GSM449734,Cirrhotic HCC
HCV+cirrhosis without HCC 2,GSM449735,Cirrhosis
HCV+cirrhosis with HCC 4,GSM449736,Cirrhotic HCC
HCV+cirrhosis without HCC 3,GSM449737,Cirrhosis
HCV+cirrhosis without HCC 4,GSM449738,Cirrhosis
HCV+cirrhosis without HCC 5,GSM449739,Cirrhosis
HCV+cirrhosis without HCC 6,GSM449740,Cirrhosis
HCV+cirrhosis without HCC 7,GSM449741,Cirrhosis
HCV+cirrhosis without HCC 8,GSM449742,Cirrhosis
HCV+cirrhosis without HCC 9,GSM449743,Cirrhosis
HCV+cirrhosis without HCC 10,GSM449744,Cirrhosis
HCV+cirrhosis without HCC 11,GSM449745,Cirrhosis
HCV+cirrhosis without HCC 12,GSM449746,Cirrhosis
HCV+cirrhosis with HCC 5,GSM449747,Cirrhotic HCC
HCV+cirrhosis without HCC 13,GSM449748,Cirrhosis
HCV+cirrhosis without HCC 14,GSM449749,Cirrhosis
HCV+cirrhosis with HCC 6,GSM449750,Cirrhotic HCC
HCV+cirrhosis without HCC 15,GSM449751,Cirrhosis
HCV+cirrhosis with HCC 7,GSM449752,Cirrhotic HCC
HCV+cirrhosis with HCC 8,GSM449753,Cirrhotic HCC
HCV+cirrhosis without HCC 16,GSM449754,Cirrhosis
HCV+cirrhosis without HCC 17,GSM449755,Cirrhosis
HCV+cirrhosis without HCC 18,GSM449756,Cirrhosis
HCV+cirrhosis with HCC 9,GSM449757,Cirrhotic HCC
HCV+cirrhosis with HCC 10,GSM449758,Cirrhotic HCC
HCV+cirrhosis without HCC 19,GSM449759,Cirrhosis
HCV+cirrhosis without HCC 20,GSM449760,Cirrhosis
HCV+cirrhosis without HCC 21,GSM449761,Cirrhosis
HCV+cirrhosis without HCC 22,GSM449762,Cirrhosis
HCV+cirrhosis without HCC 23,GSM449763,Cirrhosis
HCV+cirrhosis without HCC 24,GSM449764,Cirrhosis
HCV+cirrhosis without HCC 25,GSM449765,Cirrhosis
HCV+cirrhosis without HCC 26,GSM449766,Cirrhosis
HCV+cirrhosis without HCC 27,GSM449767,Cirrhosis
HCV+cirrhosis without HCC 28,GSM449768,Cirrhosis
HCV+cirrhosis without HCC 29,GSM449769,Cirrhosis
HCV+cirrhosis without HCC 30,GSM449770,Cirrhosis
HCV+cirrhosis with HCC 11,GSM449771,Cirrhotic HCC
HCV+cirrhosis with HCC 12,GSM449772,Cirrhotic HCC
HCV+cirrhosis without HCC 31,GSM449773,Cirrhosis
HCV+cirrhosis without HCC 32,GSM449774,Cirrhosis
HCV+cirrhosis without HCC 33,GSM449775,Cirrhosis
HCV+cirrhosis with HCC 13,GSM449776,Cirrhotic HCC
HCV+cirrhosis with HCC 14,GSM449777,Cirrhotic HCC
HCV+cirrhosis without HCC 34,GSM449778,Cirrhosis
HCV+cirrhosis with HCC 15,GSM449779,Cirrhotic HCC
HCV+cirrhosis without HCC 35,GSM449780,Cirrhosis
HCV+cirrhosis without HCC 36,GSM449781,Cirrhosis
HCV+cirrhosis without HCC 37,GSM449782,Cirrhosis
HCV+cirrhosis without HCC 38,GSM449783,Cirrhosis
HCV+cirrhosis without HCC 39,GSM449784,Cirrhosis
HCV+cirrhosis without HCC 40,GSM449785,Cirrhosis
HCV+cirrhosis without HCC 41,GSM449786,Cirrhosis
HCV+cirrhosis without HCC 42,GSM449787,Cirrhosis
HCV+cirrhosis without HCC 43,GSM449788,Cirrhosis
HCV+cirrhosis without HCC 44,GSM449789,Cirrhosis
HCV+cirrhosis without HCC 45,GSM449790,Cirrhosis
HCV+cirrhosis without HCC 46,GSM449791,Cirrhosis
HCV+cirrhosis without HCC 47,GSM449792,Cirrhosis
HCV+cirrhosis with HCC 16,GSM449793,Cirrhotic HCC
