geo_accession,source_name_ch1,Phenotype
GSM2053435,adjacent normal,Non-Tumor
GSM2053436,adjacent normal,Non-Tumor
GSM2053437,adjacent normal,Non-Tumor
GSM2053438,adjacent normal,Non-Tumor
GSM2053439,adjacent normal,Non-Tumor
GSM2053440,adjacent normal,Non-Tumor
GSM2053441,adjacent normal,Non-Tumor
GSM2053442,adjacent normal,Non-Tumor
GSM2053443,adjacent normal,Non-Tumor
GSM2053444,adjacent normal,Non-Tumor
GSM2053445,adjacent normal,Non-Tumor
GSM2053446,adjacent normal,Non-Tumor
GSM2053447,adjacent normal,Non-Tumor
GSM2053448,adjacent normal,Non-Tumor
GSM2053449,adjacent normal,Non-Tumor
GSM2053450,adjacent normal,Non-Tumor
GSM2053451,adjacent normal,Non-Tumor
GSM2053452,adjacent normal,Non-Tumor
GSM2053453,adjacent normal,Non-Tumor
GSM2053454,adjacent normal,Non-Tumor
GSM2053455,primary tumor,HCC
GSM2053456,primary tumor,HCC
GSM2053457,primary tumor,HCC
GSM2053458,primary tumor,HCC
GSM2053459,primary tumor,HCC
GSM2053460,primary tumor,HCC
GSM2053461,primary tumor,HCC
GSM2053462,primary tumor,HCC
GSM2053463,primary tumor,HCC
GSM2053464,primary tumor,HCC
GSM2053465,primary tumor,HCC
GSM2053466,primary tumor,HCC
GSM2053467,primary tumor,HCC
GSM2053468,primary tumor,HCC
GSM2053469,primary tumor,HCC
GSM2053470,primary tumor,HCC
GSM2053471,primary tumor,HCC
GSM2053472,primary tumor,HCC
GSM2053473,primary tumor,HCC
GSM2053474,primary tumor,HCC
GSM2053475,PVTT,HCC-PVTT
GSM2053476,PVTT,HCC-PVTT
GSM2053477,PVTT,HCC-PVTT
GSM2053478,PVTT,HCC-PVTT
GSM2053479,PVTT,HCC-PVTT
GSM2053480,PVTT,HCC-PVTT
GSM2053481,PVTT,HCC-PVTT
GSM2053482,PVTT,HCC-PVTT
GSM2053483,PVTT,HCC-PVTT
GSM2053484,PVTT,HCC-PVTT
GSM2053485,PVTT,HCC-PVTT
GSM2053486,PVTT,HCC-PVTT
GSM2053487,PVTT,HCC-PVTT
GSM2053488,PVTT,HCC-PVTT
GSM2053489,PVTT,HCC-PVTT
GSM2053490,PVTT,HCC-PVTT
GSM2053491,PVTT,HCC-PVTT
GSM2053492,PVTT,HCC-PVTT
GSM2053493,PVTT,HCC-PVTT
GSM2053494,PVTT,HCC-PVTT
