Mixture,Other,Kupffer cells,TM1,SAMs,T cells,cDC2,cDC1,B cells,P-value,Correlation,RMSE
301N,0.83542523613337,0,0,0.135785311511885,0,0,0.016420120953075,0.01236933140167,0,0.837930643169576,0.567602617894634
302N,0.841941811535622,0,0,0.136363198616057,0,0,0.018049278541135,0.003645711307186,0,0.824353601071571,0.582861378671342
355N,0.791428073089091,0,0,0.197106271856493,0,0,0.009639293093646,0.001826361960771,0,0.744780538999281,0.670571286752104
356N,0.802679518524817,0,0,0.188081323352581,0,0,0.004893326758682,0.00434583136392,0,0.787850087015708,0.62412852760796
304T,0.820045337802069,0.012449468684852,0,0.153603313862159,0.009110022648234,0,0.00075740141985,0.004034455582836,0,0.895546653945087,0.489635730560589
305T,0.624471422416405,0,0,0.292527444961249,0.027728437831611,0.008255046898127,0.02936476620278,0.017652881689829,0,0.675297023383396,0.738395311890932
353N,0.8584866737433,0,0,0.115098352621478,0,0,0.016875241227629,0.009539732407594,0,0.784709006359811,0.628215572624374
307T,0.459120585230821,0.219865142937652,0,0.209378832233961,0.091898486782354,0,0.015809396070101,0.003927556745111,0,0.771367723794242,0.638643359446975
308T,0.816788460084977,0,0,0.150540894811311,0,0.013430952389953,0.018419665084725,0.000820027629035,0,0.884044323335932,0.510015403850647
309T,0.574139662257278,0,0,0.314419282122442,0.04591612940385,0,0.029381604134454,0.036143322081976,0,0.712187745476942,0.704147835505083
310T,0.504180336627439,0.064386349071429,0,0.327406192927306,0.073441343990918,0,0.027900806444943,0.002684970937965,0,0.809117913047744,0.593892585152566
311T,0.525263317804929,0,0,0.348817951282653,0.054437243696468,0,0.046877550360802,0.024603936855148,0,0.804656771592959,0.607922092116961
312T,0.499468488371892,0.028128783707737,0,0.421716056879779,0.041821960268579,0,0.005871743711024,0.002992967060989,0,0.900391490244653,0.453300526977939
314T,0.61267145656235,0,0,0.305114985827284,0.037758224795202,0.01018676339508,0.024272924017973,0.009995645402111,0,0.772732819883978,0.642685451352235
315T,0.567160213718155,0.090583977935638,0,0.297718137049176,0.033534129901752,0,0.007778417975318,0.00322512341996,0,0.849876032567409,0.535710756822717
316T,0.567824878653619,0.089004694331657,0,0.223672158757077,0.076615935423093,0.02071710563216,0.012684222397512,0.009481004804883,0,0.694289570655377,0.720353285201324
317T,0.590636286494406,0,0,0.281503983215976,0.033922754533979,0.000997817396388,0.028273018227062,0.064666140132188,0,0.889267568261725,0.517071606753291
319T,0.713905959770469,0,0,0.196805176413087,0.023314762468594,0.027436996465009,0.021391489614251,0.017145615268591,0,0.811280223087292,0.607836631773258
320T,0.632356030967743,0,0.008632884869961,0.267134359502417,0.041710648129993,0,0.040913939805803,0.009252136724084,0,0.837316852168882,0.576760019759389
321T,0.595217420025086,0,0,0.303146223317437,0.047161253699019,0,0.033481866022589,0.020993236935869,0,0.624229125735781,0.783109565250678
322T,0.624094942199943,0.062584565422779,0,0.175703058558775,0.077543390881788,0.050340645561283,0.006944420570898,0.002788976804533,0,0.756187523420465,0.664927506568603
323T,0.495571555197932,0.14895200671474,0.08199974340316,0.138104151957834,0.103417346655173,0,0.025413310354594,0.006541885716565,0,0.863510648028726,0.538584111710823
325T,0.785319635581707,0.043275387358284,0,0.142085579559911,0,0.000101685243394,0.01296736870749,0.016250343549214,0,0.838685301899405,0.565421413561919
326T,0.284913441892829,0.333191254027427,0.022648967317325,0.236113908980564,0.087745241394761,0,0.02913856482191,0.006248621565184,0,0.868330123065612,0.512608355218518
327T,0.546098411710189,0,0,0.412124752851331,0.025373585861843,0,0.007900521877543,0.008502727699094,0,0.770011799322306,0.639357496202326
328T,0.770238811817003,0,0,0.184883943377526,0,0.015487033569084,0.02521198854157,0.004178222694816,0,0.830114346169161,0.579958647931323
329T,0.354166329428452,0,0,0.534562737085868,0.088940343744397,0,0.020879759255546,0.001450830485737,0,0.775722617998107,0.632798287916965
330T,0.446674456009174,0.145428694179152,0,0.205686444944243,0.084131487253772,0.055283041216924,0.024959033277148,0.037836843119586,0,0.784765856484515,0.625844305598461
332T,0.370643986572378,0,0,0.537910354157202,0.068387745554994,0,0.020566766111124,0.002491147604301,0,0.720589829367562,0.701726195288019
333T,0.720164978270655,0.008943641907416,0,0.215349549058685,0.001945502974247,0.027265358720531,0.023137942152264,0.003193026916202,0,0.825143937366541,0.585885071187559
334T,0.004544102094785,0,0.127208380700595,0.19486670093927,0.229239887787716,0.209441260789275,0.090125513060434,0.144574154627924,0,0.783480895957254,0.706814748496764
335T,0.670918637189108,0.013340896291138,0.003526340959631,0.229403372420426,0.028360234879653,0,0.049422934132789,0.005027584127256,0,0.775631435103241,0.642558246299028
336T,0.646076955358821,0,0,0.319036398882088,0.011378868125335,0,0.012905576303286,0.010602201330471,0,0.818091297838259,0.586874388670683
337T,0.555282687838821,0,0,0.32850189462285,0.039210249323163,0,0.070097354452672,0.006907813762495,0,0.739015330872552,0.67766043327451
339T,0.756242164826068,0,0,0.227558068865783,0.007981607412794,0,0.007165054559105,0.001053104336251,0,0.794348712617702,0.617025269051369
342T,0.785759146601441,0.005866480985426,0,0.163452344052624,0.017029367462772,0,0.023317606655075,0.004575054242663,0,0.807966680133798,0.605331772631044
345T,0.504978528899386,0,0,0.398924951935682,0.040335299611987,0,0.053982842208098,0.001778377344847,0,0.89333944905019,0.482608491288686
346T,0.321648395265364,0.256948935781942,0.070151234548901,0.170681251301851,0.143230660750965,0.007867610648747,0.018778936832188,0.01069297487004,0,0.875585092370447,0.486920795521036
347T,0.652184127349975,0,0,0.298813644735207,0.022685900750946,0,0.021882736098493,0.00443359106538,0,0.887744231547392,0.501342090903915
348T,0.715298823021035,0,0,0.247263297468851,0.024130614370305,0,0.011667702706171,0.001639562433638,0,0.777288332798532,0.637137512599436
349T,0.731800007034927,0,0,0.247237924394382,0.001398793405538,0,0.014870965828698,0.004692309336456,0,0.828238712230446,0.577379583290713
350T,0.681660926606188,0.058009647224728,0,0.252697976788257,0.00706530350086,0,0,0.000566145879967,0,0.847041453964385,0.545314976908676
351T,0.618856081665143,0.01308173854416,0,0.339762485099611,0.013905814637461,0,0.00637712035718,0.008016759696445,0,0.743428810466631,0.6701451996293
352T,0.297164089477156,0,0.112190838571467,0.164720135561375,0.195318851999779,0.129297830633489,0.063799472843582,0.037508780913154,0,0.675470561799199,0.776246410555635
353T,0.44761260067583,0,0,0.404605883496186,0.062030918066874,0,0.062925416828728,0.022825180932382,0,0.628663056227585,0.781688717969083
354T,0.183815467970881,0.034907387004847,0,0.597463931146762,0.141100363011391,0,0.040439781163446,0.002273069702673,0,0.889835189457137,0.456802304540509
355T,0.775703844804581,0,0,0.201464217617862,0,0,0.021786217485195,0.001045720092362,0,0.83298014383273,0.573197019960749
356T,0.378498850153561,0.079404966575514,0,0.419671333663608,0.075043359995258,0,0.04446095939886,0.0029205302132,0,0.769748067674473,0.640096692867017
357T,0.627419581094677,0,0,0.303868860735384,0.032195410600729,0.00695276935656,0.019977835409252,0.009585542803399,0,0.631465866223515,0.778013495872426
358T,0.709484449526788,0,0,0.245501329814568,0.005591229433736,0,0.037016327997855,0.002406663227052,0,0.812091593882294,0.599178418024361
359T,0.542491933043335,0.001095643431378,0,0.319916912365295,0.067960469314324,0,0.026735230284953,0.041799811560715,0,0.750999345417864,0.6673990952516
360T,0.414225029981681,0.110908177884505,0,0.327474470418402,0.093174091066772,0,0.02821067024716,0.026007560401479,0,0.678036360679948,0.740376804077057
361T,0,0.00798713169662,0.116572245163136,0.16427251802901,0.295048657424567,0.160263066802991,0.063894427950505,0.191961952933172,0,0.779381719332134,0.711746913888247
362T,0.471801506003049,0,0,0.354057935069039,0.067328624242051,0.050690435087824,0.038861913275243,0.017259586322794,0,0.542355846106761,0.84882423032971
363T,0.412853267330752,0.243997329161511,0.020197706305164,0.187716787918815,0.096650921325926,0,0.027386217134381,0.011197770823451,0,0.752200529520378,0.663302281267484
