Mixture,Other,Kupffer cells,TM1,SAMs,T cells,cDC2,cDC1,B cells,P-value,Correlation,RMSE
RK280_Liver,0.804249855916939,0,0.00750086825481711,0.142725867217109,0.0153282821429534,0.0102550708043715,0,0.0199400556638102,0,0.949839568388729,0.374889664479947
RK226_Cancer,0.0882218237767704,0.0467483723467668,0.119131963688881,0.470295295083122,0.0641167012437318,0.0850308679899964,0.0369970053971228,0.0894579704736092,0,0.63024576910706,0.790059475823945
RK007_Liver,0.892208474041549,0.0179282561914651,0.0102648833363936,0.0638535169090758,0.0104502429790194,0,0,0.005294626542497,0,0.91369871290964,0.426045557377762
RK004_Liver,0.487623063952934,0.19159817408429,0.0276698096316604,0.16176121391525,0.0205734985982511,0.0216795020851278,0.0650130721604171,0.0240816655720689,0,0.778666775316855,0.628536828703269
RK119_Liver,0.854613462182053,0.00783178864857029,0.0455740124698076,0.0804395042970697,0.00522669234864552,0,0,0.00631454005385387,0,0.926371170998501,0.409903481079941
RK191_Liver,0.801776991076516,0.0722303335387859,0.0163116518056162,0.0905897544264724,0.00435334010489749,0,0.00880309477229064,0.00593483427542156,0,0.869025752800236,0.506357986145525
RK081_Liver,0.87167559984114,0.0191094994500773,0.0238011320202666,0.0680990546002412,0.00602607221285757,0.00177610400275212,0,0.0095125378726648,0,0.932148825758548,0.39427347297881
RK172_Liver,0.752091521556316,0.106543391880445,0.0341607933804263,0.0964815927964197,0.004853091081993,0,0,0.00586960930439994,0,0.890448057718394,0.472334694577703
RK041_Liver,0.79885039291474,0.014187735940874,0.0135648463576089,0.136519767699374,0.0162957149222168,0,0.00249905282605986,0.0180824893391263,0,0.82429338138564,0.572903012411525
RK214_Liver,0.896649228088119,0.016243681502088,0.00297834520459393,0.0793291698634037,0.00479957534179556,0,0,0,0,0.916615450960298,0.41876762836184
RK125_Liver,0.747317849360836,0.0377954739933897,0.0297852254317611,0.138759494552786,0.0131530724443707,0,0.0178633767550502,0.0153255074618057,0,0.889497589834531,0.484893827369374
RK159_Liver,0.903464984295607,0.00481276221844074,0.0102814096037438,0.0732486521008762,0.00737750460367891,0,0,0.000814687177653499,0,0.917479210549441,0.417415490011133
RK197_Liver,0.921575659090708,0,0.0216448087414026,0.0458920553838253,0.00520153463246493,0,0,0.00568594215159868,0,0.930813711654252,0.389127881009941
RK071_Liver,0.84772901367681,0,0.0216511138525863,0.110739713733794,0.00500651044629939,0,0.00827233375680467,0.00660131453370529,0,0.909777603922638,0.440702869650636
RK262_Cancer,0.230387703045678,0.141682322195636,0.00782573942696317,0.384973899548673,0.0254020861918978,0.0461227104150796,0.0691687004855479,0.0944368386905246,0,0.822189326935242,0.569588962007875
RK157_Cancer,0.628462955495328,0.114080448080296,0.0231143215689139,0.188602584490575,0.00284524017340331,0,0.0243798940928703,0.0185145560986134,0,0.872127741730354,0.504226541768026
RK243_Cancer,0.510532604017704,0.211380625440544,0.0255698884693685,0.210631564582645,0.00258626343737788,0,0.0145405570420064,0.0247584970103542,0,0.736056481810073,0.685616091685792
RK104_Cancer,0.801242873978666,0.0315222591753157,0.00959648736731131,0.121499380178981,0.0124670346192353,0,0.0152156419265964,0.00845632275389363,0,0.896753324049661,0.466595439836816
RK241_Liver,0.807377081135365,0,0.0526837231261829,0.0561606207813332,0.0134611556400387,0.040015981800274,0,0.0303014375168067,0,0.939330812403347,0.406239492021353
RK142_Liver,0.8209460911608,0,0.029412894027773,0.126654926379655,0.0127622060477316,0,0,0.0102238823840403,0,0.895532187067222,0.468519710736342
RK048_Liver,0.934699354530769,0.0133089357368053,0.023546818198484,0.0219566334741563,0.00547367597399007,0,0,0.00101458208579505,0,0.911670902954167,0.424895597683422
RK069_Cancer,0.57190562166979,0.100242684781899,0.00337703324585393,0.0744238514628529,0.000481228760130881,0.150345583971723,0.0566199659053504,0.0426040302023997,0,0.49943341335677,0.877689878272052
RK101_Liver,0.909325955562046,0,0.0231625926019624,0.0617262615340716,0.00453244813902598,0,0,0.0012527421628943,0,0.902825482840845,0.444615487145682
RK254_Cancer,0.514807562296173,0.0722307915661784,0.0305338288261092,0.253457247321754,0.02538320003579,0,0.0629201874510952,0.0406671825029002,0,0.699395650364679,0.715465337557318
RK232_Cancer,0.559044407670122,0.0968938719000632,0.0146750812839314,0.269704424667153,0.00138007657259004,0,0.0514756181000917,0.00682651980604907,0,0.901052472964806,0.458367117346535
RK171_Cancer,0.60035555622338,0.141388156283641,0.053840947440621,0.160887481122897,0.0014554954681292,0,0.0269931390089282,0.0150792244524029,0,0.864881140879739,0.514227504388945
RK181_Liver,0.907409822357996,0,0.00379889203944347,0.0838071028882712,0.00357496734308897,0,0,0.00140921537120007,0,0.941036505982583,0.368118159298516
RK164_Liver,0.892388827843105,0,0.0123467305402703,0.0803246229197746,0.00976031073525372,0,0,0.00517950796159629,0,0.944266459506704,0.365530952911802
RK061_Liver,0.838363815811552,0.0220319623846848,0.0097069880901388,0.0606693299090011,0.0111329091929572,0.0459156968215812,0.000574640801258164,0.0116046569888263,0,0.906738655422572,0.449685507230651
RK015_Cancer,0.567923446192398,0.109869421956791,0,0.27232034930123,0.0112060097729761,0,0.0351104587551917,0.00357031402141268,0,0.78387034003585,0.622203290210041
RK079_Liver,0.889242515598471,0.0244925040000196,0.0599371155758754,0.0145485011504868,0.0101655379382428,0,0,0.00161382573690393,0,0.906148149090072,0.44185048325976
RK305_Cancer,0.54625849096723,0.134204635999654,0.0199582623556553,0.254604684675408,0.00322437183412495,0,0.025632449262795,0.0161171049051329,0,0.814371541616527,0.582252349484078
RK056_Cancer,0.455441767434475,0.094244983271478,0.00124759317311344,0.388880324381009,0.0137993679198414,0,0.0371576701798147,0.00922829364026832,0,0.885607485752066,0.472487409558641
RK059_Cancer,0.686183958384406,0.00169088359507656,0.0028742450130013,0.214621207334766,0.0188592906881094,0.0336604303114525,0.0412321842085061,0.000877800464682145,0,0.642575912057997,0.769270495761717
RK083_Cancer,0.636689332921156,0.00524875801912847,0.0049346664267381,0.272500317053618,0.0030806250230873,0,0.0505907082704174,0.0269555922858538,0,0.773823137041187,0.638547304304688
RK109_Liver,0.868029070208015,0.0146430361061679,0.0276695778978233,0.0733080619325632,0.0122030018396537,0,0,0.00414725201577697,0,0.908131497132358,0.440289518359488
RK241_Cancer,0.534461646817301,0.0263158157742827,0,0.369567002321313,0.0181738298483773,0,0.0458127245443865,0.00566898069433978,0,0.87258714823148,0.507817365608987
RK167_Cancer,0.420621470915233,0.193710902572818,0,0.30046525263485,0.0112602898791521,0,0.0552055897291158,0.0187364942688311,0,0.901770034318369,0.436932353428895
RK058_Cancer,0.45947443031939,0.173606879085152,6.97653859941672e-05,0.297293401321373,0.0131107916231946,0,0.0431657912901285,0.0132789409747684,0,0.750456561015616,0.666763418719034
RK137_Cancer,0.705054077652047,0,0.0119913654049766,0.187928106271732,0.000703783135186956,0.0394164064254913,0.0301891956540231,0.0247170654565438,0,0.72993254272716,0.685427140488165
RK263_Cancer,0.577388043080457,0.188440536266195,0,0.192512679486255,0.00256655154184984,0,0.0368988988805484,0.0021932907446945,0,0.843010312554974,0.540249286327923
RK308_Liver,0.850619704025186,0.0393323988924452,0.0625005474722678,0.0247045702830264,0.00135167772894402,0.0194302812516108,0,0.00206082034651912,0,0.857675968603613,0.523819791959462
RK147_Liver,0.888944649092376,0.0137331235982491,0.0203906556177437,0.0618337943265774,0.0118243291157148,0.00118848681572594,0,0.00208496143361329,0,0.894876704799405,0.460725871597884
RK295_Cancer,0.662691071382888,0,0,0.27020180239626,0.0142158960921248,0,0.031074474054215,0.021816756074512,0,0.65335931410762,0.760550036416997
RK177_Cancer,0.467616928407396,0.0926092698839131,0.0054560494349114,0.340828857993901,0.0156536300070833,0,0.0568630239622325,0.0209722403105624,0,0.786236169028073,0.619145521490231
RK052_Cancer,0.488434496300762,0.136481753081353,0,0.283080691448549,0.0179977312433229,0,0.0529323528419505,0.0210729750840632,0,0.61402265155005,0.80729273893007
RK179_Liver,0.90702759089594,0,0.0141676572577488,0.0692303604134154,0.00700160104584147,0,0,0.00257279038705418,0,0.911076789931624,0.429596127373085
RK240_Cancer,0.348432444181389,0.182145812012149,0.0405827669791607,0.221901081351301,0.0138141038311044,0.063432205732078,0.0838533021047047,0.0458382838081137,0,0.872795007950958,0.502946352883736
RK085_Cancer,0.220959470933543,0.156336520201239,0.122446127836174,0.296688453436916,0.0622447783542339,0.0145484153898457,0.0750843353427469,0.0516918985053015,0,0.903912302256225,0.446766299432863
RK068_Cancer,0.543592855608131,0.0684270778329233,0,0.32162273544997,0.0013541300834544,0,0.0386228164998046,0.0263803845257171,0,0.59428154650827,0.820909662099401
RK048_Cancer,0.568353573985593,0.0323368042552648,0.0488938550527032,0.25892922267052,0.00423498971929696,0.0185895404575717,0.0378297051335266,0.0308323087255234,0,0.765325585141613,0.648735348900857
RK036_Cancer,0.588777720885773,0.0612949168583598,0.0444847147020039,0.256487632609791,0.0163083364741367,0,0.0127037404316261,0.0199429380383095,0,0.895675606898709,0.475577092781717
RK047_Liver,0.888973169510271,0.0153362362576664,0.0449345189389494,0.0262362539129385,0.00528600383289367,0.0115639807548033,0,0.00766983679247788,0,0.911216247152801,0.433375859599763
RK073_Liver,0.908745158381231,0,0.036297657862977,0.0452122396949862,0.00865629963976099,0,0,0.00108864442104446,0,0.876014778433971,0.491168658283257
RK217_Cancer,0.646064009445274,0.0491301964295771,0,0.268893312334212,0.016440897253679,0,0.015142233700992,0.00432935083626572,0,0.874150336156633,0.503006514567044
RK120_Liver,0.734667035497598,0.00757724595383833,0,0.230880957895794,0.0119803972550376,0,0.0103626746138276,0.00453168878390416,0,0.714103881549871,0.702250563239775
RK220_Cancer,0.704643460574074,0.0254178295693522,0.00972382553011468,0.224295637898279,0.0141129039018229,0,0.0155643075102575,0.00624203501610003,0,0.905725244338047,0.458084248393372
RK159_Cancer,0.434232235683468,0,0,0.432297770118298,0.0371908252897546,0,0.0513832973756579,0.0448958715328218,0,0.615555483026899,0.794624946668333
RK076_Cancer,0.735280576814334,0,0.00692101068494285,0.223675966940758,0.00681636868214052,0,0.017957016424388,0.00934906045343688,0,0.837500408045157,0.557530487069062
RK016_Liver,0.896260827610713,0,0.0147872976673068,0.0776759326199032,0.00598920388214733,0,0.00361845988358318,0.00166827833634607,0,0.776339091047746,0.632978494525894
RK312_Cancer,0.288092892121317,0,0.0292704859927071,0.245814755251794,0.0538388083292112,0.225488571867139,0.05541993598499,0.102074550452842,0,0.504272812952149,0.863472472822017
RK145_Liver,0.710228376000716,0.0529289083005188,0.0497331416709096,0.15353724074083,0.012317866299876,0,0.0143644928411245,0.00688997414602503,0,0.875120319465383,0.506456986935148
RK289_Cancer,0.655455312866053,0.00345325016776526,0.000118051537626882,0.219976374989595,0.0171343939815195,0,0.0592658496641006,0.04459676679334,0,0.664227692436941,0.748776035731871
RK075_Cancer,0.816781537734707,0.0339340916192309,0.0385321698653456,0.101219020141704,0.00783070877853044,0,0,0.00170247186048202,0,0.877150929128592,0.495294856553167
RK235_Liver,0.867562302232866,0.0109674233352571,0.0472883622828729,0.055254333241323,0.0116178623089181,0,0,0.0073097165987628,0,0.901716848354782,0.453014051206707
RK111_Liver,0.847436477073167,0.03616983486633,0.0212375784605936,0.0735805236707298,0.0123109950253286,0,0,0.00926459090385142,0,0.917848338047992,0.42415978518798
RK244_Cancer,0.598769041049656,0.119729701828883,0.0210490715279946,0.20626320301462,0.0118298248288935,0,0.0384505290680968,0.00390862868185637,0,0.740888918162456,0.673031855835265
RK277_Cancer,0.148021034891575,0.197901744917877,0.0315412926777333,0.495416292199512,0.00620843370042382,0,0.0742575734803837,0.0466536281324954,0,0.957414378132897,0.292125822167165
RK120_Cancer,0.751305806898025,0,0,0.155590630296136,0.00494999437021267,0.032428267578241,0.0512371210656582,0.00448817979172748,0,0.763386852516524,0.649286196734857
RK227_Cancer,0.552475997936306,0.0550934246665131,0,0.293314527256228,0.0155091511847687,0,0.0615008058803862,0.0221060930757983,0,0.623104861353821,0.788829371166152
RK053_Liver,0.828908339454562,0.0829278997469631,0.012227739877814,0.0611859602748494,0.0121093961229781,0,0,0.0026406645228329,0,0.899833630824295,0.453401011770068
RK076_Liver,0.934338334129703,0.00858310610415818,0.0402143133138192,0.0115892551109963,0.00398278916539116,0,0,0.001292202175932,0,0.917897959014506,0.413372957942848
RK260_Cancer,0.76165168591482,0.0207982628092583,0.00191550863550941,0.176150726473794,0.0162782292690738,0,0.0185847708769764,0.00462081602056884,0,0.870150953452669,0.510513271068773
RK268_Cancer,0.512770252928408,0.193791503061191,0.00662151672423301,0.220659159533051,0.0193576793254944,0,0.0428773718871618,0.00392251654046044,0,0.913551848349974,0.420027062961637
RK245_Liver,0.844355160095451,0.0318144378313869,0.0355074419740848,0.0743650785680167,0.010597670552312,0,0,0.00336021097874851,0,0.908969345195118,0.440866716450028
RK295_Liver,0.833015527234813,0.00745941006333175,0.00516102143703071,0.119866033482356,0.00778879832193622,0,0.00755269388324174,0.0191565155772912,0,0.773874498060502,0.635460829470924
RK157_Liver,0.897202748049828,0,0.0289354457113729,0.0647184097214881,0.00520872964123289,0,0,0.00393466687607853,0,0.893498023991579,0.462738608599625
RK023_Cancer,0.500956474663508,0.148174685038494,0.027306634493196,0.170639977182285,0.0147819918495567,0.0370490525765135,0.0443257686667857,0.0567654155296601,0,0.646459589112759,0.767154950014882
RK105_Liver,0.891978570231176,0.0182530712029033,0.00176564633174914,0.0762358870823158,0.00571359279330626,0,0,0.00605323235854931,0,0.933684892769404,0.38584943182873
RK063_Liver,0.903770373263696,0,0.0138779651901569,0.0754233771818116,0.00407258337661527,0,0,0.00285570098771988,0,0.859487001454214,0.517232519756184
