title,geo_accession,Phenotype
L001P,GSM3536049,Non-Tumor
L003P,GSM3536050,Non-Tumor
L004P,GSM3536051,Non-Tumor
L005P,GSM3536052,Non-Tumor
L008P,GSM3536053,Non-Tumor
L010P,GSM3536054,Non-Tumor
L012P,GSM3536055,Non-Tumor
L014P,GSM3536056,Non-Tumor
L016P,GSM3536057,Non-Tumor
L017P,GSM3536058,Non-Tumor
L019P,GSM3536059,Non-Tumor
L021P,GSM3536060,Non-Tumor
L023P,GSM3536061,Non-Tumor
L024P,GSM3536062,Non-Tumor
L025P,GSM3536063,Non-Tumor
L026P,GSM3536064,Non-Tumor
L028P,GSM3536065,Non-Tumor
L030P,GSM3536066,Non-Tumor
L032P,GSM3536067,Non-Tumor
L033P,GSM3536068,Non-Tumor
L035P,GSM3536069,Non-Tumor
L037P,GSM3536070,Non-Tumor
L038P,GSM3536071,Non-Tumor
L039P,GSM3536072,Non-Tumor
L040P,GSM3536073,Non-Tumor
L041P,GSM3536074,Non-Tumor
L042P,GSM3536075,Non-Tumor
L076P,GSM3536076,Non-Tumor
L044P,GSM3536077,Non-Tumor
L045P,GSM3536078,Non-Tumor
L046P,GSM3536079,Non-Tumor
L047P,GSM3536080,Non-Tumor
L048P,GSM3536081,Non-Tumor
L052P,GSM3536082,Non-Tumor
L056P,GSM3536083,Non-Tumor
L001T,GSM3536084,HCC
L003T,GSM3536085,HCC
L004T,GSM3536086,HCC
L005T,GSM3536087,HCC
L008T,GSM3536088,HCC
L010T,GSM3536089,HCC
L012T,GSM3536090,HCC
L014T,GSM3536091,HCC
L016T,GSM3536092,HCC
L017T,GSM3536093,HCC
L019T,GSM3536094,HCC
L021T,GSM3536095,HCC
L023T,GSM3536096,HCC
L024T,GSM3536097,HCC
L025T,GSM3536098,HCC
L026T,GSM3536099,HCC
L028T,GSM3536100,HCC
L030T,GSM3536101,HCC
L032T,GSM3536102,HCC
L033T,GSM3536103,HCC
L035T,GSM3536104,HCC
L037T,GSM3536105,HCC
L038T,GSM3536106,HCC
L039T,GSM3536107,HCC
L040T,GSM3536108,HCC
L041T,GSM3536109,HCC
L042T,GSM3536110,HCC
L076T,GSM3536111,HCC
L044T,GSM3536112,HCC
L045T,GSM3536113,HCC
L046T,GSM3536114,HCC
L047T,GSM3536115,HCC
L048T,GSM3536116,HCC
L052T,GSM3536117,HCC
L056T,GSM3536118,HCC
