geo_accession,characteristics_ch1.5.tissue subtype,Phenotype
GSM1559605,non-tumor cirrhosis,Cirrhosis
GSM1559606,primary hepatocellular carcinoma,HCC
GSM1559607,non-tumor cirrhosis,Cirrhosis
GSM1559608,primary hepatocellular carcinoma,HCC
GSM1559609,primary hepatocellular carcinoma,HCC
GSM1559610,non-tumor cirrhosis,Cirrhosis
GSM1559611,primary hepatocellular carcinoma,HCC
GSM1559612,non-tumor cirrhosis,Cirrhosis
GSM1559613,primary hepatocellular carcinoma,HCC
GSM1559614,non-tumor cirrhosis,Cirrhosis
GSM1559615,primary hepatocellular carcinoma,HCC
GSM1559616,non-tumor cirrhosis,Cirrhosis
GSM1559617,primary hepatocellular carcinoma,HCC
GSM1559618,non-tumor cirrhosis,Cirrhosis
GSM1559619,primary hepatocellular carcinoma,HCC
GSM1559620,non-tumor cirrhosis,Cirrhosis
GSM1559621,primary hepatocellular carcinoma,HCC
GSM1559622,non-tumor cirrhosis,Cirrhosis
GSM1559623,primary hepatocellular carcinoma,HCC
GSM1559624,non-tumor cirrhosis,Cirrhosis
GSM1559625,primary hepatocellular carcinoma,HCC
GSM1559626,non-tumor cirrhosis,Cirrhosis
GSM1559627,primary hepatocellular carcinoma,HCC
GSM1559628,non-tumor cirrhosis,Cirrhosis
GSM1559629,primary hepatocellular carcinoma,HCC
GSM1559630,non-tumor cirrhosis,Cirrhosis
GSM1559631,primary hepatocellular carcinoma,HCC
GSM1559632,non-tumor cirrhosis,Cirrhosis
GSM1559633,primary hepatocellular carcinoma,HCC
GSM1559634,primary hepatocellular carcinoma,HCC
GSM1559635,non-tumor cirrhosis,Cirrhosis
GSM1559636,primary hepatocellular carcinoma,HCC
GSM1559637,non-tumor cirrhosis,Cirrhosis
GSM1559638,primary hepatocellular carcinoma,HCC
GSM1559639,non-tumor cirrhosis,Cirrhosis
GSM1559640,primary hepatocellular carcinoma,HCC
GSM1559641,non-tumor cirrhosis,Cirrhosis
GSM1559642,primary hepatocellular carcinoma,HCC
GSM1559643,non-tumor cirrhosis,Cirrhosis
GSM1559644,primary hepatocellular carcinoma,HCC
GSM1559645,non-tumor cirrhosis,Cirrhosis
GSM1559646,primary hepatocellular carcinoma,HCC
GSM1559647,non-tumor cirrhosis,Cirrhosis
GSM1559648,primary hepatocellular carcinoma,HCC
GSM1559649,non-tumor cirrhosis,Cirrhosis
GSM1559650,primary hepatocellular carcinoma,HCC
GSM1559651,non-tumor cirrhosis,Cirrhosis
GSM1559652,primary hepatocellular carcinoma,HCC
GSM1559653,non-tumor cirrhosis,Cirrhosis
GSM1559654,primary hepatocellular carcinoma,HCC
GSM1559655,non-tumor cirrhosis,Cirrhosis
GSM1559656,primary hepatocellular carcinoma,HCC
GSM1559657,non-tumor cirrhosis,Cirrhosis
GSM1559658,primary hepatocellular carcinoma,HCC
GSM1559659,non-tumor cirrhosis,Cirrhosis
GSM1559660,primary hepatocellular carcinoma,HCC
GSM1559661,non-tumor cirrhosis,Cirrhosis
GSM1559662,primary hepatocellular carcinoma,HCC
GSM1559663,non-tumor cirrhosis,Cirrhosis
GSM1559664,primary hepatocellular carcinoma,HCC
GSM1559665,primary hepatocellular carcinoma,HCC
GSM1559666,non-tumor cirrhosis,Cirrhosis
GSM1559667,primary hepatocellular carcinoma,HCC
GSM1559668,non-tumor cirrhosis,Cirrhosis
GSM1559669,primary hepatocellular carcinoma,HCC
GSM1559670,non-tumor cirrhosis,Cirrhosis
GSM1559671,primary hepatocellular carcinoma,HCC
GSM1559672,non-tumor cirrhosis,Cirrhosis
GSM1559673,primary hepatocellular carcinoma,HCC
GSM1559674,non-tumor cirrhosis,Cirrhosis
GSM1559675,primary hepatocellular carcinoma,HCC
GSM1559676,non-tumor cirrhosis,Cirrhosis
GSM1559677,primary hepatocellular carcinoma,HCC
GSM1559678,non-tumor cirrhosis,Cirrhosis
GSM1559679,primary hepatocellular carcinoma,HCC
GSM1559680,non-tumor cirrhosis,Cirrhosis
GSM1559681,primary hepatocellular carcinoma,HCC
GSM1559682,non-tumor cirrhosis,Cirrhosis
GSM1559683,primary hepatocellular carcinoma,HCC
GSM1559684,non-tumor cirrhosis,Cirrhosis
GSM1559685,primary hepatocellular carcinoma,HCC
GSM1559686,non-tumor cirrhosis,Cirrhosis
GSM1559687,primary hepatocellular carcinoma,HCC
GSM1559688,non-tumor cirrhosis,Cirrhosis
GSM1559689,primary hepatocellular carcinoma,HCC
GSM1559690,primary hepatocellular carcinoma,HCC
