Mixture,Other,Hepatocytes,Proliferation,vSMC,Stellate cells,CAFs,Pericytes,P-value,Correlation,RMSE
098699N,0.187226997551149,0.572443486085551,0.0223265621492787,0.0656981977302261,0.0832361136238762,0,0.0690686428599196,0,0.752998202303728,0.786914621925964
090608N,0.153982725989057,0.431004431624632,0.104687910193971,0.101805820901739,0.0481305999792836,0.0260763747504537,0.134312136560864,0,0.664942950011796,0.792767885647761
81023N,0.374401025414518,0.440311325894137,0.0237378294466443,0.0868733339781528,0.0693554081018066,0,0.00532107716474087,0,0.79512480352342,0.622500508584074
099535N,0.307533558479292,0.329867919214562,0.0375310243727386,0.121095639158831,0.164174773349745,0,0.0397970854248312,0,0.643472061862002,0.770596924607394
11770N,0.426986711038866,0.410211918291242,0.0333173778098043,0.0628050250655258,0.0506811773795463,0,0.0159977904150154,0,0.637666093886291,0.802935344366653
81032N,0.432800492970913,0.337889554259497,0.0113322174823767,0.0479937805252269,0.14422092781538,0,0.0257630269466059,0,0.664608685895472,0.750156338282184
85421N,0.341578854629521,0.465477815072462,0.0213211429270138,0.0495816237031092,0.0974761686720354,0,0.0245643949958577,0,0.833767139793886,0.57239600331233
86279N,0.266018639334415,0.489225981985803,0.0263024644450557,0.0737444760548482,0.101817357876656,0,0.0428910803032218,0,0.644106260797261,0.85156132355428
86960N,0.274216875448595,0.511300116873243,0.0341685890279067,0.0686424069007608,0.0618915177485618,0,0.0497804940009326,0,0.661374050007504,0.850096091016108
87823N,0.424300644726426,0.306562540483402,0.0593343119560513,0.0368025239216402,0.128729941365357,0,0.0442700375471242,0,0.658891116628882,0.753026149584312
88659N,0.342110225777244,0.415983244681991,0.0334576868726602,0,0.0983228291269821,0,0.110126013541122,0,0.764328119091898,0.655774647588919
88674N,0.329196534808459,0.504591519673753,0.00228316404380411,0,0.0658288721613803,0,0.0980999093126037,0,0.695664772877265,0.793995213024886
88724N,0.215604411416639,0.611804530109898,0.0365888393464852,0.0562306380840401,0.03738300020967,0,0.0423885808332678,0,0.619038640844607,1.01326350171163
89290N,0.30407347437789,0.495882656678718,0.0273835519297834,0.0561507980560798,0.0817183175681711,0,0.034791201389358,0,0.651407589879544,0.847430064354453
96484N,0.257544685214117,0.588422558787386,0.0107369238506457,0.0481924705673964,0.0545104263206488,0,0.0405929352598058,0,0.668576256989681,0.917517385564661
099535T,0.543414044924724,0.0399308940072984,0.147357106220068,0.0271345813485213,0.0112805007435789,0.13471092074098,0.0961719520148295,0,0.315482650180891,0.951552209002683
090608T,0.484109362927102,0.00566498484748735,0.22610265783284,0.00912585317199728,0,0.140307932104737,0.134689209115837,0,0.271018499164502,0.969736634690895
098699T,0.395824404107931,0.0177974394709945,0.244275952847895,0.0605928794342837,0.00167681776471183,0,0.279832506374183,0,0.313676101208127,0.951997904796673
11770T,0.629250652131075,0,0.167399135310139,0.0264610272181282,0,0.0752474923658118,0.101641692974845,0,0.740688747531309,0.769431358675036
81023T,0.532270468286886,0.00633226236549395,0.0626468334688722,0.0262917543925305,0.00690024092619046,0.280877674003405,0.0846807665566219,0,0.487786578670306,0.883070226596625
81032T,0.417788356098774,0.00637399782158516,0.0191344763506565,0.0672893258678612,0,0.360039334978251,0.129374508882872,0,0.61456253612489,0.819341638636179
85421T,0.508109473902142,0.0690590725778846,0.228858415899894,0.00173531359450874,0.0399502936739183,0.0465078202534867,0.105779610098166,0,0.463008723885958,0.889194446875567
86279T,0.332303691725058,0.00832817296597413,0.0649252001299125,0.0216904324049869,0,0.367971679109975,0.204780823664093,0,0.558764365228291,0.842304814200801
86960T,0.660602221701716,0.00740103410672714,0.0381146494254005,0.0162614257803189,0.00910926194431963,0.124779781632534,0.143731625408984,0,0.475798971341358,0.890446552316581
87823T,0.390348969148155,0.00372295151431144,0.07593847877087,0.0180708401428764,0.014095580186585,0.424125130881577,0.0736980493556246,0,0.719758601499721,0.758315495975147
88659T,0.30016444550009,0.251079493865236,0.340088886421121,0.0251803188706878,0.00565098815189114,0,0.0778358671909732,0,0.333046956065275,1.00136180790155
88674T,0.756573241651375,0.00538033483778539,0.121563113804321,0.0356539862115819,0.0039352127998148,0.0257195321442864,0.051174578550835,0,0.561947629015629,0.849305655479039
88724T,0.626893800664372,0.0490045063311834,0.121921484220845,0.0120973907779961,0.0135067842221422,0.0572179767844551,0.119358056999005,0,0.579860879045242,0.843529805755717
89290T,0.530127136814082,0.0541443884009259,0.130433598385566,0.0528433651843086,0,0.0453335565939421,0.187117954621176,0,0.461849149630125,0.894151261434413
96484T,0.429108686367537,0,0.175504208953295,0.0218766480428818,0,0.21567160343101,0.157838853205276,0,0.424851600992348,0.908573576173142
