title,geo_accession,description,Phenotype
NL001,GSM2723148,Gene expression profile of human normal liver #NL001,Normal
NL002,GSM2723149,Gene expression profile of human normal liver #NL002,Normal
NL003,GSM2723150,Gene expression profile of human normal liver #NL003,Normal
NL004,GSM2723151,Gene expression profile of human normal liver #NL004,Normal
NL005,GSM2723152,Gene expression profile of human normal liver #NL005,Normal
NL006,GSM2723153,Gene expression profile of human normal liver #NL006,Normal
NL007,GSM2723154,Gene expression profile of human normal liver #NL007,Normal
NL008,GSM2723155,Gene expression profile of human normal liver #NL008,Normal
NL009,GSM2723156,Gene expression profile of human normal liver #NL009,Normal
NL010,GSM2723157,Gene expression profile of human normal liver #NL010,Normal
NL011,GSM2723158,Gene expression profile of human normal liver #NL011,Normal
NL012,GSM2723159,Gene expression profile of human normal liver #NL012,Normal
NL013,GSM2723160,Gene expression profile of human normal liver #NL013,Normal
NL014,GSM2723161,Gene expression profile of human normal liver #NL014,Normal
LC001T,GSM2723162,"Gene expression profile of human liver cancer #LC001, tumorous tissue",HCC
LC002T,GSM2723163,"Gene expression profile of human liver cancer #LC002, tumorous tissue",HCC
LC003T,GSM2723164,"Gene expression profile of human liver cancer #LC003, tumorous tissue",HCC
LC004T,GSM2723165,"Gene expression profile of human liver cancer #LC004, tumorous tissue",HCC
LC005T,GSM2723166,"Gene expression profile of human liver cancer #LC005, tumorous tissue",HCC
LC006T,GSM2723167,"Gene expression profile of human liver cancer #LC006, tumorous tissue",HCC
LC007T,GSM2723168,"Gene expression profile of human liver cancer #LC007, tumorous tissue",HCC
LC008T,GSM2723169,"Gene expression profile of human liver cancer #LC008, tumorous tissue",HCC
LC009T,GSM2723170,"Gene expression profile of human liver cancer #LC009, tumorous tissue",HCC
LC010T,GSM2723171,"Gene expression profile of human liver cancer #LC010, tumorous tissue",HCC
LC011T,GSM2723172,"Gene expression profile of human liver cancer #LC011, tumorous tissue",HCC
LC012T,GSM2723173,"Gene expression profile of human liver cancer #LC012, tumorous tissue",HCC
LC013T,GSM2723174,"Gene expression profile of human liver cancer #LC013, tumorous tissue",HCC
LC014T,GSM2723175,"Gene expression profile of human liver cancer #LC014, tumorous tissue",HCC
LC015T,GSM2723176,"Gene expression profile of human liver cancer #LC015, tumorous tissue",HCC
LC016T,GSM2723177,"Gene expression profile of human liver cancer #LC016, tumorous tissue",HCC
LC017T,GSM2723178,"Gene expression profile of human liver cancer #LC017, tumorous tissue",HCC
LC018T,GSM2723179,"Gene expression profile of human liver cancer #LC018, tumorous tissue",HCC
LC019T,GSM2723180,"Gene expression profile of human liver cancer #LC019, tumorous tissue",HCC
LC020T,GSM2723181,"Gene expression profile of human liver cancer #LC020, tumorous tissue",HCC
LC021T,GSM2723182,"Gene expression profile of human liver cancer #LC021, tumorous tissue",HCC
LC022T,GSM2723183,"Gene expression profile of human liver cancer #LC022, tumorous tissue",HCC
LC023T,GSM2723184,"Gene expression profile of human liver cancer #LC023, tumorous tissue",HCC
LC024T,GSM2723185,"Gene expression profile of human liver cancer #LC024, tumorous tissue",HCC
LC025T,GSM2723186,"Gene expression profile of human liver cancer #LC025, tumorous tissue",HCC
LC026T,GSM2723187,"Gene expression profile of human liver cancer #LC026, tumorous tissue",HCC
LC027T,GSM2723188,"Gene expression profile of human liver cancer #LC027, tumorous tissue",HCC
LC028T,GSM2723189,"Gene expression profile of human liver cancer #LC028, tumorous tissue",HCC
LC029T,GSM2723190,"Gene expression profile of human liver cancer #LC029, tumorous tissue",HCC
LC030T,GSM2723191,"Gene expression profile of human liver cancer #LC030, tumorous tissue",HCC
LC031T,GSM2723192,"Gene expression profile of human liver cancer #LC031, tumorous tissue",HCC
LC032T,GSM2723193,"Gene expression profile of human liver cancer #LC032, tumorous tissue",HCC
LC033T,GSM2723194,"Gene expression profile of human liver cancer #LC033, tumorous tissue",HCC
LC034T,GSM2723195,"Gene expression profile of human liver cancer #LC034, tumorous tissue",HCC
LC035T,GSM2723196,"Gene expression profile of human liver cancer #LC035, tumorous tissue",HCC
LC036T,GSM2723197,"Gene expression profile of human liver cancer #LC036, tumorous tissue",HCC
LC037T,GSM2723198,"Gene expression profile of human liver cancer #LC037, tumorous tissue",HCC
LC038T,GSM2723199,"Gene expression profile of human liver cancer #LC038, tumorous tissue",HCC
LC039T,GSM2723200,"Gene expression profile of human liver cancer #LC039, tumorous tissue",HCC
LC040T,GSM2723201,"Gene expression profile of human liver cancer #LC040, tumorous tissue",HCC
LC041T,GSM2723202,"Gene expression profile of human liver cancer #LC041, tumorous tissue",HCC
LC042T,GSM2723203,"Gene expression profile of human liver cancer #LC042, tumorous tissue",HCC
LC043T,GSM2723204,"Gene expression profile of human liver cancer #LC043, tumorous tissue",HCC
LC044T,GSM2723205,"Gene expression profile of human liver cancer #LC044, tumorous tissue",HCC
LC045T,GSM2723206,"Gene expression profile of human liver cancer #LC045, tumorous tissue",HCC
LC046T,GSM2723207,"Gene expression profile of human liver cancer #LC046, tumorous tissue",HCC
LC047T,GSM2723208,"Gene expression profile of human liver cancer #LC047, tumorous tissue",HCC
LC048T,GSM2723209,"Gene expression profile of human liver cancer #LC048, tumorous tissue",HCC
LC049T,GSM2723210,"Gene expression profile of human liver cancer #LC049, tumorous tissue",HCC
LC050T,GSM2723211,"Gene expression profile of human liver cancer #LC050, tumorous tissue",HCC
LC051T,GSM2723212,"Gene expression profile of human liver cancer #LC051, tumorous tissue",HCC
LC052T,GSM2723213,"Gene expression profile of human liver cancer #LC052, tumorous tissue",HCC
LC053T,GSM2723214,"Gene expression profile of human liver cancer #LC053, tumorous tissue",HCC
LC054T,GSM2723215,"Gene expression profile of human liver cancer #LC054, tumorous tissue",HCC
LC055T,GSM2723216,"Gene expression profile of human liver cancer #LC055, tumorous tissue",HCC
