Mixture,CD8+ Cells,Tregs,Non-immune cluster,Nk Cells,CD4+ Cells,B Cells,Myeloid,Mast Cells,P-value,Correlation,RMSE
S1N,0.108356741245171,0.0672932602564227,0.489246957829628,0.0862946250509592,0.0568492329991996,0.0617962115485271,0.119412964594643,0.0107500064754496,0,0.807968080972984,0.736170774225877
S1T,0.0974204974016829,0.0432751047699608,0.507613045667194,0.108703080543023,0.101142560679143,0.0583227816134191,0.0768933161614674,0.00662961316410935,0,0.768802925191122,0.753786113919921
S2N,0.109727231080112,0.0500797241430167,0.472913917756993,0.0889575095329475,0.085415455622878,0.0366062109804852,0.150340842195509,0.00595910868805872,0,0.850782909728476,0.722252829132359
S2T,0.128608113038608,0.0865598260873034,0.448461084969842,0.120463621759709,0.0721333176741111,0.0473432567916324,0.0863677941073112,0.0100629855714826,0,0.787699159312239,0.76390564663522
S3N,0.0849637623312529,0.0345275220592469,0.495254686670241,0.13012117327266,0.112197217131038,0.0439000326278037,0.0927978018092174,0.00623780409853972,0,0.809761880446009,0.738998717242465
S3T,0.109959819588098,0.0559253822619385,0.458675954632402,0.149647700445032,0.0629107920004862,0.0745720206104554,0.082111645749373,0.00619668471221415,0,0.763598902571221,0.765783300274261
S4N,0.0976836237675195,0.0828875290374579,0.453882824677571,0.115618172558379,0.0612081176714788,0.0508872705941444,0.129876990409859,0.00795547128359019,0,0.813140782463146,0.746330961856348
S4T,0,0.117506691276302,0.245229017451356,0.191276854239252,0.0687614080520865,0.036295288645576,0.340930740335427,0,0,0.649843017662914,0.832138211206864
S5N,0.0997425325150507,0.0393523323136107,0.455423336487755,0.133739530620525,0.0817448656729265,0.050290238031107,0.131140277936906,0.00856688642211914,0,0.817964895059599,0.743959662284675
S5T,0.113152457491206,0.129649866743255,0.374445121089964,0.164536156269415,0.0417178378717239,0.06623290544085,0.0991332354083004,0.0111324196852849,0,0.691715684816679,0.816274714189728
S6N,0.0904759855901258,0.0778408682710321,0.482560406468098,0.119145908895767,0.0681253125282465,0.0568046378796963,0.094275000680501,0.0107718796865328,0,0.826998760224023,0.732096605743969
S6T,0.0987524091043403,0.111510817904272,0.445362570952817,0.142182897876998,0.0598903035903686,0.0484223030026265,0.0842556133185041,0.0096230842500731,0,0.775470847131366,0.769612963175844
S7N,0.152503140184775,0.0438196001764218,0.461439376496079,0.0640348298938756,0.0898069254200076,0.0397913702468558,0.138924285583956,0.00968047199802892,0,0.820774250045199,0.741943618909957
S7T,0.153261221907268,0.105616530487183,0.48231773915606,0.0840048126676563,0.031897580960039,0.037798466600996,0.0944944583574963,0.0106091898633008,0,0.759568039174407,0.767287784936961
S8N,0.096287483926649,0.0557182832413163,0.497864248084025,0.0866151642569494,0.0611987238543785,0.0512470847594711,0.145132681011838,0.00593633086537253,0,0.809726722613621,0.732064046245024
S8T,0.114777008464995,0.0766081492346642,0.479071388172179,0.120365736213371,0.0671595537984572,0.0429512500276755,0.0883005105909618,0.0107664034976964,0,0.768702521757829,0.764067067278234
S9N,0.151373495740729,0.0235700446356413,0.538710254291322,0.0348914642812021,0.104858057986776,0.0262214204187723,0.115387143456911,0.00498811918864574,0,0.808288753686385,0.725546894482412
S9T,0.131890225954391,0.113982438933669,0.395462380467702,0.170528013525675,0.0292881591476054,0.0627961110346478,0.0836274472285963,0.0124252237077129,0,0.737155159515189,0.795717414026252
S10N,0.0911795858816989,0.0339524855459795,0.45915156379651,0.16198011824213,0.1300977537036,0.0222408724416259,0.0986342773654622,0.00276334302299421,0,0.767909475795351,0.771499700702088
S10T,0.157596737456951,0.0455517902842649,0.50568436009044,0.125868002835472,0.0621418484905746,0.0415785907809257,0.0541764480847901,0.00740222197658155,0,0.742346228287531,0.771023317526557
S11N,0.0905151666937326,0.0680158210090381,0.520470928938174,0.108007379604116,0.0758189160930307,0.0585817113562593,0.0699473805042889,0.00864269580135968,0,0.814768792569534,0.726806345038166
S11T,0.130692748553978,0.0697777947189505,0.462327602421493,0.122657938044184,0.0727292452912143,0.0472398722184177,0.0864589083837722,0.00811589036799036,0,0.814750526060116,0.747517466889559
S12N,0.114711884202136,0.0567092428489837,0.450656434543624,0.13391328289714,0.0878452180871164,0.0263338923951283,0.124146558419216,0.00568348660665568,0,0.828794977438789,0.74476437149753
S12T,0.175747115520645,0.0594625004938313,0.390799785694527,0.154989785889695,0.0763802086178539,0.0444814722125736,0.090529350544506,0.00760978102636828,0,0.764866659961022,0.790310847489961
S13N,0.11946175167694,0.0653079363389758,0.489914069630947,0.125114747951116,0.052981920049302,0.0559590667550051,0.0823639701991716,0.00889653739854292,0,0.803174294727438,0.742545369555066
S13T,0.136466395332512,0.12314272802069,0.366088866860257,0.186140504073743,0.0675535434624764,0.0453505378615886,0.0676370221203437,0.00762040226838959,0,0.643014449583549,0.841100249615408
S14N,0.0723023525805538,0.0511864892185535,0.521003879625898,0.103652673541023,0.0815656720080185,0.0233124978433762,0.142052488436984,0.004923946745593,0,0.806837608859399,0.729392014348738
S14T,0.156083034687152,0.0413289266267299,0.499291927952206,0.105700567757412,0.0463417530026057,0.0449716569441694,0.0961869253131744,0.0100952077165509,0,0.814783887748378,0.735177050195227
S15N,0.0912822180431379,0.043472615429802,0.498535495787456,0.129847156390136,0.0855430176509984,0.0247796464468037,0.121481949474056,0.00505790077760986,0,0.79889693033971,0.742982520030651
S15T,0.135486440197974,0.0659730603771775,0.471928419841556,0.119887574326124,0.0215479420909846,0.0692356700639681,0.109423564445854,0.00651732865636158,0,0.764990548224359,0.761111800589535
S16N,0.130068244400444,0.0106029734395684,0.460392593738824,0.0896424065034723,0.0905546160574605,0.0499811437773771,0.166567737838957,0.00219028424389686,0,0.834450648704041,0.7303212444979
S16T,0.16870431970246,0.0910716876463192,0.468070362702077,0.0673610853271567,0.0448864178920451,0.0557033992751936,0.097684310991961,0.00651841646278748,0,0.722941685877398,0.784920841111926
