Mixture,CD8+ Cells,Tregs,Non-immune cluster,Nk Cells,CD4+ Cells,B Cells,Myeloid,Mast Cells,P-value,Correlation,RMSE
RK280_Liver,0.0250338610437383,0.0243523921574943,0.613273889311197,0.0420246487906413,0.0396960924870761,0.101272983385367,0.154296033082385,5.0099742101504e-05,0,0.899124541143032,0.990764852527276
RK226_Cancer,0.0780755200664073,0.0911933939681471,0,0.101116885045254,0.0818015623415647,0.213152803058251,0.43457615598945,8.3679530926208e-05,0,0.232391270914275,0.999183284022736
RK007_Liver,0.033428432344902,0.0379019680133281,0.634703515747122,0.0481516394766143,0.0431889230021037,0.0876761534178131,0.114851451398027,9.79166000899829e-05,0,0.927245423816553,0.99024846276827
RK004_Liver,0.0347559118230864,0.0372009976853329,0.577976833682813,0.0502513421520363,0.0468980668041541,0.0973457504294783,0.155553814704116,1.72827189830812e-05,0,0.86405810301632,0.991590215276684
RK119_Liver,0.0301642095995242,0.0322529394066052,0.615583921497753,0.0452860256879373,0.0426139773327344,0.0802215922279317,0.153846830653736,3.05035937783967e-05,0,0.904932394214634,0.990700889049988
RK191_Liver,0.0239566124516779,0.0282079967565503,0.612999465487567,0.042323456245041,0.0418180517917021,0.0886113416220445,0.162007538567036,7.55370783810468e-05,0,0.918917856683484,0.990572812235007
RK081_Liver,0.0275885492141478,0.0283169266287668,0.614257677085956,0.0414132151945238,0.0406481199451704,0.0851171951432121,0.162585204126215,7.31126620075618e-05,0,0.890819742458382,0.990842832915595
RK172_Liver,0.0274434805841888,0.0315401263030309,0.608681224347958,0.0423430602754759,0.0454359819172425,0.0953434982897528,0.149171752138407,4.08761439436739e-05,0,0.942953491506968,0.990405108196993
RK041_Liver,0.0325411106676854,0.0308062511634036,0.638598300185367,0.0464370697509263,0.0374377977531787,0.0817827647272609,0.132346669719553,5.00360326251586e-05,0,0.863199488934139,0.990844090367712
RK214_Liver,0.0284550655138435,0.0285309277407233,0.687949556912317,0.0428557641143814,0.035085351413461,0.0538468350076557,0.123167975591259,0.000108523706359133,0,0.877797997677632,0.990066212557512
RK125_Liver,0.0266067511563606,0.0261200530322716,0.604945019422746,0.0452190034293753,0.0410565056714744,0.100535110470426,0.15544242826084,7.51285565064135e-05,0,0.942181162717837,0.990449474571537
RK159_Liver,0.030244424639499,0.035289378987103,0.667053146467988,0.0460363618325859,0.0390006565546339,0.0640429747667283,0.118313784112064,1.92726393979928e-05,0,0.925192885219485,0.989833262390239
RK197_Liver,0.0344808021749083,0.0359776568109569,0.629228303121562,0.046806339978389,0.0496263091139382,0.0850531550909938,0.118793079694862,3.43540143897275e-05,0,0.909024787047145,0.99051247856494
RK071_Liver,0.0269362341517803,0.0328992830298395,0.619642290046319,0.0430108121341882,0.045340452232144,0.0809021521839102,0.151229396482735,3.93797390843319e-05,0,0.88312722505159,0.990868475476012
RK262_Cancer,0.0549693287939958,0.0578095045758639,0.46915104438828,0.0667073933543676,0.0638164382373278,0.111355146510582,0.176095978332632,9.51658069504727e-05,0,0.600622222550754,0.995058293741387
RK157_Cancer,0.025423109925951,0.034979447708271,0.592757936771709,0.0398309189269499,0.0411030245193434,0.0907171646724699,0.174824365201572,0.000364032273734514,0,0.835462562662887,0.99161696300813
RK243_Cancer,0.0278066919150523,0.0335927084650902,0.572289281100654,0.0454763087462887,0.0432991183113252,0.107747978007777,0.169726908122936,6.10053308768292e-05,0,0.835307466500247,0.991905431617758
RK104_Cancer,0.0288756345272831,0.0327528578071795,0.627839865329613,0.0410149464015569,0.0406048584098121,0.0866377494538861,0.142155041116976,0.000119046953693275,0,0.869162672081584,0.990904769751176
RK241_Liver,0.0281146117698828,0.0269976090832332,0.609743451351266,0.0418710303757202,0.0402907065654396,0.102301211489933,0.150629703104263,5.16762602622705e-05,0,0.898845750506096,0.990820968624662
RK142_Liver,0.0306881037980867,0.0311748727062786,0.629478144870133,0.0417322759334741,0.0436273071204685,0.0914940547830641,0.131742007597751,6.32331907441183e-05,0,0.939625716805546,0.99016828265818
RK048_Liver,0.0276268545281301,0.0299638133408447,0.661692868876244,0.0442611225598685,0.0400463991127337,0.0632396573634493,0.133060846258906,0.000108437959822903,0,0.864175601569383,0.990543727639003
RK069_Cancer,0.0529365195434229,0.0726510462985254,0.43746504111617,0.0629485507397533,0.0718607859447816,0.10130122711331,0.200836829244036,0,0,0.498667964573504,0.996087768905567
RK101_Liver,0.0306991069285133,0.0344580275157155,0.650092856971335,0.0452863863753207,0.0405903203477835,0.0626549867062777,0.136130739879412,8.75752756418203e-05,0,0.831574736327274,0.991040850377835
RK254_Cancer,0.0315422048764608,0.0383192568586908,0.568191457376187,0.0469904453430421,0.0406488318224954,0.125566332648495,0.148641326953746,0.000100144120882245,0,0.75107324787509,0.992755764620091
RK232_Cancer,0.0280547483238359,0.0411143253373719,0.614515438512849,0.0427212203597415,0.0427189579147193,0.0993435190703668,0.131470911448217,6.0879032897917e-05,0,0.885142979710488,0.990924299984468
RK171_Cancer,0.0213018178434022,0.0284428027208918,0.603561648953471,0.0417089012952802,0.037456521804314,0.101693447219645,0.165721384113975,0.000113476049021242,0,0.783529610403124,0.992030079994296
RK181_Liver,0.0310224356728077,0.0320455493999921,0.640853458018493,0.0468524740513167,0.0426567631662568,0.0832579774309232,0.123309688523467,1.65373674329111e-06,0,0.888329984570805,0.990561366708857
RK164_Liver,0.0282113106858891,0.0265942199198996,0.608542886111475,0.045360947347388,0.0397664017912019,0.0994765217355299,0.152002494124122,4.52182844940186e-05,0,0.924381432855701,0.990583068766874
RK061_Liver,0.0289435844221374,0.0299037507487501,0.602160235130331,0.0422824462958514,0.0412578945580896,0.103234746424288,0.152176657664173,4.06847563798018e-05,0,0.925173851276454,0.990661782949803
RK015_Cancer,0.0340823509593525,0.0381169526241714,0.68798746190405,0.0393433380393216,0.0412798811048826,0.079593315252163,0.0794931325675698,0.00010356754848871,0,0.785074519070992,0.991126358025556
RK079_Liver,0.0236878415388727,0.0256072324750447,0.662344124291409,0.0385335213167881,0.033252844282511,0.0545764276915392,0.161755191888738,0.000242816515097221,0,0.860056481720693,0.990538046367382
RK305_Cancer,0.02771187936225,0.0317713113055011,0.610280185133228,0.0414237964752495,0.0415268539704884,0.0844615557636596,0.162772908310454,5.15096791691796e-05,0,0.822738639911609,0.991581099595542
RK056_Cancer,0.030228428006551,0.0444822052752456,0.663690034543048,0.0346702875993058,0.04176343693692,0.0888551227787258,0.0962099704182881,0.00010051444191593,0,0.709438158504428,0.992204706369503
RK059_Cancer,0.0255175300646906,0.0342523982062558,0.630412766747267,0.0402665664576688,0.0350916967520504,0.0699279215915394,0.164531120180528,0,0,0.773628163851912,0.991847103265108
RK083_Cancer,0.0292576883745241,0.0369970271403235,0.615322932182851,0.0425402058935959,0.047213826120079,0.0834199267187616,0.145205189712229,4.32038576360826e-05,0,0.718302104624663,0.992592677896568
RK109_Liver,0.0282699098379937,0.0341571235366632,0.620403727211329,0.0453862067065181,0.0423443030569845,0.0690906485655411,0.160270569504796,7.75115801746531e-05,0,0.844888585546577,0.99124673820861
RK241_Cancer,0.0234432712602898,0.0340121749584504,0.644923887198258,0.0348946968179401,0.0365098545806903,0.0814018018314283,0.144813146398272,1.1669546705512e-06,0,0.790338009839686,0.991512126066835
RK167_Cancer,0.0357216861220371,0.0414430448179081,0.556230688205285,0.0477894208915572,0.045746208594444,0.12582152704192,0.147065797818251,0.000181626508597223,0,0.732152112353862,0.993063142210144
RK058_Cancer,0.0295227610344396,0.0369506761642886,0.640721356077022,0.0436232507594305,0.0382713117794978,0.0776673333311833,0.133190749539735,5.25613144033323e-05,0,0.726688307803866,0.992244843738335
RK137_Cancer,0.0282629259392616,0.0335349625597256,0.634817490903953,0.039445251601108,0.048527608339604,0.0847368652439249,0.130669349018258,5.54639416536413e-06,0,0.74575906527844,0.992108916238282
RK263_Cancer,0.0339394607211668,0.0444938010164736,0.641209892412595,0.0453745977099688,0.0458393164456708,0.0773172703154999,0.111795285862843,3.03755157818807e-05,0,0.832022178703065,0.991167255014586
RK308_Liver,0.0219432041652733,0.0212215664330452,0.659447917113789,0.0408036281361518,0.0355785764782297,0.0679343965748078,0.153037957160654,3.27539380494597e-05,0,0.780896341734471,0.99143888776372
RK147_Liver,0.0355992289251088,0.033269204629311,0.662370423933772,0.0435117897364784,0.0426244359163009,0.0565468240007922,0.126020263851474,5.78290067628688e-05,0,0.923655235038198,0.989914504126621
RK295_Cancer,0.0252071282297535,0.0353914250837765,0.650594427442039,0.040529288087363,0.0414402482011303,0.0965344930968321,0.110287995389696,1.49944694092666e-05,0,0.822340738973152,0.99112995676062
RK177_Cancer,0.0421130378957029,0.0502356852902358,0.504666951734485,0.0494899402967047,0.0486853051606352,0.148982138706487,0.155599379190279,0.000227561725469343,0,0.695875906548433,0.993904830173287
RK052_Cancer,0.0245441696096773,0.0353576534379404,0.658065751407191,0.035514389903004,0.0374837436292169,0.0812116648413716,0.127820756557301,1.87061429769607e-06,0,0.70181213525011,0.992320848058067
RK179_Liver,0.0325885421779714,0.030763374261736,0.646735432059877,0.0478507398431924,0.0438211984265754,0.0667451730278798,0.131366915759915,0.00012862444285258,0,0.859937596106467,0.990784261230161
RK240_Cancer,0.0390789560577099,0.0460348281093546,0.484084817603269,0.0605669255898564,0.053770865226354,0.0857531470932123,0.230474894527071,0.000235565793172504,0,0.530849265495021,0.995446359804663
