Mixture,Immune cluster,Hepatocytes,Fibroblasts,Endothelial Cells,Bi-Potent Cells,P-value,Correlation,RMSE
GSM2053444,0.0609874918265084,0.715471235312987,0.0506926319608722,0.172848640899632,0,0,0.928725132842124,0.669047756453618
GSM2053438,0.213029954309403,0.440779169587413,0.100955234281823,0.22228387605844,0.0229517657629213,0,0.932674523802616,0.361667330918803
GSM2053485,0.344736539984174,0.0478796548641929,0.173702098917527,0.306978229201039,0.126703477033067,0,0.351355189677293,0.945886317080431
GSM2053456,0.328889782148345,0.310895258605925,0.0666009316021259,0.177273316923217,0.116340710720387,0,0.860028917635148,0.531102759192054
GSM2053473,0.427460737136519,0.142213959449772,0.134829265217782,0.234090032145054,0.0614060060508722,0,0.488445973486065,0.883328548909942
GSM2053478,0.29085690275562,0.364772900186334,0.0486924930266949,0.223384756066104,0.0722929479652475,0,0.838424683546385,0.546372946739344
GSM2053460,0.298001798241663,0.255787507711584,0.140310864694695,0.232156148320466,0.0737436810315929,0,0.772352505911624,0.662585171376694
GSM2053466,0.269650639279613,0.201234031621467,0.199904287688435,0.271831277106438,0.0573797643040473,0,0.904020001636661,0.608719795353861
GSM2053484,0.213607210510558,0.324112877059104,0.162783489046045,0.226246770918737,0.0732496524655562,0,0.90528116717309,0.463418215746487
GSM2053454,0.16588972481003,0.525310202648181,0.0961286660875115,0.207225695045075,0.00544571140920311,0,0.926822890244243,0.414003837261577
GSM2053479,0.563519228361482,0.00384179519833499,0.124183491040683,0.247711360239044,0.0607441251604559,0,0.530795733835015,0.937272626881224
GSM2053448,0.135766463751628,0.606426490292729,0.0814075235117478,0.176399522443895,0,0,0.936500185870352,0.479562798798102
GSM2053435,0.252358499952079,0.286974961978577,0.144115478872549,0.278912593545223,0.037638465651572,0,0.922991165434413,0.483646482902976
GSM2053464,0.226572352783506,0.406797719352834,0.0958184191326243,0.201859226544511,0.0689522821865253,0,0.895888827904606,0.44502539026747
