Mixture,Immune cluster,Hepatocytes,Fibroblasts,Endothelial Cells,Bi-Potent Cells,P-value,Correlation,RMSE
RK280_Liver,0.181893199110704,0.499533245355951,0.115450584047166,0.202286512516515,0.000836458969663627,0,0.856975036266242,0.79317856681363
RK226_Cancer,0.471596146588539,0,0.284475711295821,0.220480867922749,0.0234472741928912,0,0.310650056242187,0.984024713082972
RK007_Liver,0.0338307426609042,0.914495951946963,0.00680316649039209,0.0448216134064077,4.8525495333198e-05,0,0.91179897177683,0.613259467871372
RK004_Liver,0.383316970332351,0.321802107893604,0.102380131124844,0.192210321241934,0.000290469407266116,0,0.917648189721341,0.848348964513713
RK119_Liver,0.115111244715998,0.729947898293846,0.0396911794553502,0.113722854292734,0.00152682324207219,0,0.949902505433983,0.661745937155615
RK191_Liver,0.118627535158621,0.725830089482989,0.0288219859194597,0.126355384569989,0.000365004868941018,0,0.951250796892931,0.662816701976449
RK081_Liver,0.0792292824272131,0.769339686153873,0.02611293984001,0.125103734379444,0.000214357199458999,0,0.846116860695386,0.704386175468212
RK172_Liver,0.108709358930573,0.766274868489211,0.0409003572513283,0.083908814290097,0.000206601038790986,0,0.905217463427836,0.672197929846766
RK041_Liver,0.110960293203927,0.748908874977262,0.0274639764646223,0.11254185269334,0.000125002660848755,0,0.935382596551675,0.661931682773027
RK214_Liver,0,0.939563103161695,0,0.0603557309438909,8.11658944142667e-05,0,0.831995879584283,0.663475424085563
RK125_Liver,0.125420834492182,0.762299474115978,0.020774247631407,0.0913362393560777,0.000169204404355578,0,0.91566797905575,0.667680230122819
RK159_Liver,0.00135320506016794,0.942504068836911,0.00512932110208433,0.050909663126165,0.000103741874672131,0,0.91421715533532,0.601483273984921
RK197_Liver,0.0669712668275036,0.815532920998732,0.0361389780407647,0.0811370779291298,0.000219756203869739,0,0.84588527698948,0.689978549908991
RK071_Liver,0.137715216616505,0.666895890944556,0.0454338566119244,0.149064270214943,0.000890765612071262,0,0.921030917260043,0.702989601174053
RK262_Cancer,0.488172920352002,0.211426928706916,0.0754944635787602,0.224839824587377,6.58627749458506e-05,0,0.835132295744723,0.906188139910718
RK157_Cancer,0.214261331907873,0.534143000373184,0.0657830684210261,0.177096521307428,0.00871607799048857,0,0.806416010196199,0.797050176757043
RK243_Cancer,0.260722246595882,0.530264574887572,0.0521412771917846,0.156736120246753,0.000135781078008586,0,0.853748667264277,0.782527465863406
RK104_Cancer,0.083910796385795,0.774475725028386,0.0310774674563512,0.110468328400049,6.76827294185901e-05,0,0.94230727673383,0.647394860559497
RK241_Liver,0.158733653030458,0.514957442978819,0.0987138019937602,0.227161705274059,0.000433396722903443,0,0.926718094656819,0.76413547205656
RK142_Liver,0.0548092860021484,0.813424285941112,0.0317161779166772,0.0997624691402775,0.000287780999784511,0,0.879137311585679,0.670817222945686
RK048_Liver,0.0222646630478919,0.892474054082533,0.00697772305942417,0.0782190754967599,6.44843133915228e-05,0,0.858607679153191,0.658443705112815
RK069_Cancer,0.305892684314786,0.168080556098081,0.281982970945884,0.243328677236859,0.000715111404390383,0,0.70999933595818,0.935775358739385
RK101_Liver,0.0435842823979043,0.849146016599118,0.0168618858954671,0.0903674092097036,4.04058978066549e-05,0,0.893171280062715,0.649597211944003
RK254_Cancer,0.267743707415306,0.537930546986594,0.0586897046393299,0.133349292572828,0.00228674838594254,0,0.599783206110548,0.864014694708159
RK232_Cancer,0.231354191368543,0.547166799084276,0.0898067574140839,0.123216035299788,0.00845621683330923,0,0.944153330739099,0.742768467079146
RK171_Cancer,0.21057588324733,0.463828187740915,0.125084047104018,0.189068884863331,0.0114429970444059,0,0.821498446313401,0.81570128682204
RK181_Liver,0.05371150610678,0.857930725297045,0.00901981088549153,0.0792357207419971,0.000102236968686135,0,0.864547550830917,0.665177022343343
RK164_Liver,0.0711990753246581,0.799436178940462,0.024265639992449,0.104775450573183,0.000323655169248704,0,0.934071036993598,0.642192943649268
RK061_Liver,0.136887050178542,0.699317615403458,0.0259342779435117,0.137663091418489,0.0001979650559993,0,0.895587494713131,0.702677056653334
RK015_Cancer,0.0708175002394794,0.880930126347231,0.0019059649892468,0.0462961276132312,5.02808108120788e-05,0,0.90218694173474,0.632058446054943
RK079_Liver,0.0571298321409167,0.773147335407456,0.0146887288874567,0.154863870739055,0.000170232825116494,0,0.86425872443184,0.693242206383502
RK305_Cancer,0.152491131406868,0.632314481026461,0.0731747246033606,0.140904028639282,0.00111563432402765,0,0.900149478006443,0.726270679487702
RK056_Cancer,0.115234975454576,0.747155818348511,0.0224275450113246,0.097407296529132,0.0177743646564559,0,0.813439252223195,0.727016257576563
RK059_Cancer,0.17492415580541,0.5434160196894,0.0819883352613452,0.197556120592788,0.00211536865105651,0,0.73204857708743,0.820014198573908
RK083_Cancer,0.195012946421341,0.564475345676174,0.0845446015321182,0.155805499636822,0.000161606733545397,0,0.863686853436691,0.766673254854333
RK109_Liver,0.120299115606298,0.731505950457769,0.0199341234300507,0.128083246845972,0.000177563659909734,0,0.830832897083959,0.724237689377657
RK241_Cancer,0.213290383850141,0.564348191934018,0.0857460876198403,0.122509949502821,0.0141053870931793,0,0.85226487979417,0.769476816213249
RK167_Cancer,0.292688591197345,0.552635060119674,0.0260173648466815,0.128553808863524,0.000105174972774531,0,0.860478809560748,0.771749577239885
RK058_Cancer,0.185131676134189,0.574359671030513,0.0763056950410886,0.144266983771539,0.01993597402267,0,0.787882920565536,0.789191120350943
RK137_Cancer,0.186831266397813,0.523806305324563,0.148743703365034,0.139095578595764,0.00152314631682609,0,0.899509514921957,0.769468331162631
RK263_Cancer,0.117678713966637,0.743217410814203,0.0420485576435159,0.0969501867278495,0.00010513084779549,0,0.805842031067562,0.733377923703404
RK308_Liver,0.0966054089650003,0.64440130768365,0.0529951178909726,0.205736017575639,0.000262147884737986,0,0.855320319705722,0.741792615705534
RK147_Liver,0.022525304398152,0.911933753829747,0.00188975317735221,0.0635930497147482,5.81388800004175e-05,0,0.905880550750258,0.618646154560059
RK295_Cancer,0.168409044285915,0.707350468917166,0.0369791796615177,0.0872613071354018,0,0,0.779362172128053,0.756216235267704
RK177_Cancer,0.27152733710882,0.552445130249691,0.0487557416733874,0.122239318761837,0.00503247220626377,0,0.858655096902661,0.772351009524843
RK052_Cancer,0.203622728387502,0.673818123586524,0.028711036888523,0.0898644851355767,0.00398362600187417,0,0.661657943976663,0.815874446477727
RK179_Liver,0.0458554480083156,0.872901365762537,0.00678879626327012,0.0743895231219448,6.48668439330202e-05,0,0.820209987224059,0.689123804393697
