geo_accession,sample_id,title,Phenotype
GSM1646679,301N,HCC_301N,Non-Tumor
GSM1646680,302N,HCC_302N,Non-Tumor
GSM1646681,355N,HCC_355N,Non-Tumor
GSM1646682,356N,HCC_356N,Non-Tumor
GSM1646683,353N,HCC_353N,Non-Tumor
GSM1646684,304T,HCC_304T,HCC
GSM1646685,305T,HCC_305T,HCC
GSM1646686,307T,HCC_307T,HCC
GSM1646687,308T,HCC_308T,HCC
GSM1646688,309T,HCC_309T,HCC
GSM1646689,310T,HCC_310T,HCC
GSM1646690,311T,HCC_311T,HCC
GSM1646691,312T,HCC_312T,HCC
GSM1646692,314T,HCC_314T,HCC
GSM1646693,315T,HCC_315T,HCC
GSM1646694,316T,HCC_316T,HCC
GSM1646695,317T,HCC_317T,HCC
GSM1646696,319T,HCC_319T,HCC
GSM1646697,320T,HCC_320T,HCC
GSM1646698,321T,HCC_321T,HCC
GSM1646699,322T,HCC_322T,HCC
GSM1646700,323T,HCC_323T,HCC
GSM1646701,325T,HCC_325T,HCC
GSM1646702,326T,HCC_326T,HCC
GSM1646703,327T,HCC_327T,HCC
GSM1646704,328T,HCC_328T,HCC
GSM1646705,329T,HCC_329T,HCC
GSM1646706,330T,HCC_330T,HCC
GSM1646707,332T,HCC_332T,HCC
GSM1646708,333T,HCC_333T,HCC
GSM1646709,334T,HCC_334T,HCC
GSM1646710,335T,HCC_335T,HCC
GSM1646711,336T,HCC_336T,HCC
GSM1646712,337T,HCC_337T,HCC
GSM1646713,339T,HCC_339T,HCC
GSM1646714,342T,HCC_342T,HCC
GSM1646715,345T,HCC_345T,HCC
GSM1646716,346T,HCC_346T,HCC
GSM1646717,347T,HCC_347T,HCC
GSM1646718,348T,HCC_348T,HCC
GSM1646719,349T,HCC_349T,HCC
GSM1646720,350T,HCC_350T,HCC
GSM1646721,351T,HCC_351T,HCC
GSM1646722,352T,HCC_352T,HCC
GSM1646723,353T,HCC_353T,HCC
GSM1646724,354T,HCC_354T,HCC
GSM1646725,355T,HCC_355T,HCC
GSM1646726,356T,HCC_356T,HCC
GSM1646727,357T,HCC_357T,HCC
GSM1646728,358T,HCC_358T,HCC
GSM1646729,359T,HCC_359T,HCC
GSM1646730,360T,HCC_360T,HCC
GSM1646731,361T,HCC_361T,HCC
GSM1646732,362T,HCC_362T,HCC
GSM1646733,363T,HCC_363T,HCC
