Mixture,CD8+ Cells,Tregs,Non-immune cluster,Nk Cells,CD4+ Cells,B Cells,Myeloid,Mast Cells,P-value,Correlation,RMSE,,T_Cell
RK280_Liver,0.025033861043738,0.024352392157494,0.613273889311197,0.042024648790641,0.039696092487076,0.101272983385367,0.154296033082385,5.0099742101504E-05,0,0.899124541143032,0.990764852527276,,0.089082345688309
RK226_Cancer,0.078075520066407,0.091193393968147,0,0.101116885045254,0.081801562341565,0.213152803058251,0.43457615598945,8.3679530926208E-05,0,0.232391270914275,0.999183284022736,,0.251070476376119
RK007_Liver,0.033428432344902,0.037901968013328,0.634703515747122,0.048151639476614,0.043188923002104,0.087676153417813,0.114851451398027,9.79166000899829E-05,0,0.927245423816553,0.99024846276827,,0.114519323360334
RK004_Liver,0.034755911823086,0.037200997685333,0.577976833682813,0.050251342152036,0.046898066804154,0.097345750429478,0.155553814704116,1.72827189830812E-05,0,0.86405810301632,0.991590215276684,,0.118854976312573
RK119_Liver,0.030164209599524,0.032252939406605,0.615583921497753,0.045286025687937,0.042613977332734,0.080221592227932,0.153846830653736,3.05035937783967E-05,0,0.904932394214634,0.990700889049988,,0.105031126338864
RK191_Liver,0.023956612451678,0.02820799675655,0.612999465487567,0.042323456245041,0.041818051791702,0.088611341622045,0.162007538567036,7.55370783810468E-05,0,0.918917856683484,0.990572812235007,,0.09398266099993
RK081_Liver,0.027588549214148,0.028316926628767,0.614257677085956,0.041413215194524,0.04064811994517,0.085117195143212,0.162585204126215,7.31126620075618E-05,0,0.890819742458382,0.990842832915595,,0.096553595788085
RK172_Liver,0.027443480584189,0.031540126303031,0.608681224347958,0.042343060275476,0.045435981917243,0.095343498289753,0.149171752138407,4.08761439436739E-05,0,0.942953491506968,0.990405108196993,,0.104419588804462
RK041_Liver,0.032541110667685,0.030806251163404,0.638598300185367,0.046437069750926,0.037437797753179,0.081782764727261,0.132346669719553,5.00360326251586E-05,0,0.863199488934139,0.990844090367712,,0.100785159584268
RK214_Liver,0.028455065513844,0.028530927740723,0.687949556912317,0.042855764114381,0.035085351413461,0.053846835007656,0.123167975591259,0.000108523706359,0,0.877797997677632,0.990066212557512,,0.092071344668028
RK125_Liver,0.026606751156361,0.026120053032272,0.604945019422746,0.045219003429375,0.041056505671474,0.100535110470426,0.15544242826084,7.51285565064135E-05,0,0.942181162717837,0.990449474571537,,0.093783309860107
RK159_Liver,0.030244424639499,0.035289378987103,0.667053146467988,0.046036361832586,0.039000656554634,0.064042974766728,0.118313784112064,1.92726393979928E-05,0,0.925192885219485,0.989833262390239,,0.104534460181236
RK197_Liver,0.034480802174908,0.035977656810957,0.629228303121562,0.046806339978389,0.049626309113938,0.085053155090994,0.118793079694862,3.43540143897275E-05,0,0.909024787047145,0.99051247856494,,0.120084768099803
RK071_Liver,0.02693623415178,0.03289928302984,0.619642290046319,0.043010812134188,0.045340452232144,0.08090215218391,0.151229396482735,3.93797390843319E-05,0,0.88312722505159,0.990868475476012,,0.105175969413764
RK262_Cancer,0.054969328793996,0.057809504575864,0.46915104438828,0.066707393354368,0.063816438237328,0.111355146510582,0.176095978332632,9.51658069504727E-05,0,0.600622222550754,0.995058293741387,,0.176595271607187
RK157_Cancer,0.025423109925951,0.034979447708271,0.592757936771709,0.03983091892695,0.041103024519343,0.09071716467247,0.174824365201572,0.000364032273735,0,0.835462562662887,0.99161696300813,,0.101505582153565
RK243_Cancer,0.027806691915052,0.03359270846509,0.572289281100654,0.045476308746289,0.043299118311325,0.107747978007777,0.169726908122936,6.10053308768292E-05,0,0.835307466500247,0.991905431617758,,0.104698518691468
RK104_Cancer,0.028875634527283,0.03275285780718,0.627839865329613,0.041014946401557,0.040604858409812,0.086637749453886,0.142155041116976,0.000119046953693,0,0.869162672081584,0.990904769751176,,0.102233350744275
RK241_Liver,0.028114611769883,0.026997609083233,0.609743451351266,0.04187103037572,0.04029070656544,0.102301211489933,0.150629703104263,5.16762602622705E-05,0,0.898845750506096,0.990820968624662,,0.095402927418556
RK142_Liver,0.030688103798087,0.031174872706279,0.629478144870133,0.041732275933474,0.043627307120469,0.091494054783064,0.131742007597751,6.32331907441183E-05,0,0.939625716805546,0.99016828265818,,0.105490283624834
RK048_Liver,0.02762685452813,0.029963813340845,0.661692868876244,0.044261122559869,0.040046399112734,0.063239657363449,0.133060846258906,0.000108437959823,0,0.864175601569383,0.990543727639003,,0.097637066981709
RK069_Cancer,0.052936519543423,0.072651046298525,0.43746504111617,0.062948550739753,0.071860785944782,0.10130122711331,0.200836829244036,0,0,0.498667964573504,0.996087768905567,,0.19744835178673
RK101_Liver,0.030699106928513,0.034458027515716,0.650092856971335,0.045286386375321,0.040590320347784,0.062654986706278,0.136130739879412,8.75752756418203E-05,0,0.831574736327274,0.991040850377835,,0.105747454792012
RK254_Cancer,0.031542204876461,0.038319256858691,0.568191457376187,0.046990445343042,0.040648831822495,0.125566332648495,0.148641326953746,0.000100144120882,0,0.75107324787509,0.992755764620091,,0.110510293557647
RK232_Cancer,0.028054748323836,0.041114325337372,0.614515438512849,0.042721220359742,0.042718957914719,0.099343519070367,0.131470911448217,6.0879032897917E-05,0,0.885142979710488,0.990924299984468,,0.111888031575927
RK171_Cancer,0.021301817843402,0.028442802720892,0.603561648953471,0.04170890129528,0.037456521804314,0.101693447219645,0.165721384113975,0.000113476049021,0,0.783529610403124,0.992030079994296,,0.087201142368608
RK181_Liver,0.031022435672808,0.032045549399992,0.640853458018493,0.046852474051317,0.042656763166257,0.083257977430923,0.123309688523467,1.65373674329111E-06,0,0.888329984570805,0.990561366708857,,0.105724748239057
RK164_Liver,0.028211310685889,0.0265942199199,0.608542886111475,0.045360947347388,0.039766401791202,0.09947652173553,0.152002494124122,4.52182844940186E-05,0,0.924381432855701,0.990583068766874,,0.094571932396991
RK061_Liver,0.028943584422137,0.02990375074875,0.602160235130331,0.042282446295851,0.04125789455809,0.103234746424288,0.152176657664173,4.06847563798018E-05,0,0.925173851276454,0.990661782949803,,0.100105229728977
RK015_Cancer,0.034082350959353,0.038116952624171,0.68798746190405,0.039343338039322,0.041279881104883,0.079593315252163,0.07949313256757,0.000103567548489,0,0.785074519070992,0.991126358025556,,0.113479184688406
RK079_Liver,0.023687841538873,0.025607232475045,0.662344124291409,0.038533521316788,0.033252844282511,0.054576427691539,0.161755191888738,0.000242816515097,0,0.860056481720693,0.990538046367382,,0.082547918296428
RK305_Cancer,0.02771187936225,0.031771311305501,0.610280185133228,0.04142379647525,0.041526853970488,0.08446155576366,0.162772908310454,5.15096791691796E-05,0,0.822738639911609,0.991581099595542,,0.101010044638239
RK056_Cancer,0.030228428006551,0.044482205275246,0.663690034543048,0.034670287599306,0.04176343693692,0.088855122778726,0.096209970418288,0.000100514441916,0,0.709438158504428,0.992204706369503,,0.116474070218717
RK059_Cancer,0.025517530064691,0.034252398206256,0.630412766747267,0.040266566457669,0.03509169675205,0.069927921591539,0.164531120180528,0,0,0.773628163851912,0.991847103265108,,0.094861625022997
