NAME	Other	Non-inflammatory_Macrophage	alpha-beta_T_Cells	Inflammatory_Macrophage	NK-like_Cells	gamma-delta_T_Cells	Mature_B_Cells	Plasma_Cells
A1CF	119.505185810024	1	1	1	1	1	1	1
A2M	480.677067140769	103.996742269429	1	1	1	1	1	1
AADAC	266.863273698149	1	1	1	1	1	1	1
AAK1	1	1	213.936872468845	92.2488261074323	241.166358110998	230.704692407172	1	1
ABAT	88.6161481262955	1	1	1	1	1	1	1
ABCA1	61.6787355632198	251.516269952842	1	1	1	1	1	1
ABCB4	93.7718081417057	1	1	1	1	1	1	1
ABCB9	1	1	1	1	1	1	1	78.0882492117047
ABCC3	70.7395330648623	1	1	1	1	1	1	1
ABHD14B	1	1	77.0613926584527	1	1	1	95.8314015853144	1
ABHD17A	1	1	1	1	138.727712247537	206.35439735092	1	1
ABHD2	150.144286045464	1	1	1	1	1	1	1
ABI3	1	1	1	1	118.627859601015	130.852663444645	1	1
ABRACL	91.8145581249648	265.112548368954	170.144491741046	149.117749984877	137.429110921118	162.213809247401	1	68.4646203948083
AC079767.4	1	1	1	1	1	1	70.7338070044978	1
AC092580.4	1	1	306.521622362856	1	180.636079647307	1	1	1
ACAA1	264.662926145597	1	1	1	1	1	1	1
ACAA2	309.558543505577	1	1	1	109.621122248268	1	1	1
ACACB	87.8809149826569	1	1	1	1	1	1	1
ACADM	97.1907174429799	1	1	1	1	1	1	1
ACADS	75.2207774598477	1	1	1	1	1	1	1
ACADSB	183.384586970959	1	1	1	1	1	1	1
ACADVL	152.543731128923	1	1	1	1	1	1	1
ACAP1	1	1	356.670947823778	1	441.456089956314	250.074199196365	187.891273935476	1
ACAP2	1	84.0119551141385	1	1	1	1	1	1
ACAT1	265.43441733392	1	1	1	1	1	73.4510738581547	1
ACO1	69.2630151944013	1	1	1	1	1	1	1
ACOT13	67.0934968481227	1	1	1	1	1	1	1
ACOX1	103.718361765237	1	1	1	1	1	1	1
ACP1	1	1	70.5595327763721	1	85.6344389170958	83.9524922406157	1	88.7593796521451
ACSL1	474.523910433124	99.337433747222	1	114.034818211246	1	1	1	1
ACSM2A	290.253269831914	1	1	1	1	1	1	1
ACSM2B	435.544776628003	1	1	1	1	1	1	1
ACSM5	79.0803939863564	1	1	1	1	1	1	1
ACTN1	1	78.5700950796351	1	1	1	1	1	1
ACTN4	1	1	74.7883752958439	1	127.863261395572	91.2606339342312	1	1
ACTR2	1	414.086086050211	129.183703857956	301.296042758278	169.250924993216	202.922674785698	103.691501485711	1
ADAM28	1	1	1	1	1	1	112.907190776371	1
ADAP2	1	198.651032966212	1	1	1	1	1	1
ADAR	1	87.3313905657365	1	1	66.8559996828803	1	1	1
ADD3	1	1	1	1	66.8825011921366	122.087432152645	106.706895382072	1
ADGRE5	1	1	150.091633159324	84.7145469499364	217.281210359231	200.051541969162	1	1
ADGRG1	1	1	1	1	1	158.102062274194	1	1
ADGRG6	72.0398985817753	1	1	1	1	1	1	1
ADH1A	70.2304865026497	1	1	1	1	1	1	1
ADH1B	1804.77167825894	1	95.7450856646998	86.1932283841186	85.9996536914341	105.87612681284	104.524110563771	1
ADH1C	158.909724584187	1	1	1	1	1	1	1
ADH4	402.849404213516	1	1	1	1	1	1	1
ADH5	66.0390491041118	1	1	1	1	1	1	1
ADH6	114.614605083873	1	1	1	1	1	1	1
ADI1	515.834830847409	153.28820168524	1	91.7583126305827	80.8405690862706	97.9377508629372	1	80.5342338465807
ADIPOR1	1	120.815432154979	1	1	1	1	1	1
ADIRF	437.160564089572	1	1	1	1	1	1	1
ADM	1	85.598732467211	1	1	1	1	1	1
ADORA3	1	109.268979772296	1	1	1	1	1	1
ADRM1	1	1	1	1	1	84.7948702024486	1	90.4633405133018
AES	1	98.9508510463516	213.642859140949	77.2190828657284	237.106135053904	397.01858920113	1	1
AFM	110.314873411498	1	1	1	1	1	1	1
AGPAT2	78.0762388189429	1	1	1	1	1	1	1
AGT	951.910929821816	1	1	1	1	1	1	99.4817878967173
AGTRAP	1	1	1	129.479780609751	74.9803626620529	91.6923984393472	1	1
AGXT	851.466095254081	1	86.9325458444723	1	1	1	96.2060142706275	1
AHCYL1	63.5894293137056	1	1	1	1	1	1	1
AHNAK	1	145.306133206265	1	306.892086139609	1	82.7627778869067	1	1
AHR	1	1	1	79.0530206757214	1	1	1	1
AHSG	468.130758292064	1	1	1	1	1	1	1
AIF1	1	2132.35324760628	1	1666.85216917116	1	1	1	1
AIG1	75.145257621173	1	1	1	1	1	1	1
AIP	1	1	85.4994746934207	1	89.7067329942763	95.6558465654623	1	1
AK3	116.483062975802	1	1	1	1	1	1	1
AK4	83.4630839980355	1	1	1	1	1	1	1
AKAP9	69.1728253981565	1	92.0884986006108	1	119.217374159194	97.1926444815668	1	84.2911369199778
AKIRIN2	1	1	1	1	79.8311124848507	1	1	1
AKNA	1	1	132.377644708898	1	179.614845184795	143.019860230401	1	1
AKR1A1	109.33410885182	1	1	75.6195667202598	1	1	1	105.023790774272
AKR1B1	1	247.925617050013	1	1	1	1	1	1
AKR1C1	272.276985686601	1	1	1	1	1	1	1
AKR1C2	160.120344216417	1	1	1	1	1	1	1
AKR1C4	236.130079846105	1	1	1	1	1	1	1
AL928768.3	1	1	1	1	1	1	153.614397191899	1
ALAS1	84.6182698224024	1	1	1	1	1	1	1
ALDH1A1	272.021771653419	140.025377200755	1	1	1	1	1	1
ALDH1L1	283.632434484839	1	1	1	1	1	1	1
ALDH2	358.276347564901	286.162490277394	1	157.639073722788	1	1	1	1
ALDH4A1	156.316389932588	1	1	1	1	1	1	1
ALDH6A1	210.806513166608	1	1	1	1	1	1	1
ALDH9A1	56.8762238890877	1	1	1	1	1	1	1
ALDOB	1296.36432705827	1	1	1	1	81.7865659036835	87.3056316799797	1
ALG5	1	1	1	1	1	1	1	80.3588485363232
ALOX5AP	1	1	294.797752131943	163.775057351262	546.875641520493	334.250637547132	88.4837044681829	1
AMD1	1	1	73.6059135465512	1	1	1	1	1
AMFR	66.8618366653046	1	1	1	1	1	1	1
ANAPC5	1	1	1	1	1	1	1	74.0576824113116
ANG	1894.87666758348	1	1	84.3552720454618	1	1	1	1
ANGPTL3	220.044264619552	1	1	1	1	1	1	1
ANGPTL4	60.516837097678	1	1	1	1	1	1	1
ANKH	1	118.982967112136	1	1	1	1	1	1
ANKRD11	1	1	78.0685823900653	1	86.4028113136004	105.447125818788	1	1
ANKRD28	1	1	1	1	119.225418230874	1	1	80.7204321814331
ANKRD44	1	1	92.640404951446	1	142.455225865236	104.511150391556	104.364643680968	1
ANP32A	1	1	75.4077178441928	95.7629923427493	111.730584190856	90.7685415839396	1	74.0892180279792
ANP32E	1	1	1	1	1	112.732060767957	1	90.217284922111
ANPEP	108.127406657268	1	1	1	1	1	1	1
ANXA1	1	223.00910638509	333.091160422244	593.281236270454	106.824308993383	471.874254088105	1	1
ANXA11	1	1	105.654835949713	98.4281305921458	103.092512011454	119.385613275444	1	1
ANXA2	138.077445387296	124.420010471361	137.865942133096	441.857151754026	1	172.524674866697	1	141.900544873991
ANXA2R	1	1	83.9903258016616	1	71.8057782689601	1	1	1
ANXA5	1	493.146234104953	1	246.790566475893	1	1	1	114.072198961787
ANXA6	62.5489369097044	1	107.644522509921	1	86.2472403725575	177.616601684165	109.105045403584	1
AOAH	1	1	1	78.3759018476624	115.9752373147	1	1	1
AOX1	292.900967567313	1	1	1	1	1	1	1
AP1B1	1	90.1947193899263	1	1	1	1	1	1
AP1S2	1	229.636850984953	1	303.254931657918	1	1	1	1
AP2A2	1	111.800087343533	1	1	1	1	1	1
AP2M1	1	83.8471146933933	97.3467757800831	78.5367839030917	122.081979806698	121.584796235876	1	1
AP2S1	195.509302665241	439.908581767174	68.0763726642297	387.91517480625	107.993704327802	129.73859650661	1	93.8945505363362
AP3S1	1	1	84.411311449551	1	116.946487203876	1	1	1
APBA2	1	1	1	1	74.4628362661948	1	1	1
APBB1IP	1	1	78.9023507995715	1	1	77.6330763291018	1	1
APCS	1618.41882606357	1	1	1	1	1	1	1
APH1A	1	1	1	1	1	1	65.9454890067831	1
APLP2	228.225152343613	231.280573035964	1	215.458441113975	1	1	1	1
APMAP	90.3520061618133	1	140.548842850042	1	302.953210021217	226.552036201662	1	1
APOA5	509.233177012951	1	1	1	1	1	1	1
APOB	1300.02926511697	1	1	1	1	1	1	1
APOBEC3C	1	1	88.7534830992161	1	96.7939289101716	144.061975546889	1	96.3539696510181
APOBEC3G	1	1	100.568164796032	1	196.519872283419	146.298025658931	1	1
APOC2	404.939080797966	1	1	1	1	1	1	1
APOF	119.824523317702	1	1	1	1	1	1	1
APOM	223.769836384135	1	1	1	1	1	1	1
APP	200.435197414507	1	1	1	1	1	1	1
AQP3	1	1	1	1	1	1	1	160.424636853867
AQP9	117.935289432787	1	1	1	1	1	1	1
AR	91.7036007978535	1	1	1	1	1	1	1
AREG	1	1	1	383.229144626339	602.483953554114	352.322410147977	1	1
ARF4	66.9315285396255	1	1	1	1	1	1	154.640029563314
ARF5	1	1	70.3456684084122	87.5389045756242	83.6514121181895	73.7548174783751	1	1
ARG1	372.388323482673	1	1	1	1	1	1	1
ARGLU1	1	1	139.30796993286	1	160.638240286415	140.85360567643	113.401234273696	1
ARHGAP15	1	1	64.3751129616063	1	1	1	1	1
ARHGAP24	1	1	1	1	1	1	235.614379198978	1
ARHGAP30	1	1	133.644271664956	1	117.72062983852	140.383091244528	1	1
ARHGAP9	1	1	67.5720787025063	1	173.259245482914	1	1	1
ARHGEF1	1	1	116.382435204983	1	143.065687303428	145.398090089092	1	1
ARID4B	1	1	109.568908471587	1	120.192236163873	123.356734796839	73.1462631571634	1
ARID5A	1	1	1	1	134.225240776696	1	1	1
ARL4A	1	1	1	130.205442324776	1	1	1	1
ARL4C	1	276.72565518603	211.404875335575	1	134.396275851136	439.372248987342	1	1
ARL5A	1	74.4498537152418	1	77.0025850169504	1	85.9900567758584	64.3929858515051	124.6080799054
ARL6IP1	226.348350385186	332.685254637239	109.281487385812	134.041108397545	145.509863011629	276.851464658862	77.9794645234669	1
ARL6IP5	1	225.749702652838	235.585918244381	137.277193945019	159.818345245499	234.101499188615	119.584994666357	1
