NAME	Central_venous_LSECs	Cholangiocytes	Other	Hepatocyte	Portal_endothelial_Cells	Periportal_LSECs	Hepatic_Stellate_Cells	Erythroid_Cells
A1BG	1	1	72.2363212908548	845.303578177865	1	1	1	48.5354857412261
A1CF	1	96.661955512714	1	145.976036073739	1	1	1	1
A2M	1123.09302339956	1	1	449.784652878282	92.7001368983121	579.211753758519	270.391611733618	1
AADAC	1	1	1	333.080404323941	1	1	1	1
AAK1	1	1	153.81231842943	1	1	121.833662138908	1	1
AAMDC	1	1	1	1	1	104.331564711745	1	1
ABAT	1	1	1	110.316356330317	1	1	1	1
ABCA1	1	1	1	70.693629105296	1	1	1	1
ABCB10	1	1	1	1	1	1	1	57.0481689730061
ABCB4	1	1	1	120.276230928853	1	1	1	1
ABCC3	1	184.201467509317	1	82.0404482974176	1	1	1	1
ABHD2	1	1	1	183.768042695571	1	1	1	1
ABRACL	1	1	150.754402338977	103.49822072081	1	1	1	1
AC092580.4	1	1	118.173242940572	1	1	1	1	1
ACAA1	1	1	1	330.310502656362	1	1	1	1
ACAA2	1	272.21924181693	1	376.037263786981	1	1	1	1
ACACB	1	1	1	99.0504939354881	1	1	1	1
ACADM	1	1	1	113.107558999827	1	1	1	1
ACADS	1	1	1	88.4628484915813	1	1	1	1
ACADSB	1	1	1	231.384873011019	1	1	1	1
ACADVL	1	125.23817762159	1	175.447365029177	1	1	1	1
ACAP1	1	1	191.100281447259	1	1	1	1	1
ACAT1	96.5069603342601	1	1	308.10269794091	1	1	1	1
ACAT2	1	1	1	90.4483846821759	1	1	1	1
ACKR1	1	1	1	1	248.449929263624	1	1	1
ACKR3	1	1	1	1	102.625030430497	1	1	1
ACO1	1	1	1	79.9076981471819	1	1	1	1
ACOT13	1	1	1	78.7669217091589	1	1	1	1
ACOX1	1	1	1	128.36963413679	1	1	1	1
ACP1	1	1	1	1	1	1	1	129.799619278782
ACP5	1257.57501272707	1	1	1	434.419822458913	197.24156448351	1	1
ACSL1	1	1	1	587.935348157897	1	1	1	1
ACSL6	1	1	1	1	1	1	1	69.2329303362914
ACSM2A	1	1	1	357.388692779328	1	1	1	1
ACSM2B	1	1	1	539.446907391492	1	1	1	1
ACSM3	187.598875486508	1	1	1	1	1	1	1
ACSM5	1	1	1	100.410828221924	1	1	1	1
ACSS2	1	1	1	63.3183032786593	1	1	1	1
