NAME	LVECt	Other	LSEC	Hepatocytes	LVEC	Carcinoma
A1BG	1	1	1	754.203028192426	1	1
A1CF	1	1	1	276.680231502404	1	227.607471236162
AADAC	1	1	1	245.206916945939	1	1
ABAT	1	1	1	229.257725605605	1	1
ABCC3	1	1	1	1	1	271.281048040417
ABHD14A.ACY1	1	1	1	170.968259757219	1	1
ABHD2	1	1	1	152.959930605843	1	218.754366914234
ABLIM1	1	1	1	1	279.147114939684	208.517085854147
AC002094.3	1	1	1	2940.6275431208	1	1303.88500010324
AC003688.1	1	1	1	1	1	366.780892791945
AC004691.2	1688.12211763602	1	1	1	1362.82446778664	747.224311261553
AC007192.1	1	2123.93201487472	1	70.409920186762	1	1
AC008763.3	245.05542270603	1	1	1	1	160.378670712491
AC009779.3	1	1	1	133.620998782822	1	205.359943253664
AC010132.3	1	1	1	274.47483882822	1	226.293035051116
AC010422.3	1	316.104715132377	1	1	1	1
AC010422.5	182.166083143098	1	1	78.1120330511147	246.252731817376	149.517430606705
AC011479.1	1	1	1	1	1	196.034163133239
AC011498.4	1	1	1	263.876361614241	1	1
AC015813.2	211.96245208263	1	1	1	1	1
AC024592.3	292.531980835669	1	1	158.841856434141	1	252.515603661658
AC036214.3	1	1	1	1	1	165.207082146648
AC068580.4	307.566127448257	1524.46053249543	2155.90684450045	287.52533449182	340.18183980928	469.546120100199
AC068631.2	1	1	1	1	1	150.217523464738
AC073610.3	1	305.116434263437	1	101.40060874903	235.904142923323	184.710016244042
AC073896.1	1	1	1	112.04427738163	1	207.564436699954
AC091167.3	1	1	1	86.4742004409887	1	362.358456426287
AC099329.3	1	1	1	181.204388652436	1	1
AC104109.3	187.678564877284	1	1	1	1	140.329143019967
AC116366.3	1	1	1	1	1	177.378509887111
AC119674.2	625.675852925286	1	2176.33702478124	196.725413204112	1718.02591704363	1
AC135050.2	1	1	1	376.063376123181	1	134.511263818641
AC142391.1	509.049223150245	1	1	1	460.689537277602	1
ACAA1	1	1	1	419.780325531295	1	1
ACAA2	1	1	1	701.8885803845	1	240.281958956216
ACACA	1	1	1	1	1	155.56368521809
ACADM	1	1	1	165.126718740483	1	1
ACADSB	1	1	1	227.344433297994	1	1
ACADVL	1	1	1	242.589693799145	1	345.507421474162
ACAT1	1	1	1	459.219538523326	1	1
ACAT2	1	1	1	134.886646557757	1	1
ACMSD	1	1	1	91.2873821857543	1	1
ACO1	1	1	1	93.042430367582	1	1
ACOT13	1	1	1	211.080739785884	1	1
ACOX1	1	1	1	173.293657590418	1	1
ACOX2	1	1	1	158.525442833839	1	1
ACP1	1	1	1	111.880482726109	1	186.561061922069
ACSL1	1	255.395706385385	1	531.291883579773	1	1
ACSL5	1	1	1	127.55313532536	1	1
ACSM2A	1	1	1	562.338786773744	1	1
ACSM2B	1	1	1	446.894263026842	1	1
ACSM3	1	1	313.282214471589	95.481999181923	1	1
ACSM5	1	1	1	175.788932845359	1	1
ACTA2	1	1285.87072102685	1	1	1	1
ACTN1	1	300.237133526918	1	1	1	1
ACTR3	281.540821557556	334.613041703913	1	1	1	202.632754064352
ADA2	1	318.321222717127	1	1	1	1
ADAM10	1	1	210.179158327728	97.1769976050166	1	198.061770742031
ADAMTS1	1789.00202841663	1	1	1	825.934905462203	1
ADAMTS4	296.984693697172	1	469.639880020432	1	506.884654808193	1
ADAMTS9	393.357056186403	1	1	1	1	1
ADAR	255.107022721772	1	1	1	1	122.053119842639
ADCY4	202.914472438492	1	1	1	1	1
ADD1	223.494101701601	1	350.63970005774	1	453.32771674074	1
ADD3	1	1	393.93412191921	1	233.03185161094	159.114537170734
ADGRF5	616.363383347545	1	767.909023704384	1	427.774545208107	1
ADGRG1	340.7211985775	1	1	1	1	217.360995715609
ADGRL4	762.957387905839	1	752.248866367494	1	319.14799156266	1
ADH1A	1	1	1	1753.28895561008	1	1
ADH1B	1	1	1	5689.5059162324	1	1
ADH4	1	1	1	2102.74200015709	1	1
ADH5	1	1	1	141.935605890419	1	182.544718203806
ADH6	1	1	1	387.047964202906	1	1
ADI1	1	1	1	509.807297687866	1	164.173759831826
ADIPOR1	1	1	1	86.8376449255284	1	1
ADIPOR2	215.801980750968	1	1	93.2874921604855	1	1
ADIRF	295.451614494778	1	1	1	1155.6655196335	1
ADK	1	1	1	117.572304894251	1	1
ADM	1	1	1351.11017091827	1	1	1
AEBP1	1	406.457574332493	1	1	1	1
AF241726.2	1	477.761995817048	1	119.98757024928	1	1
AFAP1L1	184.214674730046	1	276.91389408926	1	1	1
AFDN	225.730410724952	1	1	1	1	200.321597140656
AFM	1	1	1	316.912715355965	1	1
AGPAT2	1	1	1	95.1253175709131	1	1
AGRN	1	1	1	1	1	220.447509295165
AGT	1	1	1	1130.63070381587	1	854.924230344737
AGXT	1	1	1	956.313957123053	1	1
AHCYL1	1	1	1	155.084401259831	1	188.055196657181
AHSG	1	1	1	2773.32512772081	1	1
AIF1	1	1001.30913875557	1	1	1	1
AIFM1	1	1	1	110.949014998984	1	1
AIG1	1	1	1	228.750605785919	1	1
AK2	1	1	1	94.3989041998655	1	1
AK3	1	1	1	147.079540709787	1	1
AKAP12	1	1	2928.63818229543	1	1131.31992957199	1
AKAP9	324.03681315494	1	1	124.279951064808	1	497.215332842404
AKR1A1	1	1	1	245.626241209091	1	159.259928597742
AKR1B10	1	1	1	1	1	193.251647623751
AKR1C1	1	1	1	666.008734205053	1	808.015804062516
AKR1C2	1	1	1	569.997288914085	1	557.481584912071
AKR1C3	1	1	1	159.895503375735	1	432.086868478426
AKR1C4	1	1	1	222.94838311131	1	1
AKR1D1	1	1	1	127.768302598657	1	1
AKR7A3	1	1	1	219.926639832962	1	1
AL049779.1	1	1	1	101.056987375649	1	1
AL049839.2	1	1	1	1963.69703712452	1	367.581156633526
AL121594.3	225.096947154695	1	1	120.285319198776	1	191.354399959263
AL121753.1	1	1	1	62.2388982649217	1	154.934061539455
AL121845.3	1	1	1	106.083088166864	1	1
AL133352.1	173.356356274525	1	1	150.233950079369	1	151.17004725277
AL159163.1	1	702.949448274236	1	1	1	1
AL365205.1	1	1	1	127.769626368874	1	263.962368840207
AL589666.1	213.931223660904	1	1	1	1	1
AL591806.3	1	1	1	80.7145812043359	1	282.515193667082
AL645922.1	1	1	1	1465.61605725734	1	391.129470038391
AL645941.2	1	536.796838116484	1	1	1	1
AL807752.6	535.862063111133	1	552.213672598459	1	542.991268252675	1
ALAD	1	1	1	167.550166211306	1	1
ALAS1	1	1	1	220.934182771285	1	1
ALCAM	1	1	1	117.711159026855	1	297.459408891282
ALDH1A1	1	1	1	605.47803903465	349.649520267597	1
ALDH1B1	1	1	1	125.477275611547	1	1
ALDH1L1	1	1	1	239.887526455505	1	1
ALDH5A1	1	1	1	115.051716832835	1	1
ALDH6A1	1	1	1	257.051051054251	1	1
ALDH7A1	1	1	1	151.797789698931	1	1
ALDH8A1	1	1	1	150.136367438488	1	1
ALDH9A1	1	1	1	135.749339354904	1	1
ALDOB	1	1	518.447224989317	7860.03369373238	238.523712833472	1
ALKBH7	1	1	1	93.0464435755242	1	1
ALOX5AP	1	287.116268537502	1	1	1	1
ALPL	1	1	1	1	260.408993315334	1
AMACR	1	1	1	124.755809423336	1	1
AMBP	1	1	1	5232.36301077221	1	536.15574830771
ANAPC11	1	1	1	106.45491960901	1	215.266943929219
ANAPC16	1	1	1	141.958445604756	1	195.00441474435
ANAPC5	261.616599291287	1	1	1	1	1
ANGPTL3	1	1	1	602.408275833493	1	1
ANKHD1	1	1	1	1	1	189.631407853083
ANKRD11	336.719750922662	1	1	1	1	191.102667468435
ANPEP	1	1	558.138455129435	224.737791780174	1	187.011013899907
ANXA1	728.031267381497	492.387299500472	1	1	662.321344949461	1
ANXA10	1	1	1	87.2521959864953	1	1
ANXA11	1	1	1	1	1	339.300133253886
ANXA13	1	1	1	1	1	227.657741216282
ANXA3	1	1	1	1	1	172.239296265963
ANXA4	1	1	1	208.078096557018	1	1627.9598253965
AOX1	1	1	1	464.153517177155	1	1
AP1S2	1	1	234.79057178585	1	1	1
AP2S1	245.462675163788	236.364073221973	296.183389295627	71.5364560165548	1	1
APCS	1	1	1	1294.93443124786	1	665.691872958872
APEX1	1	1	1	76.4592392781772	1	215.246122965832
APLNR	303.802821472792	1	1	1	1	1
APMAP	1	1	1	145.70814645324	1	1
APOA1	1	1	1	7071.97975204074	1	1
APOA2	1	1	440.490055019442	15077.8135101936	1	1
APOA5	1	1	1	367.158532156363	1	1
APOB	1	1	1	2402.95011195733	1	249.500506969769
APOC1	1	1304.14704490553	399.149149696869	10462.0569014363	1	1
APOC3	1	1	657.398286700146	11127.3676155111	1	1
APOC4.APOC2	1	1	1	5566.86378964717	1	1
APOE	1	3368.4347314283	308.179424443107	3690.51014483712	1	1
APOF	1	1	1	123.510957027673	1	1
APOH	1	1	430.554911417954	8231.97670303773	1	245.670309653076
APOL1	316.471105819999	1	510.949538192511	160.63422155202	278.128722701351	1
APOL3	216.764567089462	1	1	1	239.160304143953	1
APOL6	1	1	1	96.2557802033363	1	1
APOLD1	1269.85607077635	1	870.078396741545	1	649.079049662272	1
APOM	1	1	1	336.147866829807	1	1
APOO	181.625377549123	249.455730951825	1	1	245.488522785771	207.698180093197
APP	559.871508060259	1	988.470612118008	124.37917567265	530.442508675119	444.805945295629
APRT	1	1	1	127.963403420085	1	211.657462575517
AQP9	1	1	1	413.859676312656	1	1
AR	1	1	1	103.995240756527	1	1
ARAP1	1	1	1	221.923429003187	1	179.347332860323
AREG	1	632.70852878132	1	1	1	290.672785438677
ARF4	1	245.006242351878	1	82.9417637844851	248.070530691696	190.737506092944
ARF5	1	1	1	1	1	166.356999094279
ARF6	1	1	1	1	1	194.259282808249
ARG1	1	1	1	507.577087264842	1	1
ARGLU1	536.410612912814	1	1	1	427.022653360902	217.135355031687
ARHGAP23	259.673846878249	1	1	1	1	1
ARHGAP29	332.148882269363	1	224.800153965715	1	243.665037479446	1
ARHGAP31	247.32879426147	1	1	1	1	1
ARHGAP5	1	1	1	1	1	177.152792337267
ARHGDIB	628.980211423691	1029.16075638885	827.959740507687	1	586.800606378347	1
ARID4B	387.091078750654	1	1	1	1	1
ARL10	1	229.939991602473	1	89.778789923855	1	254.128357850696
ARL2	1	1	1	1	226.115591620404	1
ARL4C	1	352.645999494994	1	1	1	496.34946460633
ARL6IP5	218.715535867039	319.004500358758	1	1	223.073466679496	171.477409018002
ARRB2	1	241.141009939477	1	1	1	1
ARRDC2	1	1	1	1	1	170.982372319633
ARSD	1	1	1	85.4569527615014	1	148.364374336884
ART4	1	1	262.838380143186	1	1	1
ASAH1	1	422.872910885981	1	1	1	173.980426651844
ASAP1	279.280931162919	1	1	1	1	1
ASGR1	1	1	1	255.465325326386	1	1
ASGR2	1	1	1	259.581930497062	1	1
ASL	1	1	1	88.7154687906564	1	1
ASPH	1	1	1	1	1	133.374691323031
ASS1	1	1	1	542.980232284012	1	1
ATF3	1	461.60395747584	1	1	1	291.931133847237
ATF5	1	1	1	292.300984804053	1	1
ATOX1	1	1	1	122.461220164034	1	1
ATP13A3	1	1	1	86.5278625782688	285.905457658057	131.962898498593
ATP1B1	1	1	1	214.792808816711	1	1196.33789499567
ATP1B3	391.268018239969	546.585951277498	1	1	256.499474561929	1
ATP2A2	215.874054858253	1	1	1	1	1
ATP2B4	295.586879019697	1	299.021037400255	1	224.007107270455	1
ATP5D	1	1	1	165.745964568085	1	271.621455964328
ATP5F1	1	1	1	181.805364310789	1	258.491922519927
ATP5G1	1	1	1	132.734282630311	1	1
ATP6AP2	1	258.338331452337	1	1	1	202.544806060762
ATP6V0B	1	239.434495469519	1	132.586326364151	1	216.372021282354
ATP6V1B2	1	241.206239467072	1	1	1	1
ATP6V1E1	1	1	1	1	1	162.483038350124
ATP6V1F	1	288.451113587159	1	1	1	142.999146698329
ATP6V1G1	1	263.002035207397	1	115.813742888516	269.134305607776	241.188048395606
ATP6V1G2.DDX39B	217.043370738928	1	1	1	199.418729258858	165.431659977515
ATRAID	1	1	1	1	1	147.363049213826
ATRX	331.993677661419	1	336.401675434076	1	257.147338236629	241.654205568784
AUP1	1	1	1	45.9119093087286	1	139.065548804282
AVL9	1	1	1	209.495454105246	1	311.786733647534
AXL	1	345.117318628265	1	1	1	1
AZGP1	1	1	1	922.690973232135	1	125.398488076515
B4GALT1	1	1	389.42119382269	71.4143090859739	1	1
B4GALT5	1	1	283.662651003706	1	1	1
BAAT	1	1	1	903.698038433342	1	161.014315095954
BAG3	386.954769264255	1	1	1	1	1
BAG6	1	1	1	1	1	175.935046058302
BASP1	1	418.667926549186	366.088594199818	1	1	1
BAZ2B	190.639495637476	1	1	1	1	187.475481145238
BCHE	1	1	1	167.076293535358	1	1
BCL2A1	1	305.849788374582	1	1	1	1
BCL2L1	1	1	1	1	1	299.252789461501
BCL6B	441.973552591425	1	1	1	1	1
BCLAF1	188.873172788017	1	227.308035018444	1	1	160.895439785882
BDH1	1	1	1	92.0254134808818	1	1
BDKRB2	137.420558914165	1	1	1	1	1
BEX3	245.022579699213	1	1	72.6207745689091	277.160037475075	306.647106114854
BGN	540.215620527517	2041.86150486883	1	1	488.258514395788	1
BHLHE40	386.778507366346	1	288.511313749111	1	253.741592424653	1
BHMT	1	1	1	537.264588320409	1	1
BHMT2	1	1	1	127.686800611559	1	1
BICC1	1	1	1	1	1	276.261866064517
BIRC3	1	1	1	1	1	230.079403762084
BLVRB	1	1	1	160.253150070935	1	1
BMPR2	510.408779332983	1	1	1	479.864629953235	1
