NAME	Other	Kupffer cells	TM1	SAMs	T cells	cDC2	cDC1	B cells
A2M	1460.69521657427	462.95382824846	1	1007.66039277248	1	439.725347678388	1	1
AARS	1	1	1	1	1	1	1	129.00791360992
ABCA2	1	1	1	1	1	1	1	186.833176453959
ABHD2	1	1	1	1	1	1	190.981234578921	1
ABRACL	1	1	1	1	1	1	88.2340455028011	1
AC002094.3	902.923628315499	1	1	1	1	1	1	1
AC004691.2	629.647931783147	1	1	1	1	1	1	1
AC007192.1	1	2744.71482615954	4058.22410625454	3936.45212926174	1	2059.32705630778	197.047126287988	253.307692786252
AC008575.1	1	1	1	1	1	1	152.217350702756	1
AC009690.1	1	1	1	264.835765600705	1	1	1	1
AC009779.3	169.086052382512	1	243.126925548853	243.341894782837	1	1	156.257881420662	1
AC010132.3	242.721456252606	1	1	1	1	1	1	209.323283666359
AC010422.3	1	637.150375415819	250.608791250571	410.629998650715	1	337.131600067873	1	266.927459277983
AC010422.5	164.711098385858	1	1	1	1	1	1	1
AC024592.3	243.765768384285	1	1	1	1	1	151.580885373516	243.424687346965
AC036214.3	1	1	1	1	1	1	1	412.540325901936
AC068580.4	618.310636175231	2396.32301820969	733.340298159955	3210.20448305019	1	326.204323266058	1	1
AC073610.3	209.63738080643	1	1	1	380.8696619647	206.799056052043	183.865002984338	2385.9692321251
AC073896.1	184.167220221291	1	1	1	1	1	1	300.791256752773
AC078927.1	239.50414199239	226.652349770432	267.19730997596	219.361511117406	1	1	1	147.692069732887
AC091167.3	246.186506552305	1	1	1	1	1	1	1
AC097637.1	1	1	1	1	1	1	213.258753444759	1
AC104109.3	1	1	1	1	1	1	126.793531678564	1
AC104581.2	1	1	1	1	1	1	272.025086842132	1
AC119674.2	599.63407086352	1	1	1	1	1	1	1
AC120057.3	1	1	1	1	1	1	147.28703829259	181.92063426743
AC134669.2	1	1	1	1	1	187.424090930433	1	1
AC135050.2	205.759438187085	1	1	1	1	1	1	344.181626328863
AC138811.2	272.14237987776	297.447583239537	1	253.451217743753	1	1	1	1
ACAA2	220.259487175314	1	1	1	1	1	1	1
ACADVL	253.036912371566	1	1	1	1	1	199.561927919424	242.218063584584
ACSL1	1	306.16232698544	536.730340442888	383.10305967635	1	272.271598884119	1	1
ACTA2	1256.76653320631	1	1	1	1	1	1	1
ACTN1	298.499195645473	206.480492971169	1	1	1	1	1	1
ACTN4	502.851286740831	1	1	1	415.808943062279	1	1	1
ADA2	1	506.57372286418	356.998741359603	441.805430150237	1	268.7920158755	295.001312501702	346.748982645746
