NAME	Other	Hepatocytes	Proliferation	vSMC	Stellate cells	CAFs	Pericytes
A1BG	1	645.967401594172	1	1	1	1	1
A1CF	1	283.582595148522	1	1	1	1	1
AADAC	1	268.004270861672	1	1	1	1	1
ABAT	1	221.69433411125	1	1	1	1	1
ABCC9	1	1	1	1	332.085401363594	1	1
ABCF1	1	1	120.847432038122	1	1	1	1
ABHD14A.ACY1	1	188.081818267396	1	1	1	1	1
ABHD2	1	157.679948204101	1	1	1	1	1
AC002094.3	444.250141616933	3030.66831258666	419.499985668007	1	1	1	1
AC004691.2	459.021073846107	1	1	1	1	1	1
AC005726.2	1	70.3295360413621	253.947750837551	1	1	1	1
AC006254.1	1	1	1	2079.88469414022	1	1	1
AC007192.1	1565.59450198872	78.2172141614112	1002.68290740637	1	1	1	1
AC008763.3	1	1	214.997284993602	1	1	1	1
AC009779.3	1	135.213941409036	294.387861261306	1	1	1	1
AC010422.3	248.439103253516	1	116.393715483701	1	1	1	1
AC010422.5	1	105.405672426442	282.425715894187	1	1	1	1
AC011498.4	1	260.490810742884	1	1	1	1	1
AC015813.2	1	1	185.162875772946	1	1	1	1
AC018523.2	1	75.9766944633345	343.338249940099	1	1	1	381.788105108049
AC024592.3	212.687806010256	148.714877911241	148.886199200979	332.475708290816	202.717167201911	1	1
AC058822.1	1	1	1	1	731.791194687119	293.539672761922	1
AC068580.4	1336.14813163017	298.086529416079	941.570935721705	1	948.865464013253	506.002012440809	464.514495441031
AC068631.2	1	1	140.386579305672	1	1	1	1
AC073610.3	281.06856301327	107.728653950694	1	1	176.783829186338	271.064996185527	1
AC073896.1	1	92.9449414821385	1	1	1	1	1
AC078927.1	244.011286873459	114.521494342193	157.081176792519	1	285.944607886111	1	1
AC087632.1	1	1	418.407001875513	1	1	1	1
AC093525.2	612.034213589083	142.181789299394	402.964042332923	338.952231456866	264.912735966501	436.021849475649	1
AC099329.3	1	177.235198152952	1	1	1	1	1
AC104109.3	1	1	122.294061450247	1	1	1	325.52715267299
AC104581.2	1	1	131.364380912905	1	1	1	1
AC107871.1	1	1	146.806179150306	1	1	1	1
AC119674.2	419.78806117618	210.386262837833	1	591.267365768131	1	1	1
AC120057.3	1	1	198.941195612242	1	1	1	1
AC135050.2	1	365.633803124605	1	1	237.475432952782	1	1
AC138811.2	287.222265517165	177.390937114767	820.827100380071	1	1	1	1
ACAA1	1	440.765893504704	1	1	1	1	1
ACAA2	1	727.758565693171	1	1	1	1	1
ACACA	1	1	468.776361376368	1	1	1	1
ACADM	1	169.896089158519	1	1	1	1	1
