NAME	CD8+ Cells	Tregs	Non-immune cluster	Nk Cells	CD4+ Cells	B Cells	Myeloid	Mast Cells
A1BG	1	1	1	1	1	355.996391908198	1	1
A2M	1	1	965.036350073009	1	1	1	241.755818792758	1
AAK1	226.298173767341	282.06656830228	1	250.767258273072	343.958300318787	1	1	1
AAMDC	1	1	234.314089009296	1	1	1	1	1
ABCF1	235.116399835197	218.119664676087	1	284.366484009432	1	219.816178167078	168.244305075251	201.626494740632
ABHD2	1	1	1	1	1	1	1	514.152703280386
ABI1	1	226.881945909269	1	1	1	132.854942315208	1	1
ABI3	1	1	1	310.660732545666	1	1	1	1
ABL2	1	1	1	1	1	1	157.149941749622	1
AC002331.1	1	504.049391017282	1	1	1	1	1	1
AC016831.7	343.464453935956	315.98742624348	1	288.380299939923	438.642074883548	387.981538173137	1	1
AC017002.1	1	180.668652869714	1	1	1	1	1	1
AC020571.3	1	1	1	1	1	1	1	659.097976768539
AC092580.4	659.59111665183	276.719623458736	1	530.695588114166	584.650212291903	135.184307709904	1	1
AC133644.2	1	1007.92849150573	1	1	1	151.028270568761	1	1
ACAA2	1	1	295.010944438671	1	1	95.9029593691666	1	1
ACADVL	1	1	1	1	1	323.645829746499	1	1
ACAP1	549.947569208307	527.988220781383	1	410.518869076189	623.123076918754	296.538214942701	1	79.1566973550377
ACAT1	1	1	256.347339075858	1	1	1	1	1
ACP5	1	304.537314488234	1	1	1	1	242.949242689475	1
ACSL1	1	1	1	1	1	1	156.663363520496	1
ACSL4	1	1	1	1	1	1	1	151.784405639544
ACTN4	1	216.481717276726	360.599984858134	205.748602162967	1	1	171.440879071026	526.799465043452
ACVR2B	1	1	1	1	1	156.025659974722	1	1
ADAMTS1	1	1	407.857609333454	1	1	1	1	1
ADAR	211.124772877009	176.155487422057	1	225.863037806213	1	161.037361105073	166.390430706499	1
ADD3	1	174.089712314963	1	1	1	1	1	1
ADGRE5	625.009581942513	344.369482780368	1	623.849855911281	430.396751932803	191.644847334102	211.01995739692	1
ADGRL4	1	1	389.474906526539	1	1	1	1	1
ADH1B	1	1	572.733985975639	1	1	1	1	1
ADH1C	1	1	287.981428051958	1	1	1	1	1
ADH5	1	1	213.182949406524	1	1	1	1	1
ADIRF	1	1	933.015540010321	1	1	1	1	1
ADRB2	1	1	1	1	1	1	1	1013.43550517859
ADSS	1	212.550561079961	1	1	1	1	1	1
AES	1	173.690821733129	1	219.033270839052	249.861169408797	1	159.939911036243	1
AFM	1	1	443.082558800564	1	1	1	1	1
AGA	1	1	1	1	1	131.705207285676	1	1
AGPAT1	1	1	1	1	1	1	1	248.741984068799
AGT	1	1	461.884653770342	1	1	1	1	1
AGTRAP	1	1	1	1	1	1	1	137.1374250619
AGXT	1	1	1073.56873488856	1	1	1	1	1
AHI1	280.314056379784	1	1	1	1	1	1	1
AHR	1	1	1	1	1	1	1	274.342165301243
AHSA1	237.637866766333	254.344521816137	1	274.416150454782	250.306937968328	1	207.027011261314	213.118203095918
AHSG	1	1	1605.39565963592	1	1	1	1	1
AIF1	1	1	1	1	1	1	2021.50088334098	1
AIG1	1	1	237.742637615066	1	1	1	1	1
AIM1	1	1	1	1	291.776859023985	1	1	1
AIP	245.057530444466	215.558338013573	1	1	1	128.819964530263	1	1
AK1	1	1	225.666831417577	1	1	1	1	1
AK2	1	1	269.272122745302	1	1	1	1	1
AK3	1	1	1	1	1	152.070206699415	1	1
AKAP12	1	1	439.224973400319	1	1	1	1	1
AKNA	383.258735276431	199.002580505965	1	574.40804592666	245.468847078843	166.118539429021	1	1
AKR1C1	1	1	423.353232165121	1	1	1	1	1
AKR1C3	1	1	788.34992217746	1	1	1	1	1
AKR1C4	1	1	291.257444366822	1	1	1	1	1
ALDH1A1	1	1	376.151393385634	1	1	1	1	208.785780445069
ALDH2	1	1	1	1	1	1	194.606740444306	1
ALDOB	1	1	1041.60621527836	1	1	1	1	1
ALG13	224.726697195102	1	1	1	1	143.345152565822	1	223.734795829462
ALG3	1	1	1	1	1	148.21279864886	1	1
ALG5	1	1	1	1	1	410.461496035146	1	1
ALOX5	1	1	1	1	1	1	1	584.015172759024
AMBP	1	1	2169.42792276029	1	1	1	1	1
ANAPC13	1	1	1	1	1	143.554435354632	1	1
ANAPC5	1	157.362247858533	1	1	1	154.617081954393	1	1
ANG	1	1	741.260659801433	1	1	1	1	1
ANGPT2	1	1	334.539219996159	1	1	1	1	1
ANGPTL3	1	1	376.55094120717	1	1	1	1	1
ANKRD28	1	1	1	1	324.79067983093	1092.07879188849	1	640.688295542623
ANKRD37	1	1	1	1	1	389.215745064074	1	1
ANKRD44	214.786293458752	213.37550050807	1	1	252.227316598781	126.451154610283	164.897879055473	1
ANP32A	1	316.912772852904	1	209.809489784382	1	110.947326342466	229.165725813405	1
ANP32E	1	264.373772308278	1	236.719933684398	299.926235081878	1	156.541479426491	1
ANXA4	1	1	288.28856529107	1	1	1	1	453.068153955458
ANXA7	1	292.62670682406	217.156310630639	1	1	1	1	502.286117565518
AP1S2	1	1	1	1	1	1	303.780709877006	1
AP1S3	1	1	1	1	1	1	1	419.258882263351
APBB1IP	1	176.967027476488	1	1	1	1	1	1
APEX1	1	1	1	1	1	1	188.660512776606	77.6265097809267
APH1A	1	180.821196450596	1	1	1	1	157.851901914884	1
APLP2	1	1	359.081410998221	1	1	1	380.365053562325	1
APMAP	344.887728278921	1	1	520.092752306628	1	1	1	154.301046205401
APOA1	1	1	2795.12773032692	1	1	435.303427669508	1	1
APOB	1	1	413.307287574496	1	1	1	1	1
APOBEC3C	1	351.72938358424	1	338.540433932502	225.565557707906	215.457307573771	1	502.286117565518
APOBEC3G	293.809440472639	336.562028956083	1	534.17216887677	291.02158326205	188.218078236291	1	1
APOC2	1	1	495.068837091732	1	1	1	1	1
APOC3	1	1	4361.568138531	314.239501440912	1	824.097114053312	499.556689270143	1
APOE	1	1	755.072629797416	1	1	1	672.185547640433	1
APOH	1	1	1990.23218422201	1	1	1	1	1
APOL6	203.475642730803	1	1	1	1	190.263634542594	1	1
APOLD1	1	1	358.489492981951	1	1	1	1	1
APOM	1	1	321.794532859174	1	1	1	1	1
APP	1	1	506.66943913867	1	1	1	1	1
AQP1	1	1	462.031314215216	1	1	1	1	1
AQP3	1	1	1	1	1	1	1	154.301046205401
ARF3	1	1	1	1	1	1	142.286263850775	1
ARFGAP3	1	1	1	1	1	196.962598900812	1	495.103695959678
ARHGAP15	200.87340243806	253.852653619008	1	1	377.961658148374	1	1	502.286117565518
ARHGAP18	1	1	1	1	1	1	218.905933115116	453.353216918633
ARHGAP29	1	1	393.076227781215	1	1	1	1	1
ARHGAP30	1	187.705684902761	1	1	1	1	1	1
ARHGAP9	240.799639759	202.093351810428	1	269.702920512148	220.251875194625	116.663339319746	1	1
ARHGEF1	1	197.246659318693	1	214.980931286319	236.965463612615	1	1	1
ARHGEF6	1	1	1	1	1	1	1	705.668753895373
ARID2	1	1	1	1	1	1	1	214.337827492994
ARID4A	1	149.038048699984	1	1	1	1	1	1
ARIH1	1	1	1	1	1	186.701540327144	1	1
ARL1	1	1	1	1	1	220.757119395195	1	1
ARL2	1	1	285.670802700155	1	1	1	1	1
ARL2BP	1	1	1	1	1	1	1	230.87952934278
ARL4C	478.808139767855	307.821582066573	1	594.641846236093	532.828191028335	141.946545566648	506.206470110736	1
ARL5A	1	1	1	1	1	199.554950507369	1	1
ARL8B	1	1	1	1	1	1	134.004384286483	157.829223016473
ARMCX3	1	1	1	1	1	296.979122618233	147.442048401085	701.557137475561
ARPC1A	1	1	228.167810756067	1	1	147.527571110942	1	1
ARPC5L	1	180.585208140803	1	257.283591142407	1	178.915541587986	1	1
ARRB2	1	1	1	1	1	1	279.196602169488	1
ARSA	1	1	1	1	1	339.096151433172	1	1
ASAH1	1	1	1	1	1	172.156525733422	633.906590463127	940.326504167068
ASGR1	1	1	805.100865581666	1	1	1	1	1
ASGR2	1	1	342.312473715927	1	1	1	1	1
ASH1L	1	166.894676580579	1	1	1	171.573768373713	1	429.160023953624
ASL	1	1	306.467162519558	1	1	1	1	1
ASNA1	1	1	1	1	1	1	129.521612389374	1
ATF1	1	1	1	1	1	1	1	200.900783619616
ATF3	1	1	590.79827561242	1	260.164743933664	351.084160383486	548.022986525186	1
ATF5	1	1	1	1	1	1	163.479443857241	1
ATG101	1	1	1	1	1	188.355175239263	1	1
ATG12	1	226.531831433916	1	268.071581602992	238.117197042737	167.674679007877	166.688213650705	230.673771873179
ATG3	1	1	1	1	1	1	185.842993278061	1
ATM	1	1	1	219.434626215406	1	228.203268509891	1	1
ATP13A3	1	1	1	1	1	1	182.652022808872	1
ATP1A1	1	1	379.03588209971	1	1	1	189.775551834148	1
ATP1B1	1	1	1	1	1	1	250.304814945939	143.608656474617
ATP5EP2	1	228.879751058616	1	1	1	133.359761379294	251.06029563367	1
ATP6AP1	1	1	1	1	1	1	214.905962561239	154.301046205401
ATP6V0D1	1	1	1	1	1	1	285.391723345908	1
ATP6V1B2	1	1	1	1	1	1	258.072991018608	154.301046205401
ATP8A1	229.790889693304	1	1	1	1	1	1	1
ATXN1	192.466779902653	1	1	1	1	1	1	1
ATXN2	1	1	1	1	1	1	1	154.301046205401
AUP1	1	256.484375016744	1	1	1	453.034041654611	181.403470679467	1
AVPI1	1	1	1	1	1	1	193.726194458844	1
AXL	1	1	1	1	1	1	160.277167303681	1
AZGP1	1	1	691.203884518718	1	1	1	1	1
B4GALT1	1	215.856838700015	1	369.934869554028	1	146.346105235638	342.448727273801	1
B4GALT3	1	1	1	1	1	247.320559271249	1	1
B4GALT7	1	1	1	1	1	182.179956881646	1	1
BAAT	1	1	357.465574170457	1	1	1	1	1
BACH1	1	1	1	1	1	150.442952808926	1	1
BASP1	1	1	1	1	1	1	236.177155360165	1
BATF	277.639557175251	927.071755410824	1	1	357.861585741816	1	1	1
BAZ1A	365.207219524576	329.812061308777	1	316.929221888912	359.746154291822	178.536979852068	227.185699106775	1
BCAM	1	1	391.509126900904	1	1	1	1	1
BCKDK	1	1	1	1	1	165.41961595524	1	1
BCL11B	333.640495639332	222.777542967804	1	1	205.881802843503	1	1	1
BCL2A1	1	1	1	1	1	1	511.348257167424	714.779198021018
BCL2L11	1	1	1	1	1	165.394678287328	1	1
BCL2L12	1	1	1	1	1	1	1	254.825655144569
BDP1	1	151.937778882442	1	1	1	1	1	71.7060676986393
BET1	1	1	1	1	1	253.248003213102	1	1
BEX4	1	1	1	1	1	1	170.40132124554	721.048061943575
BHLHE40	1	1	1	229.719133559773	1	1	213.298545614425	363.67341674843
BHLHE41	1	1	1	1	1	194.934934482607	1	1
BHMT	1	1	455.693275284767	1	1	1	1	1
BID	1	1	1	1	1	164.070119918912	338.072799513929	1
BIN1	1	191.078242975848	1	1	1	1	1	1
BIN2	289.920138469186	216.42224214672	1	448.43373676026	326.469727505685	1	1	248.741984068799
BLNK	1	1	1	1	1	182.713507766869	1	1
