Mixture,Other,Non-inflammatory_Macrophage,alpha-beta_T_Cells,Inflammatory_Macrophage,NK-like_Cells,gamma-delta_T_Cells,Mature_B_Cells,Plasma_Cells,P-value,Correlation,RMSE
GSM362947,0.850503058121127,0,0.00265596271183852,0,0,0,0,0.146840979167035,0,0.771577233468126,0.639033003923941
GSM362948,0.812912110792601,0.00264016640168774,0.0230560487350804,0.000417628502206574,0,0,0.00521371080658602,0.155760334761838,0,0.798375494026467,0.603413364246918
GSM362949,0.804680099471244,0,0.0698575735801519,0.00302725006172705,0,0,0,0.122435076886877,0,0.786186736518545,0.619179017109832
GSM362950,0.812865241929334,0.00927678474756814,0.0320820906745829,0,0,0,0.0160552995545402,0.129720583093975,0,0.843284854798062,0.54203475884162
GSM362951,0.96802833394046,0.000690736334467536,0.0116176393619167,0,0,0,0.00422492786130882,0.0154383625018472,0,0.866095095157403,0.505705289145867
GSM362952,0.928108496832146,0,0,0,0,0,0.00470260044956153,0.0671889027182921,0,0.818213879226795,0.580637699346979
GSM362953,0.968020508807046,0,0,0,0,0,0.0074660828302873,0.0245134083626665,0,0.893642896892347,0.453045892424597
GSM362954,0.833649046633416,0,0.0424928951667453,0.00334822337239849,0,0.000698991291889047,0.000644620203003251,0.119166223332548,0,0.800834784884003,0.600224497256111
GSM362955,0.956170777300177,0,0.0115973634456611,0,0,0,0.00779367981645446,0.0244381794377071,0,0.88069481814029,0.477645692928159
GSM362956,0.749138333291038,0,0.00712190850689924,0,0,0.00338715690147142,0,0.240352601300592,0,0.638055381160135,0.777182242431458
GSM362957,0.930755659847996,0.000705201937335444,0,0,0.00273017469916102,0,0.0186871445300041,0.0471218189855034,0,0.85767959418324,0.517445790839629
GSM362958,0.872948257069827,0,0,0,0,0,0.00838161972377405,0.118670123206399,0,0.788830232356381,0.617837688096213
GSM362959,0.758346393674869,0.00133374357770692,0.0313347210861587,0.000183522726594918,0,0,0.0408013281962436,0.168000290738427,0,0.687014815461052,0.728840028687905
GSM362960,0.872045901001199,0,0,0,0,0,0.0121011748237522,0.115852924175049,0,0.7906791767358,0.615246420629895
GSM362961,0.96404311723358,0,0.00859190788608307,0,0,0.000776451686102527,0.0184658501725735,0.00812267302166137,0,0.878884379045346,0.481576308977275
GSM362962,0.970004698364943,0.000355188857749119,0,0,0,0,0.0153233498319061,0.0143167629454016,0,0.910264647396504,0.418141881927957
GSM362963,0.978486370288635,0,0,0,0.000265872676194327,0.000504954161608849,0.0154934836256719,0.00524931924788997,0,0.906237918119094,0.427311364144946
GSM362964,0.899245003081702,0,0.0288090810806456,0,0,0,0.0221772801877098,0.0497686356499422,0,0.862802394985195,0.507902518958662
GSM362965,0.87263375703713,0.00560253150343966,0.00550017438480319,0.00211413106044663,0,0.00151960654531897,0.0159736790091564,0.0966561204597052,0,0.806979393441185,0.592939415217773
GSM362966,0.913640429732898,0,0,0,0,0,0.0113067362495483,0.0750528340175533,0,0.828208955135147,0.564034388114468
GSM362967,0.985792980231546,0,0,0,0,0,0.0142070197684536,0,0,0.908368033866705,0.423137058676261
GSM362968,0.925430805968073,0.013102434466371,0.00486349147100346,0.00056526845847501,0,0.000454161143734668,0.0347446266024019,0.0208392118899412,0,0.835312492678789,0.554265555730151
GSM362969,0.968478723480126,0.0052019535924301,0,0,0.00451067535641029,0,0.0218086475710335,0,0,0.870538952587667,0.497793917074903
GSM362970,0.882597933234814,0,0.0118159918495065,0,0,0,0.0142255778750055,0.0913604970406743,0,0.83253098153359,0.555907880455179
GSM362971,0.961555507840232,0,0,0,0,0.00298009387732762,0.0218220665405703,0.0136423317418702,0,0.884219369347933,0.471186072897543
GSM362972,0.948119807644037,0,0.00469068008108785,0,0,0,0.00559245415770983,0.0415970581171649,0,0.852082637377259,0.52829449326477
GSM362973,0.984904390642345,0,0,0,0.00117241535871043,0.00107532637922577,0.0115632297383365,0.00128463788138186,0,0.888756131764483,0.464244858375032
GSM362974,0.880385755257165,0,0.0214186703517049,0,0,0.00305784322446511,0.0295116329564075,0.0656260982102572,0,0.827965426930654,0.562653212418893
GSM362975,0.980538768180308,0,0,0,0.0017895800832431,0.00165770291834649,0.0160139488181022,0,0,0.901881659008678,0.436796381181046
GSM362976,0.93510913008898,0.00790970155068093,0.00677834422809338,0,0,0,0.0135165865064655,0.0366862376257803,0,0.729238851125761,0.704595323355143
GSM362977,0.967706525998153,0,0,0,0.000371955184492703,0,0.0156973615482322,0.0162241572691224,0,0.853497342038363,0.527894082435846
GSM362978,0.963644010585169,0,0,0,0,0,0.00508144662177635,0.0312745427930547,0,0.777074906307602,0.646181662773757
GSM362979,0.957049307477697,0,0,0,0.00970747376472828,0,0.0171887962625521,0.0160544224950229,0,0.890162063234178,0.459395727270122
GSM362980,0.977108388243189,0,0,0,0.0040463173420628,0,0.0188452944147481,0,0,0.90276066156867,0.434686027535057
GSM362981,0.940322196509919,3.5974846418166e-05,0.0154022028550587,0,0,0,0.0279289075123127,0.0163107182762913,0,0.834719425444431,0.556047958638551
GSM362982,0.86366194195639,0,0.0166549091131229,0,0,0,0.0129165505104867,0.106766598420001,0,0.7743320418403,0.636202012686051
GSM362983,0.813253766191493,0,0,0,0,0,0,0.186746233808507,0,0.72169940140316,0.696276518190076
GSM362984,0.876839536606698,0,0.0178765302234956,0,0,0.00692651560653085,0.0132158745215231,0.085141543041752,0,0.801049451230753,0.601253987101534
GSM362985,0.959208078075311,0,0.00292930164749782,0,0,0.0016629849627236,0.00292318391476355,0.0332764513997041,0,0.884338344156158,0.470901745999574
GSM362986,0.683934787514689,0.0207266381600633,0.0705117265433781,0,0,0.00687670280581853,0.0479482668225995,0.170001878153452,0,0.758917692096775,0.656188940453047
GSM362987,0.839469928241859,0.0126487166704467,0,0,0,0,0.00902379077754544,0.138857564310149,0,0.719941583863196,0.701044659948904
GSM362988,0.836915876791695,0,0,0,0,0,0,0.163084123208305,0,0.770236450685854,0.639956291460861
GSM362989,0.979772260403279,0,0.00221412097794628,0,0,0,0.00480280200227313,0.0132108166165017,0,0.879588653108571,0.481731557487414
GSM362990,0.978510866959991,0,0.00065040277633589,0,0.00115295642546673,0,0.0135275780740369,0.00615819576416931,0,0.881670027268154,0.477548653002523
GSM362991,0.806491461958493,0.0481996485516327,0.0575429489470312,0,0.00327399617942474,0,0.014510860315824,0.0699810840475944,0,0.326570679367844,1.05316767200415
GSM362992,0.834676630294315,0,0,0,0,0,0,0.165323369705685,0,0.793999969550617,0.609243195994422
GSM362993,0.837272403256025,0,0.00329734966882651,0,0,0,0,0.159430247075148,0,0.78943519616581,0.615307273759829
GSM362994,0.928032526914854,0,0,0,0,0,0.000121667547609448,0.0718458055375366,0,0.821226293533827,0.576079712810022
GSM362995,0.902911528539647,0.00343750100957092,0.0187390158638834,0,0,0,0.0366466370261792,0.0382653175607198,0,0.847674191794068,0.532812871642153
GSM362996,0.932443591024291,0,0,0,0.00113893658703333,0,0.0149061201453051,0.0515113522433705,0,0.855076187741467,0.52196361310238
GSM362997,0.969737691540723,0,0,0,9.16150133347309e-05,0,0.0136283650258504,0.0165423284200918,0,0.875548242152482,0.488368234872197
GSM362998,0.973004114178925,0,0,0,0.0108358245171253,0,0.0161600613039497,0,0,0.814256559040934,0.592943482810733
GSM362999,0.963498268821172,0,0,0,0.0107758659684764,0,0.0257258652103516,0,0,0.75277314360239,0.679476832656895
GSM363000,0.942727082396343,0.0176011402564699,0,0,0.00529504666968322,0,0.00866840399979034,0.0257083266777137,0,0.818775504528504,0.582430070341108
GSM363001,0.97635523770464,0,0,0,0.0100278085716272,0,0.0136169537237324,0,0,0.873539090489439,0.492843328256299
GSM363002,0.869703636685095,0.0399553528169155,0.0144626248297213,0,0.000225225647768182,0,0.0235966106391079,0.0520565493813925,0,0.78545571573206,0.623506716340501
GSM363003,0.987357273396187,0,0,0,0.000873648946280594,0.00028531107264725,0.00851463519991774,0.00296913138496769,0,0.884888431226187,0.472208713141527
GSM363004,0.964995969046276,0.00906382194854492,0,0,0.00423113988228153,0,0.01223863869514,0.00947043042775731,0,0.887767168391304,0.464908698272519
GSM363005,0.974101255941856,0,0,0,0.0031873328230521,0,0.0127293035325737,0.00998210770251819,0,0.892312863648528,0.456135237765909
GSM363006,0.981430607354971,0.000678123380706871,0,0,0.00294152009313211,0,0.0072554863196168,0.00769426285157312,0,0.88992838751801,0.461609756201662
GSM363007,0.963004507704782,0,0.00488376999015689,0,0,0,0.0193632517055505,0.0127484705995107,0,0.87164823637722,0.494982029526269
GSM363008,0.837209365639364,0.0205099212931559,0.0359522772581614,0.000300231702171129,0,0.00148076667511427,0.0547096061562681,0.0498378312757649,0,0.770015275248775,0.640327723067583
GSM363009,0.80763315281465,0,0.0193882177715179,0.0214122124205035,0,0.00424985322241024,0.0059126546985283,0.14140390907239,0,0.713976043168684,0.70454963207804
GSM363010,0.884590691277806,0,0.00907326212831006,0.00199545287718074,0,0.00542833876503573,0.017244090352349,0.0816681645993182,0,0.64834404443887,0.786971339448582
GSM363011,0.780327749780723,0.000116425079626297,0.00955542224759774,0,0,0,0.01164335321978,0.198357049672273,0,0.66286650092966,0.755680487251057
GSM363012,0.986316046129941,0,0,0,0,0,0.00505065912094193,0.00863329474911677,0,0.848998533347638,0.538310977749848
GSM363013,0.723687984622881,0.00809110890175599,0.0606833342276632,0,0,0.000106276812806419,0.0624670008054221,0.144964294629471,0,0.752956220875533,0.659995460956228
GSM363014,0.899117569538899,0,0.0027961503198905,0,0,0,0.00738180558638815,0.0907044745548228,0,0.825222658700043,0.567656864394629
GSM363015,0.825472756827426,0,0.0155393156258089,0,0,0,0.00850288589956865,0.150485041647197,0,0.731204975597549,0.686069267894883
GSM363016,0.936137663789287,0,0,0,0,0.000949686569959874,0.00526004898340203,0.0576526006573509,0,0.721198083901028,0.714372091645054
GSM363017,0.85600382228134,0.00472338368568198,0,0.0139407376292182,0,0.00132796121264533,0,0.124004095191115,0,0.787424765984945,0.619127838803819
GSM363018,0.945984041696962,0.000685145811415201,0.00118771289292576,0,0.00535498345734962,0,0.02308903198166,0.0236990841596877,0,0.869602811480211,0.497451548851532
GSM363019,0.961583718898248,0,0,0,0.0142105626316958,0,0.0242057184700563,0,0,0.854715203245513,0.525086446888631
GSM363020,0.980799325736602,0,0,0,0.00672093031762647,0,0.0124797439457714,0,0,0.881383432899633,0.478367202763229
GSM363021,0.958579641721576,0,0,0,0.0128407631716301,0,0.0285795951067938,0,0,0.875339454456241,0.487808368916811
GSM363022,0.97027904155902,0,0,0,0.00849953984435736,0,0.0116756133471151,0.00954580524950796,0,0.880090479094649,0.479856147780248
GSM363023,0.969374457441031,0,0,0,0.00671910752762223,0,0.0239064350313467,0,0,0.806918230226453,0.603539847707514
GSM363024,0.920417492533171,0.0058950088374092,0,0,0,0,0.0297102866876872,0.0439772119417325,0,0.887430383165702,0.463964149008993
GSM363025,0.985241002658541,0.000213500210906859,0,0,0.00197776421123814,0.000259755978340305,0.00870552199632155,0.00360245494465181,0,0.873856506009252,0.493273550589878
GSM363026,0.971498169820704,0.00627058210406844,0,0,0.00459583321113171,0,0.017635414864096,0,0,0.882324371496063,0.475911497978418
GSM363027,0.941035672678677,0.0122019947210919,0,0,0.00244872672307794,0,0.0151619242011528,0.0291516816760004,0,0.822945130549778,0.57540048353347
GSM363028,0.900663534151091,0.00386331056996279,0.0169167509953851,0,0,0,0.0300652943589291,0.0484911099246318,0,0.85763286112334,0.516533177827751
GSM363029,0.676318045581779,0.0185168681521628,0.0674140663830419,0.000122599826552522,0,0.00113363860471794,0.051916725221167,0.184578056230579,0,0.687450471957925,0.726465728789111
GSM363030,0.774238385255831,0,0,9.97532216301786e-05,0,0.00251023772460474,0,0.223151623797934,0,0.637976643373847,0.780107359288463
GSM363031,0.889103175013474,0.00111363660179464,0,0,0,0.00152101280835875,0.0058261396957778,0.102436035880595,0,0.776211097168869,0.636217942814104
GSM363032,0.733905864001643,0.0129382314970365,0.0195050946923586,0,0,8.09707251998119e-05,0,0.233569839083762,0,0.675880780498934,0.739443825218182
GSM363033,0.72573570473808,0.0015156201402855,0.0489162660366609,0.00169758680866959,0,0.00740413863535843,0.00782418240898736,0.206906501231958,0,0.535588147489634,0.863523496616212
GSM363034,0.919232696922302,0,0,0,0,0.00209072772108404,0.00231329303263765,0.0763632823239762,0,0.816499335815801,0.582347642228496
GSM363035,0.98022508223862,0,0,0,0.000617658561043212,0,0.0185518297804508,0.000605429419885691,0,0.802843154769263,0.611772330022847
GSM363036,0.892042972066315,0,0,0,0.00113202166335981,0.00012388285994249,0.00511205981644949,0.101589063593933,0,0.676292382107792,0.75822713326583
GSM363037,0.831192819454538,0,0,0,0,0,0,0.168807180545462,0,0.765021520849469,0.64617433110081
GSM363038,0.788721211706212,0,0,0,0,0,0,0.211278788293788,0,0.659172073058353,0.760773214408993
GSM363039,0.951243416410476,0,0,0,0,0,0,0.0487565835895239,0,0.838909349156514,0.550616349419065
GSM363040,0.951958243851189,0,0,0,0.00672581900083746,0.00437909337087207,0.0369368437771017,0,0,0.836696749178419,0.554161881194353
GSM363041,0.814223857048622,0,0.0423871996879053,0.0185407146863506,0,0.00220675774800399,0.0337135377401344,0.0889279330889835,0,0.140522266909918,1.18101510126696
GSM363042,0.957749639260109,0,0,0,0.0110116124690804,0,0.0312387482708104,0,0,0.859037916017696,0.517122059525793
GSM363043,0.885875125090806,0.0279512544484762,0.0258149117961731,0,0,0,0.0275815139695398,0.0327771946950046,0,0.646585205584476,0.79130675803468
GSM363044,0.981696320917476,0,0,0,0.00230451308880792,0,0.0159991659937162,0,0,0.872339189796532,0.495655692331516
GSM363045,0.991658634104038,0,0,0.0037988248967597,0,0,0.00216534086006404,0.00237720013913782,0,0.824202969533932,0.580875516499409
GSM363046,0.961136783482893,0,0,0,0.0113857231111732,0.000160651429567099,0.0273168419763668,0,0,0.88343825741923,0.472678813831792
GSM363047,0.982153966101135,0,0,0,0.00861638109320698,0,0.00922965280565788,0,0,0.891232410913194,0.459036465712355
GSM363048,0.855672971289942,0,0,0,0,0,0,0.144327028710058,0,0.78698895334124,0.619308428938867
GSM363049,0.868862394137501,0,0,0,0.00101642180497198,0,0.00269177448798413,0.127429409569543,0,0.76692204451895,0.64640439538482
GSM363050,0.876986300554206,0,0,0.000513778054562311,0.00033558916604826,0,0.0154179293586869,0.106746402866496,0,0.783467731161435,0.62529790352774
GSM363051,0.879839462097028,0,0,0.00145896601066231,0.00114020410845642,0.00467057254696521,0.0146637204362999,0.0982270748005881,0,0.443283546229008,0.980790214250229
GSM363052,0.727780834564366,0.00925490993742902,0.0160505647967105,0.0216617299572116,0,0.00136291657296981,0.0115915591991197,0.212297484972193,0,0.0185627918097527,1.22481810229991
GSM363053,0.910500865640341,0,0,0,0,0,0,0.0894991343596585,0,0.825175273844696,0.568527975618171
GSM363054,0.323433846838352,0.151098119923736,0.326171505185204,0.0130032450696466,0,0.075879866458305,0,0.110413416524756,0,-0.00346925401985255,1.12750536825122
GSM363055,0.678477259354405,0.000136857558253418,0.113374910753538,0.0209121032740764,0,0.00304985935555965,0.0644882520266142,0.119560757677553,0,0.300500637673081,1.0220532602889
GSM363056,0.807250273100075,0,0,0.00862568608981814,0,0,0,0.184124040810107,0,0.65984940313685,0.762458748785713
GSM363057,0.875846829858584,0,0,0,0,0,0.0014631935305701,0.122689976610846,0,0.77527351028619,0.636193178927327
GSM363058,0.953109360769152,0,0,0,0.014488707483072,0.000120500341843966,0.0322814314059319,0,0,0.763096472169851,0.663320421403755
GSM363059,0.960576736543971,0.00484202739320572,0,0,0.00253616672954742,0.00203104941767111,0.00458690250200406,0.0254271174136008,0,0.867071933197358,0.503413084267165
GSM363060,0.958260258629808,0,0,0,0.0137543058697777,0,0.0279854355004144,0,0,0.869419681342076,0.498669336393401
GSM363061,0.978921322813362,0,0,0,7.74767777299075e-05,0.0012512787101903,0.0147210543723019,0.00502886732641629,0,0.887332724274559,0.466487072426064
GSM363062,0.968430646889529,0,0,0,0.00630154549249493,0,0.0130127977890242,0.0122550098289516,0,0.887745681072283,0.464839330524743
GSM363063,0.951962004857884,0,0,0,0.00833620120255858,0.00391551146775559,0.0357862824718022,0,0,0.794800626994122,0.618531417401552
GSM363064,0.978276256626744,0,0,0,0.00963073618790689,0,0.0120930071853492,0,0,0.893388444542954,0.454320169883014
GSM363065,0.977821095953253,0,0,0,0.00820447215245192,0,0.0139744318942954,0,0,0.862666748395396,0.512969581945586
GSM363066,0.978501359065873,0,0,0,0.00564058310654399,0,0.0158580578275835,0,0,0.805710994551365,0.607087281174884
GSM363067,0.849580165495344,0.0211422948887413,0.0285483855952374,0,0,0,0.0217713036665705,0.0789578503541067,0,0.814579268404199,0.581762970206127
GSM363068,0.905522658972602,0.015318433045335,0.00282557921005442,0,0.00709589212774755,0,0.0392090768796845,0.0300283597645763,0,0.881503626162541,0.475231595124655
GSM363069,0.746847816041985,0,0.00280316859816482,0.000344793387939982,0,0,0.00531949958665336,0.244684722385256,0,0.568955926911393,0.840226556778896
GSM363070,0.610928834892822,0.00396540684697288,0.0229797009425525,0.00130247595193733,0,0.0138003040160083,0,0.347023277349707,0,0.422147453946293,0.935337987455857
GSM363071,0.875339024891308,0,0,0,0.000695295556522991,0,0.00140448381908285,0.122561195733087,0,0.75106539042021,0.667206045872752
GSM363072,0.756289826415371,0.0113119312315244,0.03754993383965,0.000788510674882202,0,0.00346984766462476,0.00747376493229476,0.183116185241653,0,0.731622693824398,0.68240089416986
GSM363073,0.912379188939174,0,0,0.00182823816796133,0.00385710468092702,0.00167869211895042,0.0123410447892286,0.0679157313037584,0,0.49679533205842,0.944666386232085
GSM363074,0.895421404720259,0,0.0369943449682123,0.00131049364911923,0,0.00310436614609821,0.0368887220685619,0.0262806684477497,0,0.816517711206947,0.580216747254119
GSM363075,0.908525312348646,0,0,0,0,0,0.00498654259873313,0.0864881450526207,0,0.87314657750605,0.490067518090967
GSM363076,0.860746636199789,0,0,0.00152509818828164,0,0.00934385447636564,0.00996423234234816,0.118420178793215,0,0.39482922836484,1.01454554680401
GSM363077,0.896079027189878,0,0,0,0.00197050416324512,0,0.00340438840742577,0.0985460802394512,0,0.744911367461536,0.677567342074286
GSM363078,0.823197167580261,0.0196553405133231,0.0116675864088516,0,0,0,0.0111733964414591,0.134306509056105,0,0.64003267097264,0.785280778415144
GSM363079,0.826155740482413,0,0,0,0,0,0,0.173844259517587,0,0.722829494848068,0.696078930680147
GSM363080,0.696408734714496,0,0,0.0788969587531438,0,0.00629724555111105,0.0286451630335922,0.189751897947657,0,0.422044374380532,0.952588030943051
GSM363081,0.831035934829722,0,0,0.00742133438752276,0,0.00124381584204213,0.0147576822440076,0.145541232696706,0,0.348880768062613,1.04100062205557
GSM363082,0.912499615277748,0,0,0,5.10749321414837e-05,0,2.35805705604396e-05,0.0874257292195498,0,0.816926489939764,0.581118854339921
