Mixture,Central_venous_LSECs,Cholangiocytes,Other,Hepatocyte,Portal_endothelial_Cells,Periportal_LSECs,Hepatic_Stellate_Cells,Erythroid_Cells,P-value,Correlation,RMSE
GSM362947,0,0,0,0.786213031161206,0,0.156329944397181,0.0574570244416134,0,0,0.799634002849701,0.837335481017926
GSM362948,0,0.0135858230904051,0.00807004825725032,0.738362922464151,0,0.120641158735239,0.119340047452954,0,0,0.772421278080078,0.849951944267493
GSM362949,0.000789129046437338,0.165159964209284,0.00259735930779299,0.63055745039422,0,0.102106876804823,0.0987892202374418,0,0,0.813672373686645,0.840665858990274
GSM362950,0,0.0700030524728013,0,0.699389719707062,0.00999767090407067,0.119839320888642,0.100770236027423,0,0,0.827381820113984,0.836794927242309
GSM362951,0.0153752693822512,0,0,0.864187123166174,0,0.0825931728599896,0.0371434006632317,0.000701033928353312,0,0.813160459503623,0.82045055431665
GSM362952,0.00497025047452099,0,0,0.866758651303331,0,0.0874062123594072,0.0408648858627412,0,0,0.853723604086215,0.808221202560374
GSM362953,0.0265971223963127,0,0,0.896754890002699,0.000720807780691769,0.0402764935005456,0.035121902871912,0.000528783447838951,0,0.925863316186159,0.780582750136293
GSM362954,0,0.0530062946865447,0.000870646174666044,0.630582135735472,0,0.126106142006335,0.189434781396982,0,0,0.888774974093864,0.835507632208134
GSM362955,0.0131567691269242,0.000488261128382893,0.00618474982301944,0.85025010321495,0.000948189478323531,0.0667821668569286,0.0599704589808688,0.00221930139060268,0,0.932484182879195,0.788397765840198
GSM362956,0.00249197881765958,0.16113136435656,0.00202492383337594,0.613193991571376,0,0.13095664381099,0.0902010976100379,0,0,0.526029779633611,0.910169365581592
GSM362957,0.0220547719712189,0,0.00808274266363746,0.86445662675014,0,0.073345567263172,0.0312034989150211,0.000856792436810589,0,0.954893660107731,0.778971107246007
GSM362958,0.00725365135428369,0.0208034095740782,0.0214434402221177,0.846103587694691,0,0.0765361671184071,0.0278597440364226,0,0,0.189303108110673,0.982613960800275
GSM362959,0.00143104517476387,0.0203498571521245,0.0463578970167349,0.683446945539562,0,0.11149066998752,0.136923585129295,0,0,0.890005633766731,0.830872624946715
GSM362960,0.00247492203177057,0.0227895097004445,0,0.799479726451697,0,0.0956454586416451,0.0796103831744429,0,0,0.902787034299804,0.804217369476757
GSM362961,0.00745333005068328,0,0,0.913990902813006,0.0044148731950064,0.0334793881381653,0.0404056179810687,0.000255887822070161,0,0.916438147260396,0.779701499279162
GSM362962,0.0100465686051183,0,0.00415009942452983,0.897991910632356,0,0.0599750148359444,0.0278364065020511,0,0,0.829021905086709,0.809861778434067
GSM362963,0.00652708677014296,0,0.00414514607587303,0.910834642831664,0,0.0544101437355272,0.0223505508949888,0.0017324296918036,0,0.872460262618548,0.794187442471666
GSM362964,0.00522163401674517,0,0.00535392555426671,0.816303523289551,0.00177932224772106,0.102970693156363,0.0683709017353533,0,0,0.860342992588365,0.815798074190504
GSM362965,0.00109572573539548,0.00416541360303251,0.0171294848413763,0.757283796492609,0,0.0987411253954948,0.121584453932092,0,0,0.46133337763599,0.921818249950886
GSM362966,0,0.0115264054847941,0,0.855074028070121,0,0.0933684245927455,0.0393725616936027,0.000658580158736433,0,0.802483447146567,0.823633529676207
GSM362967,0.00839250072554834,0,0.00479790406041212,0.936095848440256,0,0.0338874877739913,0.0159424862172466,0.000883772782545421,0,0.871812234153684,0.789488859979979
GSM362968,0.0101116826858514,0.000822224427824153,0.00965808475113569,0.856554214933498,0,0.0655018495291062,0.0573519436725841,0,0,0.835245965393159,0.815311458584701
GSM362969,0.017777713172671,4.17859576238934e-05,0.00565055989575553,0.892114701281106,0,0.0446970114307769,0.0346514992701017,0.00506672899196445,0,0.888560801977156,0.792703194593352
GSM362970,0.0090472673989817,0,0.0033542922808308,0.812957790864188,0,0.0886864155313283,0.0859542339246708,0,0,0.863853668404393,0.815302227145813
GSM362971,0.0126001195718798,0.00948432318425765,0.00239041100603256,0.812397795417039,0.000730897991813014,0.0705141352857994,0.0918823175431789,0,0,0.893659549094363,0.80588569788234
GSM362972,0.000263042761145445,0,0,0.870563022949127,0,0.0830743261886011,0.0460996081011268,0,0,0.771558231762561,0.831127080385845
GSM362973,0.010898575571458,0,0,0.931545269581379,0.00259531336011946,0.0359073590977315,0.0190000217626313,5.34606266806543e-05,0,0.821115753914986,0.806317156965436
GSM362974,0.00302762768702992,0,0.00548143360562749,0.875331388651168,0,0.0719757775782896,0.0441837724778854,0,0,0.751455112811356,0.836140766572411
GSM362975,0.0171601895611363,0,0.000324898618441721,0.921927350566811,3.56763548252844e-05,0.0390988010787313,0.0214530838200546,0,0,0.921894261897726,0.776394329726562
GSM362976,0.000309589448607835,0.00183501724905096,0.00370558414358859,0.812520099073935,0,0.110274085581735,0.0713556245030827,0,0,0.820210910379504,0.827069792522804
GSM362977,0,0.000958334404027469,0,0.939460062989102,0,0.0423078973493142,0.0172086242463666,6.5081011189664e-05,0,0.829970532726158,0.801960441265283
GSM362978,0.00174912977843369,0,0,0.869858954024699,0,0.0928703611003055,0.0355215550965622,0,0,0.821323268980118,0.817055659868954
GSM362979,0.0362832983124827,0,0.0154541969226547,0.858953160469945,0,0.0571420046821472,0.0321673396127704,0,0,0.816184008475643,0.82070430312451
GSM362980,0.0110906680985869,0,6.24354468887734e-06,0.927534444696838,0,0.0430583355748877,0.0175343417132838,0.000775966371714807,0,0.907724517212073,0.779720826989748
GSM362981,0.00259959870484175,0.0215277524998117,0.00774641739374989,0.788206268402187,0,0.0940898924377241,0.0832941273024112,0.00253594325927467,0,0.93456249090976,0.797926275248329
GSM362982,0.00616973022245646,0.0928243112723341,0.00433949523380135,0.726702649475592,0,0.101479767351727,0.0680998793935261,0.00038416705056282,0,0.744038515144364,0.850941375367205
GSM362983,0,0.0304832525121525,0.00167420976655466,0.855962687214568,0.00820134340468952,0.0833105468937836,0.0198533685703104,0.000514591637941217,0,0.61355441955351,0.874326943104442
GSM362984,0.00156678904883011,0,0.0260193208088428,0.825159131063588,0,0.108322398365443,0.0389323607132963,0,0,0.803197087105307,0.83004841122824
GSM362985,0.0161999113886489,0.00122813176267807,0,0.873245088485425,0.00122844308050131,0.0647200388166725,0.0415970738127952,0.00178131265327899,0,0.758246967946672,0.834423668309723
GSM362986,0,0,0.148219229012806,0.675961758220516,0,0.134194375950676,0.0416246368160016,0,0,0.817456978449811,0.853378850112918
GSM362987,0.00547033081179763,0,0.0138849016922987,0.790171251396413,0,0.133389423191551,0.0570840929079395,0,0,0.582467821138131,0.891178503341821
GSM362988,0.00667455412308107,0.0325334383860114,0,0.846382314054034,0.000917065329596764,0.0826188391300144,0.0306409331086891,0.000232855868572909,0,0.811340370883972,0.820230035999061
GSM362989,0.00349025285027077,0,0,0.864391744514604,0.000403009391430331,0.0812583940526094,0.0502141794084604,0.000242419782624733,0,0.76594446976276,0.833685752378495
GSM362990,0.00528013184062573,0.00165968560957799,0,0.877868159837012,0,0.0786492681873389,0.0363645657258228,0.000178188799622536,0,0.869767404470187,0.801177764924799
GSM362991,0.0282067757056337,0,0.0319184750517579,0.657924426664187,0.0356733399446217,0.0918856424390196,0.152841211485478,0.00155012870930252,0,0.79912205723056,0.858408174009575
GSM362992,0.00664039686259278,0,0,0.894044398033802,0,0.0664723484498653,0.0325012948703099,0.000341561783429866,0,0.804520830421835,0.817791641178555
GSM362993,0.00249842210052483,0.061852766695384,0,0.719369082969869,0,0.112238886196492,0.10404084203773,0,0,0.817016953066875,0.836755397807379
GSM362994,0.00242680146580109,0,0,0.873240387844097,0,0.0903573568891879,0.0338432118304394,0.000132241970474619,0,0.799551372121577,0.822756050116325
GSM362995,0.0114062354461545,0,0.000907688546821932,0.788317774071526,0,0.110230767810048,0.0889689024877204,0.000168631637729115,0,0.800100553259319,0.836654906174939
GSM362996,0.0394608988925737,0,0,0.849973837476079,0,0.0695981854557838,0.0400173763133901,0.000949701862173095,0,0.791572255977805,0.829039797124077
GSM362997,0.0110853980545393,0,0,0.907039786195645,0,0.058817867569989,0.0224455464508002,0.000611401729026411,0,0.833722127387142,0.806811470004593
GSM362998,0.0114291516670505,0.00330155738823054,0.00118633195174245,0.956258173118263,0.00216327495884782,0.0164675786517718,0.00682827984029675,0.00236565242379719,0,0.926129658478493,0.767041903438713
GSM362999,0.00705813861946751,0.00054805109394852,0,0.96881568148618,0.00176296582723163,0.0126445126878007,0.00899775336137312,0.00017289692399891,0,0.945769499399299,0.757991588698851
GSM363000,0.0458430361172127,0,0.00515366463397086,0.903306342468634,0,0.0329064615135804,0.0117408108992091,0.00104968436739269,0,0.86056038184383,0.799533776040158
GSM363001,0,0,0,0.954067089764535,0,0.0339377229023282,0.0118632661563209,0.000131921176815477,0,0.893320911604595,0.778855138891765
GSM363002,0.0541186187580656,0,0.0207398428552167,0.753805893151834,0.0159022302331786,0.0857588638080089,0.0688485992490031,0.000825951944693304,0,0.840844980292215,0.833014486556791
GSM363003,0.00277812606321685,0,0,0.955129787225404,0,0.0312359914403933,0.010751012027188,0.000105083243797658,0,0.882968052435206,0.782065172124202
GSM363004,0.0342586990697659,0,0.0170114719372901,0.863440762746904,0,0.0570566584428174,0.0279105266807372,0.000321881122485082,0,0.878280313939839,0.802022147496616
GSM363005,0.0261376665730741,0,0.00853187084730797,0.890424607144262,0,0.0507820465907264,0.0234207914898011,0.000703017354828327,0,0.890443333448883,0.792899223757013
GSM363006,0.0144837038437846,0,8.17189532210844e-08,0.919714723186625,0.00282106956271035,0.037031416590646,0.019840938228684,0.00610806686859692,0,0.873773391610679,0.791682614546355
GSM363007,0.00909023259746588,0,0,0.757023306489131,0.00750694248289444,0.101670767631907,0.124699111873499,9.63892510232733e-06,0,0.89650868629629,0.817189367156336
GSM363008,0,0.00796827978390548,0.0520282518163133,0.619405884365468,0,0.121588715983056,0.199008868051257,0,0,0.940458608609851,0.832762108138178
GSM363009,0,0.0659402268821287,0.0539372939431102,0.659346104211872,0,0.118432807110916,0.102343567851973,0,0,0.0482968781365083,1.00939529349886
GSM363010,0,0.242450316268867,0.0135566153544922,0.577529327010014,0,0.0850035128866436,0.0814602284799826,0,0,0.674680338608499,0.874033101651817
GSM363011,0,0.0782071765848559,0.0120540854880397,0.66208107115875,0.00523905977222696,0.138896389806152,0.103522217189975,0,0,0.789180362676711,0.851453289311483
GSM363012,0.00160956001004551,0,0,0.887488534510534,0.00132675820707293,0.0687492772346598,0.0408258700376879,0,0,0.877194908942364,0.797240127649578
GSM363013,0,0.0741575102674569,0.0969573236501417,0.559796196164017,0,0.152506377244694,0.116582592673691,0,0,0.941304182219152,0.838366776738708
GSM363014,0.00171886374952725,0.0223917993139162,0.000428167421134033,0.802193463008968,0,0.102832855214959,0.0704348512914956,0,0,0.737251477300026,0.848549243987082
GSM363015,0,0.0635315087241117,0,0.683780378248929,0.00148622640766725,0.107023695202067,0.144178191417225,0,0,0.876221102094777,0.827781156383041
GSM363016,0.0017034040571981,0,0.000672098004725688,0.88858830607131,0,0.087758555619892,0.0212776362468746,0,0,0.763235430437925,0.830787941205897
GSM363017,0.00318040588647152,0,0.0433899931734337,0.676052682140538,0,0.108095846637484,0.169030230942107,0.00025084121996621,0,0.834244366386713,0.846991548067213
GSM363018,0.0208278467427239,0,0.0148403222674285,0.834792282975935,0,0.0750443846860293,0.0533786701770714,0.00111649315081167,0,0.886365644768789,0.805189823881331
GSM363019,0.00801131795610944,0,0.0119451467944782,0.922961042707769,0.00297264067891183,0.0376077792841574,0.0161088371599327,0.000393235418641522,0,0.954154084420469,0.765811265106219
GSM363020,0.00458609625176759,0,0,0.933371911240882,0,0.0477160760756979,0.0138911501987069,0.000434766232945515,0,0.872372503653048,0.789814733659168
GSM363021,0.00351947348410461,0,0,0.935868025234367,0,0.0361020111026625,0.0245104901788663,0,0,0.909079388265182,0.777454406537737
GSM363022,0.0175882419564265,0,0.00619082308926083,0.912620373805467,0,0.0459492034264622,0.0170648902399706,0.000586467482413213,0,0.916378270063086,0.780207245406604
GSM363023,0.00385914709644178,0,0.00352143596693475,0.940974650648075,0.00151329156658312,0.0348906161828829,0.0146300981500611,0.000610760389021863,0,0.955999929577864,0.760975718343814
GSM363024,0.020129824426457,0,0.00185634338203617,0.868958427896957,0,0.0767214655749106,0.0315784409179016,0.00075549780173784,0,0.861273573600556,0.805732826740487
GSM363025,0.00950869453051196,0,0,0.926366460493658,0,0.0405548963725057,0.0233587973912315,0.000211151212093223,0,0.881498105348071,0.788291766115002
GSM363026,0.0396910914012772,0,0.00930759370045546,0.869027188890803,0,0.0580013710192581,0.0239727549882059,0,0,0.878444020061436,0.800858000423216
GSM363027,0.0423689980212451,0,0.0383604183742506,0.800257891574905,0,0.0758714013697983,0.0285552356910755,0.0145860549687257,0,0.836484530684395,0.822990124445074
GSM363028,0.00534877774812148,0,0.00638464007834654,0.771669427629651,0,0.107128262094835,0.109458772709037,1.01197400086009e-05,0,0.881249012764957,0.818426266068731
GSM363029,0,0,0.0541460865147892,0.649244280915892,0,0.127949210585918,0.168660421983401,0,0,0.863230164685803,0.845553507574847
GSM363030,0,0.115686766084311,0,0.687700893969319,0,0.115000601589203,0.081611738357167,0,0,0.883978821622417,0.818961147935194
GSM363031,0.00169899931536291,0.00970200260645791,0,0.850118424542595,0,0.0736948927184767,0.0647856808171074,0,0,0.896242406254641,0.797615844840794
GSM363032,0.00706513222752618,0.0214965212596445,0.0615803975769631,0.801963495947572,0,0.0704150949813567,0.0374793580069371,0,0,0.890004504425797,0.80822657380931
GSM363033,0.00163915114267491,0.0156526047960182,0.0466934756156475,0.806484047037385,0,0.0840406597561715,0.0454900616521029,0,0,0.908542684297455,0.802813140237567
GSM363034,0.0013375696841163,0.00187593578685632,0,0.881065083464443,0,0.0740492339266613,0.0416721771379227,0,0,0.894094174118895,0.793172671155469
GSM363035,0.00459997146787116,0,0,0.926632522005393,0,0.0354112066479689,0.0333562998787664,0,0,0.945227911343832,0.767681826056497
GSM363036,0.00452165205642497,0,0,0.922646155656069,0,0.0510141772742819,0.0201131776315695,0.00170483738165468,0,0.826220172418976,0.806251849266372
GSM363037,0.0060745012304241,0.00776084879876252,0,0.88576384125852,0,0.0784621192657152,0.021938689446578,0,0,0.865443297378615,0.800206984845279
GSM363038,0,0.0155217644101653,0,0.856290971063511,0,0.0802375815220983,0.0479071892320385,4.24937721867948e-05,0,0.861192600754775,0.805963317966082
GSM363039,0.00298116646973751,0,0,0.892035533278897,0,0.0823731082571305,0.0226101919942349,0,0,0.782892751618376,0.824514443167669
GSM363040,0.00732719062404902,0.00205692852382618,0.00591234454443179,0.958514924469359,0.00173856175280218,0.0158386259418899,0.0086110450460594,3.79097582679205e-07,0,0.965460186338949,0.75341308158367
GSM363041,0,0.125589203638638,0,0.220582627760213,0,0.231865937855467,0.406755151366847,0.0152070793788348,0,0.0480621386694888,1.0027665707369
GSM363042,0.0174443218594299,0,0.0214408342130233,0.906817633230496,0.00139886081672374,0.0320419960426218,0.0206603013260888,0.000196052511616492,0,0.918791265198959,0.780767304599877
GSM363043,0.0192059320602174,0.00029018435596682,0.036063022674349,0.725220830577188,0,0.137635259430304,0.0814165546673558,0.000168216234618942,0,0.88994041686849,0.826175344514218
GSM363044,0.00514969272697004,0,0.00117851642807219,0.898075757033525,0,0.0553105952905752,0.0402854385208575,0,0,0.927310693433657,0.77970317027184
GSM363045,0.00380451551998247,0.0260281818798015,0,0.866075146718008,0,0.0853026985618114,0.0187894573203964,0,0,0.984960252797122,0.765124526959899
GSM363046,0.0132929487104962,0,0.00903890567400351,0.911042280274267,0.00409338942193747,0.0347226310298621,0.0231881015105582,0.00462174337887515,0,0.951953002209862,0.768971689513528
GSM363047,0.000768629136990689,0,0,0.961012985885403,0,0.0259999321115916,0.0113711123722917,0.000847340493722835,0,0.921351653183918,0.76805927934026
GSM363048,0.00287090786786484,0.0538891207039064,0,0.810682482244511,0,0.0881669069313784,0.0443905822523392,0,0,0.822820270857509,0.820593117511407
GSM363049,0.00261168322383906,0,0.00151304817073363,0.872907802444944,0,0.0865875815500589,0.0363798846104239,0,0,0.865071002100858,0.803744645744985
GSM363050,0,0.0412501127685129,0,0.749083568475629,0,0.0913723018218639,0.118294016933994,0,0,0.914621115120857,0.808343243118748
GSM363051,0.00502184536376422,0.0475110648065269,0.0127187082424834,0.856206971640229,0.00726481846899522,0.0384573764536421,0.0325050042023599,0.000314210821999222,0,0.848919737193932,0.805681656362981
GSM363052,0.00529982083798809,0.230031519989886,0.0431547212110569,0.612190987810873,0,0.0678618013980658,0.0414611487521306,0,0,0.739473965517429,0.855231213261965
GSM363053,0.00060373718849867,0,0,0.811529697388474,0,0.121264819306057,0.0666017461169701,0,0,0.904154791996079,0.804661664255122
GSM363054,0,0,0.038332687504638,0.11916178698414,0,0.48096962204993,0.342736574939056,0.018799328522236,0,0.078766368195232,0.997570215378924
GSM363055,0,0.225693245556839,0.014656824673091,0.210285513369877,0,0.174532448023761,0.374831968376431,0,0,0.769293666322445,0.897411293494296
GSM363056,0.00296676823206768,0.134424829553103,0.001284123925085,0.736076191735685,0,0.0683979536592032,0.0568501328948559,0,0,0.905320304519655,0.800987203352756
GSM363057,0,0.00168673578433082,0,0.847372724393537,0,0.112176801660316,0.0387637381618167,0,0,0.645560923627641,0.868804090099698
GSM363058,0.0096620266838129,0.00103609216738174,0.00544725885979494,0.946655828226411,0.00467906019915311,0.0187069116987931,0.0127688028752281,0.00104401928942512,0,0.969216968076924,0.75511004427874
GSM363059,0.0298976136437414,0,0.011084450549623,0.867245260077278,0,0.0525018015684697,0.0385694594509068,0.000701414709981091,0,0.852883765686777,0.808562812615001
GSM363060,0.0130791048657115,0,0.0066419703695363,0.936268108315447,0,0.0304192461286418,0.0133875444874062,0.000204025833257096,0,0.941167073076628,0.767023447588576
GSM363061,0.007163152104465,0,0,0.928863965741452,0.00468901402511776,0.0359765262489453,0.0229529951323196,0.000354346747700706,0,0.907321168134403,0.779549379692323
GSM363062,0.0229083555250395,0,0.0101168233150864,0.912226797262643,0,0.0347216597056357,0.0193704231876363,0.000655941003958858,0,0.877962231988254,0.792351825862615
GSM363063,0.00639399701154102,0.00715001839813856,0.0080796300894203,0.920814855109056,0.00548620026379279,0.0284729215190442,0.0181927207548671,0.00540965685414,0,0.975940006203684,0.75764420943165
GSM363064,0.0135357245657206,0,0,0.942687606418237,0,0.0324662779037062,0.0108206091724146,0.000489781939921726,0,0.894917132582675,0.780741068600664
GSM363065,0.00406081048856192,0,0,0.941493925050479,0,0.0362519027315074,0.0181933617294521,0,0,0.888836926392867,0.782882487591461
GSM363066,0.00607375088548595,0,0,0.920872944704865,0.000549927073100652,0.0409708627022962,0.0315325146342527,0,0,0.967046236075543,0.761923917785312
GSM363067,0.0176352800329913,0.00944929934230425,0.0222574506346284,0.775835673202966,0,0.113631292233868,0.0593633821943942,0.00182762235884716,0,0.886675920532419,0.815630477684811
GSM363068,0.0229608546685158,0,0.0115259116862493,0.852027071009379,0,0.0780125467105188,0.0354736159253366,0,0,0.871950131143081,0.805991270569448
GSM363069,0,0.00740116735697354,0.0112681842098979,0.657420740246349,0,0.215187522049256,0.108722386137524,0,0,0.891004320020131,0.837662620460537
GSM363070,0.00282069016727501,0.0871212288002903,0.0897478348679912,0.606135983716003,0,0.154300959762394,0.0598733026860462,0,0,0.660213012766597,0.88815067242383
GSM363071,0.00205603698432289,0.00241357729830115,0,0.857750348557803,0,0.100282564674351,0.0374925989393073,4.87354591407805e-06,0,0.823080413134589,0.81840401552609
GSM363072,0.00342322428167912,0,0.086682993738548,0.832597745120101,0,0.0499670347907664,0.0273290020689051,0,0,0.815796656151223,0.825686953109146
GSM363073,0.0067040096225164,0.0854728695784868,0.0161217840814892,0.852012335177069,0.0101935127392758,0.0192661080985341,0.00994932280638063,0.000280057896248172,0,0.908274147620524,0.783309789638048
GSM363074,0,0.0154250656147703,0.00816899247034437,0.682067447594948,0,0.126584126103247,0.16775436821669,0,0,0.930541993053999,0.821194864353031
GSM363075,0.00822121686626751,0.0130360918620588,0,0.828414302005496,0,0.0775729441775854,0.072755445088592,0,0,0.862160780829337,0.811210631351805
GSM363076,0.00368835286393015,0.0537680094798078,0.0024895887472883,0.829347965696376,0.00515692459953924,0.0471653847986068,0.058383773814452,0,0,0.948859298288254,0.780132713089636
GSM363077,0.00196337226742798,0,0,0.88624194015781,0,0.0784324701125365,0.0333007217053334,6.14957568922094e-05,0,0.889434099231165,0.793836782391958
GSM363078,0.00201632772755153,0,0.0228129077084637,0.80760526218978,0,0.118740876469997,0.0462889644440255,0.00253566146018252,0,0.766858020670633,0.842469117076972
GSM363079,0,0.0383086125442847,0,0.712918409134535,0,0.104839972881541,0.14393300543964,0,0,0.800069729280898,0.844217850646911
GSM363080,0.00273779723247684,0.126801337819824,0.031101833585104,0.64059311954439,0,0.104945985410907,0.0910299682847574,0.00278995812254105,0,0.441014880700929,0.928561582316113
GSM363081,0.011307897486619,0.173968911221846,0.0081435447838351,0.59258902196811,0,0.0876151374849436,0.125884406036725,0.000491081017920864,0,0.649571903783591,0.883605114412529
GSM363082,0.00304736622541381,0.00488661452893343,0,0.896133328856922,0,0.0667794423141786,0.0290162885106216,0.000136959563930571,0,0.930362543784057,0.778503198679241
GSM363083,0,0.210120361704854,0.0138938742124461,0.500481393179216,0,0.13267301612324,0.142831354780245,0,0,0.171085091464371,0.985048362997447
GSM363084,0.00240971586738918,0.000899273073631919,0,0.855766093988268,0,0.0890620707134036,0.051862846357307,0,0,0.889402428523128,0.799785933382948
GSM363085,0.00578373827505385,0.0733646515473939,0.0298232073580521,0.741883886631645,0,0.108689288092148,0.0394352761195207,0.00101995197618658,0,0.912304944900182,0.807030252258227
GSM363086,0,0.00374976183931865,0,0.889381138608355,0,0.0703217525001921,0.036547347052134,0,0,0.907255332387135,0.787207684107979
GSM363087,0.00460549317846137,0.0109024747133751,0,0.810441248805191,0,0.099026489388101,0.0750242939148714,0,0,0.852118624904051,0.817646969172359
GSM363088,0,0,0.106168042520804,0.0875546551527375,0,0.0825612551978524,0.722856006483349,0.000860040645257544,0,0.46419773164371,0.939250907830897
GSM363089,0,0.00638106771780269,0.00365244163354987,0.871544001163222,0,0.0713824210741278,0.0470400684112979,0,0,0.931060174582003,0.783348671480033
GSM363090,0.00474883675914831,0,0,0.928407898053726,0,0.0453458122099115,0.0214919246526202,5.5283245943463e-06,0,0.933580217433715,0.771138865111641
GSM363091,0.0226745939544041,0,0.0166039993733366,0.839696750559518,0.000230088300424629,0.041797009320098,0.0771717889330295,0.00182576955918886,0,0.955546522086615,0.784054124898883
GSM363092,0.00497914248707104,0.00953673364757899,0.00918309065081368,0.886234341928859,0.00325579121900972,0.0409350931326756,0.0457244011002356,0.000151405833756375,0,0.971600540577392,0.767079506672532
GSM363093,0.0109156569382653,0,0.00305585210668621,0.936520574672946,0.00154096027507983,0.0305707528693658,0.0165790701172179,0.000817133020439343,0,0.965424001656943,0.758905694020709
GSM363094,0.00987652426129962,0,0,0.959770701290798,0.00273979676546382,0.017207655993264,0.00883481240239043,0.00157050928678367,0,0.968109385143881,0.752511806530945
