Mixture,Other,Kupffer cells,TM1,SAMs,T cells,cDC2,cDC1,B cells,P-value,Correlation,RMSE
GSM362947,0.795586900053826,0,0,0.198073345263774,0,0.00633975468240053,0,0,0,0.83634885692435,0.627371168198698
GSM362948,0.749988452214921,0,0,0.222771932127896,0,0,0.0272396156571829,0,0,0.874709904832778,0.602075298417853
GSM362949,0.841704911804217,0,0,0.146727412283249,0,0.00944440636003672,0,0.00212326955249724,0,0.894654977694574,0.568862258197583
GSM362950,0.741673688458548,0,0,0.21981204437699,0,0,0.0380171237932613,0.00049714337120032,0,0.890576670608358,0.590849336314838
GSM362951,0.822098479351838,0.0187431221114487,0,0.147845903386714,0,0,0.00994117896569406,0.00137131618430475,0,0.812185782038369,0.646432441379809
GSM362952,0.839560756324223,0,0,0.143079288568389,0,0.014693219814982,0.00266673529240543,0,0,0.787029925033138,0.664756915573329
GSM362953,0.842087886790613,0.00939282264384741,0,0.145739322004351,0,0,0,0.00277996856118881,0,0.753878855660335,0.690755449885336
GSM362954,0.764214902735422,0,0,0.233076731590822,0,0,0.00270836567375592,0,0,0.911552290066828,0.563324278474983
GSM362955,0.812998949127604,0,0,0.186185266539748,0,0,0,0.000815784332648522,0,0.82886803305534,0.631327880681763
GSM362956,0.79324673602571,0,0,0.191185467556889,0,0,0.0155677964174011,0,0,0.827751462406967,0.635961274279655
GSM362957,0.799982628483028,0.0189448098044932,0,0.141175792709805,0,0.0289484519911154,0.00505908910568447,0.0058892279058738,0,0.735182549427697,0.710948167665077
GSM362958,0.800299353153719,0,0,0.189697650457477,0,0,0.0100029963888045,0,0,0.737729947217308,0.706494137253557
GSM362959,0.745367173265508,0,0,0.230916551166973,0,0.0034000868625762,0.0200683718031175,0.000247816901825771,0,0.83154224199484,0.638269539409171
GSM362960,0.84212457619621,0,0,0.118948527736863,0,0.0187333161839503,0.0200600023379878,0.00013357754498874,0,0.80140634706883,0.654132336541584
GSM362961,0.841751844401991,0.00832421869993794,0,0.125040704458961,0,0.0234495229236707,0,0.00143370951543883,0,0.669183898453554,0.755418035833129
GSM362962,0.806959264851466,0.00915812510390083,0,0.172286509502041,0,0,0.0031674809207765,0.00842861962181521,0,0.732263160403094,0.710748501736406
GSM362963,0.82297327673632,0,0,0.172757546737676,0,0.00306860019620964,0,0.00120057632979423,0,0.691692515235104,0.739167539956056
GSM362964,0.760743464444757,0,0,0.238263311237225,0,0,0,0.000993224318017947,0,0.826689920684675,0.638261501463522
GSM362965,0.735413495491829,0,0,0.252498812051686,0,0,0.0120876924564848,0,0,0.853628336028796,0.619201913985663
GSM362966,0.805619710746667,0,0,0.190053681598276,0,0,0.00432660765505728,0,0,0.793444161194228,0.661937871765585
GSM362967,0.803776016848671,0.00797521279306699,0,0.185529859149017,0,0.00200887581419136,0,0.000710035395052787,0,0.643684180778809,0.774306457400255
GSM362968,0.787869899347666,0.036791528234651,0,0.171315134488385,0,0,0,0.0040234379292972,0,0.776748027779178,0.678491250248934
GSM362969,0.802024524476469,0.0286361635901442,0,0.1682838822253,0,0,0,0.00105542970808672,0,0.683693413850285,0.746542880048022
GSM362970,0.764014502374919,0,0,0.227211414784279,0,0,0.00877408284080209,0,0,0.821486023215729,0.643182273777959
GSM362971,0.828532236409744,0.00893987980268305,0,0.161354841316948,0,0,0,0.00117304247062532,0,0.781693094403957,0.669533938711526
GSM362972,0.782319896594051,0,0,0.211613575534452,0,0,0.00538170882391536,0.000684819047581985,0,0.771619203704574,0.681412843403824
GSM362973,0.818762348765542,0,0,0.179537000454185,0,0.00116267255475376,0,0.000537978225519245,0,0.687057325818877,0.74265925016844
GSM362974,0.831163698967392,0.000598688541981058,0,0.164787140530599,0,0,0,0.00345047196002843,0,0.779468027928919,0.670940750245168
GSM362975,0.825182447938202,0,0,0.174152665345676,0,0,0,0.000664886716121797,0,0.61315674961893,0.794606140791902
GSM362976,0.769849021642653,0,0,0.223352720145265,0,0,0.00679825821208139,0,0,0.834258381747237,0.631839306651307
GSM362977,0.802771203506914,0,0,0.196516375926374,0,0,0.000712420566712035,0,0,0.676171652799234,0.751208247521315
GSM362978,0.785720346991442,0,0,0.214279653008558,0,0,0,0,0,0.758736770583989,0.690662083201638
GSM362979,0.797244609975659,0.0208451263912373,0,0.179560640487037,0,0,0,0.00234962314606704,0,0.753711977547701,0.694833165260606
GSM362980,0.826697961739875,0,0,0.172773217465717,0,0,0,0.000528820794408612,0,0.639170150736697,0.776545869996455
GSM362981,0.818482842655505,0,0,0.166080254825735,0,0.00860202504900624,0.00448045212665706,0.00235442534309677,0,0.796872746809297,0.658865696379712
GSM362982,0.778807313742831,0,0,0.215374310035816,0,0,0.00581837622135336,0,0,0.823481878191309,0.639890332710775
GSM362983,0.765848746405796,0,0,0.209044409656739,0,0,0.0251068439374643,0,0,0.768186622479096,0.686811741993157
GSM362984,0.838289735868317,0.013524433581236,0,0.0987195530159287,0,0.0119910592245106,0.0247168142009124,0.0127584041090951,0,0.797028433698682,0.659707504383502
GSM362985,0.82178919312519,0,0,0.172436340781498,0,0,0,0.00577446609331161,0,0.782664491798467,0.669429241017402
GSM362986,0.715510734971718,0.00583565047446505,0,0.252111270880255,0,0,0.0145923954237895,0.0119499482497722,0,0.824476921552377,0.647325679436077
GSM362987,0.808833638294424,0.000664025416540923,0,0.190502336289035,0,0,0,0,0,0.80958537991082,0.647980257610567
GSM362988,0.777806982279802,0,0,0.209204119847268,0,0,0.0129888978729303,0,0,0.788921245377808,0.668742343292148
GSM362989,0.857028293668803,0,0,0.136469460040721,0,0.00361849003985344,0.000775429580647478,0.00210832666997513,0,0.785388323217242,0.663591759307416
GSM362990,0.823815130278297,0,0,0.175304882563484,0,0,0,0.000879987158218492,0,0.779402759044141,0.671396613540922
GSM362991,0.745057816186304,0.0465925298428868,0,0.136249753167808,0,0.0299738748834299,0.0279395583845993,0.0141864675349721,0,0.724086145519419,0.725542465499156
GSM362992,0.828431085243494,0,0,0.143934585807696,0,0,0.0276343289488103,0,0,0.785839497884516,0.667665240397222
GSM362993,0.775116992125201,0,0,0.196351670408956,0,0,0.0281929729729361,0.000338364492907,0,0.843239209928937,0.6263676922271
GSM362994,0.812893813966869,0,0,0.187106186033131,0,0,0,0,0,0.774095924579133,0.676529119497546
GSM362995,0.807949182378675,0,0,0.170220793557944,0,0,0.00203854648651483,0.0197914775768662,0,0.836662825720909,0.627491641750614
GSM362996,0.812405214408174,0.0198705949427665,0,0.143079239761384,0,0.00388620119648083,0.00520643922451414,0.0155523104666803,0,0.80783893826598,0.652445252171509
GSM362997,0.839398970734741,0,0,0.14141350221604,0,0.00623213301852121,0.00714691881499455,0.00580847521570345,0,0.746504097063851,0.697413514286403
GSM362998,0.851933680404721,0.000309778125382728,0,0.117905513210507,0,0.0298510282593887,0,0,0,0.485830996365692,0.877501251101929
GSM362999,0.864598240279822,0.0210481241808495,0.00130945333139862,0.0896293378367626,0,0.0230609086591264,0,0.000353935712040521,0,0.412613716351141,0.922326677044154
GSM363000,0.818457988126441,0.0611186695386806,0,0.118217326339834,0,0,0,0.00220601599504438,0,0.692252253310472,0.740201382566962
