Mixture,Other,Hepatocytes,Proliferation,vSMC,Stellate cells,CAFs,Pericytes,P-value,Correlation,RMSE
GSM362947,0.317488040782277,0.564370212581643,0,0,0,0.0270419120432156,0.0910998345928641,0,0.807008925128461,0.722186411395839
GSM362948,0.398707698075854,0.444057928294196,0,0,0,0.100679857412324,0.0565545162176258,0,0.809020977503043,0.613261190076406
GSM362949,0.400777429588907,0.476645443575738,0,0.0135104665169829,0.0503703602572918,0.0181361053946645,0.0405601946664154,0,0.861144990510596,0.542013978475833
GSM362950,0.443174311872222,0.407487190190266,0,0,0.00680969026681716,0.077935236886786,0.0645935707839081,0,0.849685339877862,0.530997860307929
GSM362951,0.292157856278587,0.575178876297871,0,0,0.113484705285697,0,0.0191785621378445,0,0.821148934372041,0.711933211180442
GSM362952,0.288244014217531,0.638074288045605,0,0,0,0.0067282839259398,0.0669534138109246,0,0.841235791345878,0.758715653277733
GSM362953,0.208681265958833,0.68734460264509,0,0.000971627584925832,0.0790049778872673,0,0.0239975259238831,0,0.909545393628688,0.700770177770015
GSM362954,0.337521463694235,0.434388466190168,0,0,0,0.152922869356601,0.0751672007589958,0,0.791351311332585,0.635789019939892
GSM362955,0.260528108274108,0.650023406788441,0,0,0.0617281022144223,0.0117190512108569,0.016001331512172,0,0.917306092092404,0.624689978870586
GSM362956,0.214994603563276,0.408523167314702,0.233337027484763,0,0,0.104081748771702,0.0390634528655565,0,0.503240621796316,0.953494736191403
GSM362957,0.224391164830456,0.691118936466598,0,0,0.0598652178014729,0,0.024624680901473,0,0.929345261638149,0.66467444271009
GSM362958,0.31313079988325,0.633312109562398,0,0,0,0.0340857185486001,0.0194713720057519,0,0.825982742821283,0.78027371152313
GSM362959,0.383917209662783,0.486024783381622,0,0,0.00225239558016525,0.0818397548691411,0.045965856506288,0,0.739424854192228,0.748742603049582
GSM362960,0.267581592908105,0.612615227232769,0,0,0.0247320753476731,0.0574711178551722,0.0375999866562808,0,0.90144984184678,0.602713085237982
GSM362961,0.132054026874102,0.795630563784211,0,0.00392933562878591,0.051446150028201,0,0.0169399236847003,0,0.870117639545496,0.961146004903861
GSM362962,0.166845237531509,0.756634828937992,0,0.000422441481935658,0.0664282443334234,0,0.00966924771513993,0,0.803023102389597,1.00774657566825
GSM362963,0.149456335009351,0.771693037470645,0,0.00471825761034442,0.0639532411928709,0,0.0101791287167887,0,0.847559833454239,0.958983936135109
GSM362964,0.323477448461265,0.563565148943319,0,0,0.0427741406042212,0.0447734183684222,0.0254098436227727,0,0.856288600773028,0.633383000331404
GSM362965,0.272874836758913,0.554234426776895,0,0,0,0.165332592777115,0.00755814368707671,0,0.799828813234071,0.723326383612116
GSM362966,0.302934616678217,0.639412434137607,0,0.00718187131157415,0,0.0176183607050657,0.0328527171675361,0,0.80208859751779,0.829181786992312
GSM362967,0.170876526592279,0.779565837720979,0,0.00206265426783945,0.0326549479631042,0,0.0148400334557991,0,0.84529856273744,0.977036520101773
GSM362968,0.211584362691353,0.684819791009243,0,0.00643284387963955,0.0507131198851479,0.0464498825346164,0,0,0.792349785418252,0.910306470178621
GSM362969,0.171722434357071,0.754952793218232,0,0.00306656312600586,0.0529274159015063,0.00157362716483472,0.0157571662323503,0,0.853928470308322,0.919638857916375
GSM362970,0.227185202301825,0.6117487431798,0,0,0.0150409294722698,0.0862485344170031,0.0597765906291027,0,0.846742809886147,0.710396553923272
GSM362971,0.204775228986229,0.641621675183835,0,0.00240212795419325,0.139283066653187,0,0.0119179012225561,0,0.867469495677391,0.714822392059923
GSM362972,0.254989657754133,0.665442840494949,0,0.00177829571224417,0.0112465197521771,0.0295735789500609,0.0369691073364363,0,0.776123767063194,0.907457120287289
GSM362973,0.151165522780641,0.784257933708012,0,0.00555535870307507,0.0459570673784426,0,0.0130641174298289,0,0.797652028761368,1.06233147719914
GSM362974,0.271177520209269,0.657672486454949,0,0.00265175294505601,0.00927707321391593,0.0321053578183191,0.027115809358491,0,0.747307646034637,0.940886028951749
GSM362975,0.105079306267023,0.821036259150305,0,0.000419977580630168,0.0559824103467918,0,0.0174820466552502,0,0.892607305228388,0.966368129064888
GSM362976,0.354707004504316,0.530712638380055,0,0,0.0667602584748045,0,0.0478200986408243,0,0.81873232081698,0.666516774307723
GSM362977,0.151656150662669,0.814417330735301,0,0.00328127071809677,0.000171201737815608,0.00959425290240081,0.020879793243717,0,0.801322200413925,1.10858501135661
GSM362978,0.206718922962279,0.714248946594364,0,0,0.00212780219217684,0.0282271547070406,0.0486771735441395,0,0.826671883077539,0.898868564934196
GSM362979,0.219286695502626,0.677701419580718,0,0,0.092483634524702,0,0.0105282503919537,0,0.806188322989858,0.877654456519244
GSM362980,0.132060169342078,0.807996193460065,0,0.00264036781850244,0.038843105522768,0,0.0184601638565869,0,0.883943852645166,0.958805860983234
GSM362981,0.204886588376254,0.656339479528913,0,0,0.10560284702334,0,0.0331710850714931,0,0.923947419816554,0.618614902679359
GSM362982,0.378436527449556,0.509648223668798,0,0,0,0.0790520017802723,0.0328632471013733,0,0.780047825670016,0.709606997894255
GSM362983,0.325454908457066,0.644107403948848,0,0,0,0.00467229877239351,0.0257653888216927,0,0.614709273571003,1.10503109722197
GSM362984,0.334990404326241,0.592203164032174,0,0,0,0.0196086112519075,0.0531978203896777,0,0.769529753932778,0.81829876167797
GSM362985,0.226628250318724,0.660494997711393,0,0.00520115734862267,0.0997198491528021,0,0.00795574546845803,0,0.745933437477223,0.946943705807987
GSM362986,0.5238228837261,0.401360610888579,0.00423283010433362,0,0,0.0634756004939814,0.0071080747870066,0,0.827999619729792,0.566158376756614
GSM362987,0.533567851982952,0.388783008691221,0,0,0,0.0143109276173346,0.063338211708493,0,0.014466232899724,1.3235750911111
GSM362988,0.368216658882659,0.575507011071609,0,0,0,0.0218122341189324,0.0344640959267987,0,0.834170703942298,0.690211512274654
GSM362989,0.215216192615145,0.643672314582142,0,0.0109249573011004,0.10693646226128,0,0.0232500732403327,0,0.757112111035156,0.905214494323186
GSM362990,0.188889850733706,0.70913924411623,0,4.86249119064519e-06,0.0864085642546924,0,0.0155574784041812,0,0.857328945653585,0.837739695076514
GSM362991,0.419618863885426,0.386527676922545,0,0,0.175850529597994,0.0143276519969755,0.00367527759705862,0,0.566295901919039,0.880505460434238
GSM362992,0.277429822722814,0.646892782297341,0,0,0,0.019763324708629,0.0559140702712154,0,0.822576806598396,0.804176856530035
GSM362993,0.31195998438385,0.51673040668319,0,0,0,0.0660854268420817,0.105224182090878,0,0.822716157328982,0.644355597032861
GSM362994,0.294631254262799,0.632580442440221,0,0,0,0.028768339369767,0.0440199639272131,0,0.802371568432802,0.818513672113378
GSM362995,0.257791459014876,0.591075768848654,0,0.00221464517428946,0.134001835300702,0,0.0149162916614787,0,0.786291475083688,0.789906259409204
GSM362996,0.313687004706167,0.563289869590292,0,0,0.108634536989793,0,0.0143885887137485,0,0.791668125504691,0.748002416205652
GSM362997,0.215193868262816,0.701417785323185,0,0,0.0665490583059799,0,0.0168392881080189,0,0.829485617202587,0.874910284409536
GSM362998,0.0607186987215015,0.906299963450917,0,0.00135856725069781,0.0169119509758409,0,0.014710819601043,0,0.932001068961898,1.05592148439776
GSM362999,0.0201711425502239,0.953578102111206,0.00532213144932029,0.000588320131350003,0.0118078057175387,0.000105677778825549,0.00842682026153555,0,0.954636887255983,1.10762808074289
GSM363000,0.251754379117574,0.675896593156643,0,0,0.0675147790024918,0,0.00483424872329064,0,0.8568810118767,0.787371969461281
GSM363001,0.118774006226573,0.843814761066253,0,0.00398141951281118,0.025188224911049,0,0.00824158828331439,0,0.881070962936225,1.02943410500279
GSM363002,0.363134919930797,0.435163310858977,0,0.00569118011113431,0.181832236429834,0,0.014178352669257,0,0.741125200332314,0.709014665357712
GSM363003,0.10411046431173,0.848287249844439,0,0.000842102722584903,0.0358169904369206,0,0.0109431926843251,0,0.870713161374724,1.0550556669574
GSM363004,0.246442843066906,0.657377429844845,0,0.00376973455328524,0.0840913917304031,0,0.00831860080456037,0,0.866275587778523,0.740993544883115
GSM363005,0.189009378822662,0.74477508878983,0,0.00363017742571986,0.0495313966501257,0,0.0130539583116624,0,0.882355019763194,0.851378450154289
GSM363006,0.172523058900459,0.752617172035596,0,0.00286191482637103,0.0665320712963665,0,0.00546578294120779,0,0.863657983358132,0.898778069264539
GSM363007,0.244035004324133,0.550222150774331,0,0.0162614424397992,0.163251839894257,0,0.0262295625674797,0,0.887382854365771,0.554657366012776
GSM363008,0.231921120259834,0.538365863620338,0,0.0107918865774433,0.121036407212606,0.097884722329778,0,0,0.922072422475958,0.461549618705641
GSM363009,0.203460590185461,0.569242470021409,0.0568855206142825,0,0.0390765453910816,0.0900833913073146,0.0412514824804514,0,0.954723473856261,0.406081604900345
GSM363010,0.242375090258297,0.635931716063701,0.012012046869114,0.00798604321755831,0.0215071144999973,0.0706975926626971,0.00949039642863526,0,0.243834947644666,1.48386236318891
GSM363011,0.407498394806276,0.471291038722479,0,0,0,0.0943763252753051,0.0268342411959395,0,0.878356462621005,0.504299399278877
GSM363012,0.184552965075842,0.746222536559018,0,0.00203079280827619,0.0156695011952405,0.0117974920405509,0.0397267123210722,0,0.86570283612291,0.88344901442596
GSM363013,0.387059172122461,0.45054108454578,0.00795820241559436,0,0.0248401498636505,0.0792284291488887,0.0503729619036255,0,0.769482647559839,0.67781920630958
GSM363014,0.28917879276167,0.60306615961065,0,0,0,0.00988549694158905,0.0978695506860905,0,0.834856076239137,0.721269828775475
GSM363015,0.287255618872983,0.554342678383249,0,0,0.0325832526329196,0.0761055027838238,0.0497129473270246,0,0.876249946922416,0.582036730866355
GSM363016,0.348892765182166,0.601805484004917,0,0,0.003695019665561,0.000346144157637271,0.0452605869897187,0,0.790820611142266,0.797646109503533
GSM363017,0.286914668624568,0.486268032507515,0.0106129237631143,0,0,0.215834522584532,0.00036985252027069,0,0.825238876209435,0.615604143714753
GSM363018,0.244726647591774,0.621419053022993,0,0.00600350125662008,0.109158201482222,0,0.0186925966463913,0,0.847146177822001,0.724421394994522
GSM363019,0.0695680033834265,0.877141962419534,0,0.00282445992979905,0.0370206832274904,0,0.0134448910397499,0,0.932048215821398,0.999167902183117
GSM363020,0.145850598884729,0.802021260399937,0,0.000401008665516176,0.0441316681038336,0,0.007595463945984,0,0.863825635004657,0.984258734352767
GSM363021,0.0875138980783439,0.828834513265886,0,0.000205832304538133,0.0680454037259599,0,0.0154003526252725,0,0.89411921948831,0.97765009297383
GSM363022,0.128705286186798,0.81575530648188,0,0.000500699793190814,0.0396334537729026,0,0.0154052537652295,0,0.899072778022369,0.945589756917377
GSM363023,0.0810941630616121,0.87299745275475,0,0.00332724595953273,0.0248370592093624,0,0.0177440790147424,0,0.942026138724208,0.972539185001015
GSM363024,0.217974350964138,0.667803800386757,0,0,0.101443134464528,0,0.0127787141845761,0,0.855210568909725,0.777072176644352
GSM363025,0.127238284705431,0.798646268410475,0,0,0.0578748208185001,0,0.0162406260655931,0,0.874778731653504,0.958276574931188
GSM363026,0.195997893832266,0.718449346761113,0,0.0021870921606885,0.0684117239615656,0,0.0149539432843669,0,0.867602348398218,0.834347842754406
GSM363027,0.268329214106235,0.636388687382841,0,0.00240725930546806,0.0842651515643217,0,0.0086096876411337,0,0.844382658372132,0.751317749518487
GSM363028,0.262108602020369,0.578976100036573,0,0,0.14137965903184,0,0.017535638911218,0,0.86651694674631,0.63214960672689
GSM363029,0.344880200466633,0.444440124232932,0,0,0.0933919854651323,0.117287689835303,0,0,0.830212204995776,0.579294545948741
GSM363030,0.341574158313931,0.559556484761016,0,0.00164627678919326,0,0.0509606142522346,0.0462624658836249,0,0.839873594660263,0.6595014267042
GSM363031,0.237391952350611,0.685150485364037,0.0146568246235695,0,0.00709156019463799,0.0202035346715092,0.0355056427956361,0,0.883518171343717,0.750026951712723
GSM363032,0.398737803963331,0.573821311175067,0,0,0.00475827385435831,0.00740942872807255,0.0152731822791715,0,0.884678165982934,0.591420727678056
GSM363033,0.292650315206387,0.591658450326998,0.0418641993277653,0,0.0179653497890941,0.00792055945240795,0.047941125897347,0,0.881728188205521,0.61681951233604
GSM363034,0.134347975977263,0.801088869016255,0,0,0.0135062087543448,0.0104306569654485,0.0406262892866881,0,0.874432224951021,0.962666163480465
GSM363035,0.125391788565042,0.821999846412204,0,0.00118102710185291,0.0199335702630204,0.0125265375211745,0.0189672301367066,0,0.909638720011481,0.937176338709093
GSM363036,0.145885808270061,0.808806672368447,0,0,0,0.0120050712028737,0.0333024481586179,0,0.787443480202723,1.11980244727607
GSM363037,0.247864931485547,0.706827099158923,0,0,0,0.0275274747683647,0.0177804945871654,0,0.866730176938685,0.817816922205323
GSM363038,0.175834872291939,0.718637101188546,0,0,0.00419996349662437,0,0.101328063022891,0,0.862237329457742,0.84227307228942
GSM363039,0.236603012290512,0.704443168518221,0,0.00162353991037931,0,0.0199730214866425,0.0373572577942461,0,0.792737895323291,0.940382796706617
GSM363040,0.0497697535439767,0.913689984397312,0.0048459442029023,0.00278233507710113,0.0176100909716451,0,0.0113018918070628,0,0.956673726920985,1.02456001510297
GSM363041,0.247596242131011,0.221697502640934,0,0.0975064214828682,0.0895297553738234,0.343670078371363,0,0,0.00734871919906364,1.17726027011462
GSM363042,0.113211696669368,0.831967256152432,0,0.00515214885395411,0.0372099992730185,0,0.0124588990512275,0,0.885758028020724,0.998985751042409
GSM363043,0.257936364588804,0.544119038363356,0,0.00409630055894174,0.181109098116431,0,0.012739198372467,0,0.85264645553237,0.619176098819101
GSM363044,0.111965468181959,0.814908685038416,0,0.00366729937751732,0.0576663397473388,0,0.0117922076547681,0,0.911329065812794,0.920825084647696
GSM363045,0.317966412338314,0.604900652896857,0,0.0145722645517312,0.00929441667220715,0.0438229863959508,0.00944326714493988,0,0.982104114335067,0.375943014924176
GSM363046,0.100847109900238,0.847667259611669,0,0.00505824524579321,0.0340912323804208,0,0.0123361528618783,0,0.934202574910659,0.939012493603153
GSM363047,0.0785587969956803,0.888915661568652,0,0.00302989622152447,0.0167078948094818,0,0.0127877504046616,0,0.907261441390982,1.06714801691215
GSM363048,0.358365051712168,0.5616962377088,0,0,0,0.0317796170743412,0.0481590935046906,0,0.84789923610187,0.647628341218777
GSM363049,0.270668342539318,0.670863671141065,0,0,0.0160766048684853,0.00869362039725073,0.0336977610538808,0,0.866552014890985,0.761207822020934
GSM363050,0.273060030173654,0.549391097101073,0,0,0,0.129405027509849,0.0481438452154236,0,0.85985013499929,0.609457030098039
GSM363051,0.267594151963663,0.669329115277227,0,0.00309663301314662,0.00275318005918299,0.0308714777681156,0.0263554419186646,0,0.806270480251501,0.865104581948166
GSM363052,0.40409504255105,0.457580477135387,0.0694334429701857,0,0,0.0560045402550168,0.01288649708836,0,0.904775402905258,0.439310021613211
GSM363053,0.182968446016359,0.711691729751331,0,0,0.0246157850959581,0.00769227314813243,0.0730317659882201,0,0.886322161452578,0.786129283996325
GSM363054,0.401576939953488,0.0279192359155921,0,0.246617312796252,0.0807425053083534,0,0.243144006026314,0,-0.00677561823368085,1.06904907539142
GSM363055,0.363741023280094,0.248940169589668,0,0.0531473623049886,0.116004448106537,0.145930937893121,0.0722360588255912,0,0.391099189545836,0.950926726060849
GSM363056,0.266124290521264,0.661574964112816,0,0,0,0.0533424728049616,0.0189582725609584,0,0.903512410517383,0.672393269709353
GSM363057,0.359922230196308,0.566253857764804,0,0,0,0,0.0738239120388887,0,0.426860726194789,1.20864611901617
GSM363058,0.0654318872338696,0.887049987968941,0,0.00443930596669155,0.0367987437687124,0,0.00628007506178562,0,0.960678059604955,0.964177253124622
GSM363059,0.262274075536229,0.610333007203586,0,0,0.115608862541862,0,0.0117840547183233,0,0.849262029368652,0.7059480274303
GSM363060,0.0693436705273283,0.890759272675455,0,0.00292821742013693,0.02704979512731,0,0.00991904424976956,0,0.92086781981704,1.04616788929442
GSM363061,0.11755109996724,0.808594291039187,0,0.00300968374301405,0.0625712961228191,0,0.00827362912773976,0,0.895037323824904,0.939682585431699
GSM363062,0.174709846733576,0.765021336779006,0,0.00016299620614547,0.0539359344373485,0,0.00616988584392383,0,0.870653388117621,0.90778471884111
GSM363063,0.0453700866024357,0.90716015962895,0.0054650033041895,0.00334352128587973,0.0241929042497465,0,0.0144683249287989,0,0.978130032209002,0.969606835650172
GSM363064,0.108206782776734,0.843099392214587,0,0,0.033872241981224,0,0.0148215830274545,0,0.87770721547544,1.03349463599344
