Mixture,CD8+ Cells,Tregs,Non-immune cluster,Nk Cells,CD4+ Cells,B Cells,Myeloid,Mast Cells,P-value,Correlation,RMSE
GSM362947,0.0734777973158814,0.0541090603812575,0.775935008243049,0,0,0.0520626195665385,0.0444155144932734,0,0,0.881802113772122,0.483457015226041
GSM362948,0.0508225715739768,0.0506495062727254,0.72931187898912,0,0,0.0688920454414872,0.100323997722691,0,0,0.882502224129074,0.477182556431917
GSM362949,0.0782505271163138,0.0503372829335833,0.75925942124978,0,0,0.039443043241337,0.0727097254589861,0,0,0.919088586287646,0.402111026676717
GSM362950,0.0342273736979838,0.0728559425557995,0.749129569123837,0,0,0.0485258485382171,0.0952612660841624,0,0,0.897630060473621,0.448814210416412
GSM362951,0.0509953169696043,0.0502509126860165,0.813694935597351,0,0,0.0365818532989436,0.0484769814480846,0,0,0.932504617318544,0.376954980196322
GSM362952,0.0738055674112019,0.0543224041267408,0.834424853582855,0,0,0.0235197738296714,0.0139274010495305,0,0,0.92937942961936,0.390062564421036
GSM362953,0.0808879991902884,0.0309726344722027,0.837455129991483,0,8.65637509367107e-05,0.0163046749024951,0.0342929976925942,0,0,0.9161954186996,0.42466171362619
GSM362954,0.0663152124296088,0.0480474050049127,0.755344503689851,0,0,0.0199306331726009,0.110362245703027,0,0,0.445431156525662,1.02126214662225
GSM362955,0.0741356119054939,0.0305069940113331,0.823168095915583,0,0.0152040614481467,0.020081235085725,0.0369040016337183,0,0,0.920117033937792,0.410406476911886
GSM362956,0.0612390275593068,0.0848445868837974,0.719708587252309,0,0,0.101331628766804,0.0328761695377827,0,0,0.201466198628252,1.19639049321788
GSM362957,0.0787108582864319,0.033474701309609,0.80133218051171,0,0.000934222346181672,0.0212327854483225,0.0626405312118468,0.00167472088589818,0,0.889170759693109,0.474566507375647
GSM362958,0.0651586778991987,0.0299403996349612,0.799833236279643,0,0,0.0588194521394614,0.0459593138145184,0.00028892023221736,0,0.673203295439833,0.805771006284848
GSM362959,0.0738803359301148,0.0488396054070781,0.74085534307233,0,0,0.047292689797124,0.0863946431983598,0.00273738259499365,0,0.610636729716039,0.850433130103851
GSM362960,0.0687143977851472,0.0269595022588717,0.829051640906986,0,0.00137362511238105,0.0292636599929401,0.0417951719559325,0.00284200198774153,0,0.884061526266517,0.493646901698037
GSM362961,0.0823857762008204,0.0262716518307501,0.836201653003925,0,0.00249145688453853,0.0162076661888004,0.0331600597513671,0.00328173613979868,0,0.86181932496229,0.539938641611042
GSM362962,0.0605233248828032,0.0218331221986504,0.851320054525681,0,0,0.0238099716684906,0.0423635103712305,0.000150016353143893,0,0.895255113886394,0.478714121121101
GSM362963,0.0649460431730953,0.0161253034744044,0.858700745194736,0,0.00632520273907735,0.0194034834669215,0.0324858493907526,0.00201337256101303,0,0.88254872336524,0.508611352449867
GSM362964,0.0750755356500691,0.032533613477777,0.783955138792761,0,0.0109131090637314,0.0322704036017991,0.0631919248025416,0.00206027461132042,0,0.915940965908439,0.411982224532264
GSM362965,0.0566271463634393,0.0271405365804205,0.772482249521493,0,0,0.0338689265399004,0.109341945454359,0.000539195540388069,0,0.890954265119682,0.465693806144646
GSM362966,0.0679077539683509,0.0402895352740993,0.800067439825739,0,0,0.0536295599229379,0.0349681695622019,0.00313754144667048,0,0.926072449077454,0.390290688323493
GSM362967,0.0749609853325093,0.0279786544344302,0.839830101203828,0,0,0.0157709979469456,0.0355216627182901,0.00593759836399696,0,0.863854457584501,0.537633471065224
