Mixture,Other,Non-inflammatory_Macrophage,alpha-beta_T_Cells,Inflammatory_Macrophage,NK-like_Cells,gamma-delta_T_Cells,Mature_B_Cells,Plasma_Cells,P-value,Correlation,RMSE
TCGA-FV-A495-01,0.516483788790359,0.0414910416962502,0.0655988446797351,0.109361301173792,0.0449375183510304,0.119505494079423,0.020518199853096,0.0821038113763144,0,0.850467761244342,0.563478145480789
TCGA-G3-A3CH-11,0.728694051151277,0.0275758609451764,0.0400003310115488,0.0284366916692232,0.0563940585086917,0.0632448559549446,0.0556541507591385,0,0,0.902563938321498,0.455652967721824
TCGA-CC-A3MB-01,0.436028153895388,0.0370246449230909,0.109932547967948,0.07912133341689,0.103977295493074,0.0864391173426942,0.0232139889631436,0.124262917997772,0,0.758717930987329,0.679785208857043
TCGA-BC-A3KF-01,0.550941292432078,0.0815408973506415,0.0371016717570655,0.0527905542176395,0.111224245453836,0.0933774560350983,0.0194202540175526,0.0536036287360878,0,0.79868457612318,0.615267687504388
TCGA-DD-A4NV-01,0.627983862128728,0.00932989984880184,0.153352401993937,0.0186800978844338,0.0559772967213025,0.0347287203010852,0.0349512408613546,0.0649964802603568,0,0.730421054221726,0.691169616107586
TCGA-CC-A1HT-01,0.0294448241830966,0.0412154012581057,0.135511689519182,0.330348666381079,0.0525727651157674,0.188892719580699,0.0878426343380446,0.134171299624026,0,0.749928063755678,0.713609410016169
TCGA-BD-A3EP-01,0.396668534087871,0.0706646804699522,0.115707287925307,0.160562075896671,0.0710160461660711,0.0660175600058794,0.0425566941920652,0.0768071212561835,0,0.878135306479176,0.545633589485111
TCGA-FV-A3R2-11,0.711829200225619,0.0366858830217676,0.0338595280193492,0.0371180555744752,0.0818982949666906,0.0589608028249547,0.0396482353671434,0,0,0.873413362415395,0.50641773557315
TCGA-CC-A3MA-01,0.0783274790661896,0.00857171524615074,0.108019001667445,0.196758231182072,0.0933834583642955,0.228477469166877,0.118889934163681,0.167572711143289,0,0.483957438394656,0.886794366341411
TCGA-ZP-A9CV-01,0.590543324912396,0.0432256884171306,0.134889386003745,0.0754556881928682,0.0443890874010068,0.0219572974813415,0.0391859379558941,0.0503535896356175,0,0.804556064603108,0.607856989696797
TCGA-DD-AACY-01,0.573215120183112,0.0288318012202112,0.0862509352531286,0.0697526750343959,0.0961388528234145,0.0263751321785998,0.010705853319892,0.108729629987245,0,0.774996521680618,0.644561314927486
TCGA-XR-A8TG-01,0.554129531280352,0.00885047913028454,0.169829705549635,0.0245926426073823,0.0487122673589473,0.0909920750842773,0.0424220425008563,0.0604712564882655,0,0.714668513662236,0.708346997335858
