Mixture,Other,Non-inflammatory_Macrophage,alpha-beta_T_Cells,Inflammatory_Macrophage,NK-like_Cells,gamma-delta_T_Cells,Mature_B_Cells,Plasma_Cells,P-value,Correlation,RMSE
TCGA-FV-A495-01,0.502944008757279,0.0399212867548252,0.0726091116475019,0.118753320737768,0.0436023877659596,0.114556483632356,0.0240158320136894,0.0835975686906209,0,0.850307859549639,0.566431591102634
TCGA-G3-A3CH-11,0.702252982181927,0.0348313935119795,0.05696455255888,0.0255820626841447,0.0289853140530675,0.0721499005180535,0.0792337944919477,0,0,0.905146071099936,0.452388034629555
TCGA-CC-A3MB-01,0.422038413227434,0.0377103960744365,0.104666184630045,0.0883012114034835,0.116197452472982,0.0876008299869368,0.0166440586326178,0.126841453572064,0,0.757387352122474,0.683086070393949
TCGA-BC-A3KF-01,0.533256016247912,0.0810648522842706,0.0395721874342803,0.0604906847839134,0.118433419629728,0.0863772345604372,0.0226545941255905,0.0581510109338678,0,0.798699039652423,0.616648998116348
TCGA-DD-A4NV-01,0.607373191728998,0.0127169993629564,0.150426326334824,0.0253888663143355,0.100699598244216,0,0.0293979749453204,0.0739970430693502,0,0.730497476608225,0.691187994465473
TCGA-CC-A1HT-01,0.0237527081400883,0.041535861614946,0.130551615930138,0.341192167361558,0.0590609719197262,0.1857798050049,0.0864722352108389,0.131654634817804,0,0.74464338532471,0.717796267448895
TCGA-BD-A3EP-01,0.378857878651989,0.0712684983607146,0.113728321317269,0.166748922208289,0.0751913247831742,0.0627650307108882,0.0505426067875793,0.0808974171800971,0,0.877412571162402,0.551734353652953
TCGA-FV-A3R2-11,0.69158936821703,0.0387273846623262,0.0361558895665585,0.0418169190011997,0.0661680490954637,0.061653182411407,0.0638892070460153,0,0,0.875126408315602,0.504169994774787
TCGA-CC-A3MA-01,0.0756897736742393,0.0447885077050118,0.113386625476796,0.161949109319158,0.170746509564892,0.163882069591171,0.110953750915857,0.158603653752875,0,0.469150903301311,0.889638919168203
TCGA-ZP-A9CV-01,0.561610236933611,0.0470448244559187,0.127987203255492,0.0818520341515241,0.0565650451813251,0.0223766762840413,0.0459376564769442,0.0566263232611438,0,0.803346581264826,0.611233986774214
TCGA-DD-AACY-01,0.562639543748697,0.0271695983535952,0.0931592231459932,0.0771165862007022,0.0957590861472332,0.026214630593509,0.00520709474605878,0.112734237064211,0,0.775109211138036,0.645222270035658
TCGA-XR-A8TG-01,0.539409282262055,0.0134930692786184,0.14414347057011,0.0315846667144785,0.0809620018659602,0.0902460387368877,0.0392573917380024,0.0609040788338871,0,0.712676569617177,0.710711334429686
TCGA-CC-A9FW-01,0.335315022557978,0.141836683482463,0.0850126719664536,0.0453278658581004,0.165309412948758,0.0439009690219273,0.0315827550139825,0.151714619150337,0,0.660830205031748,0.754016519426765
TCGA-BC-A10Y-01,0.558265061056703,0.0134415174373886,0.0975757830287605,0.0446587065919983,0.0417771173378718,0.104745429967286,0.0663171235905324,0.0732192609894597,0,0.800931280960444,0.621215962652733
TCGA-KR-A7K7-01,0.320372205216101,0.0574583383823362,0.131722344798853,0.125737090750883,0.0939745183214067,0.0411658317344115,0.0380647683281804,0.191504902467828,0,0.802416931145906,0.656579454112997
TCGA-ED-A459-01,0.340031037030313,0.0932650827690881,0.143641248974077,0.130862435728288,0.0631341200449286,0.0546082253407593,0.0477587721329046,0.126699077979641,0,0.776160990690033,0.657887461656835
TCGA-PD-A5DF-01,0.415443476795527,0.0326675688712429,0.131716327039094,0.173664983570127,0.0501094492296037,0.0669201664744929,0.0104346700132617,0.119043358006651,0,0.781134045245006,0.653933417094979
TCGA-ED-A5KG-01,0.0972464101678599,0.0545808321666683,0.232016181426297,0.135847199558998,0.0739125716170094,0.160194176335458,0.161250445213112,0.0849521835145979,0,0.602662235412609,0.834438760941213
TCGA-DD-AAVX-01,0.452363276100651,0.107551468430829,0.175523949282582,0.0517440085418946,0.0822419965919407,0.0192492330957335,0.0851837518655639,0.026142316090805,0,0.810597583711259,0.610081800322321
TCGA-ED-A7PY-01,0.499063606386797,0.0579999329250508,0.243714345683399,0.0342077089530153,0.121054602322243,0.0211984195908775,0,0.0227613841386166,0,0.601394333181593,0.803148638438428
TCGA-RC-A7SF-01,0.587238608397466,0.0542172104899616,0.0836050740468341,0.0494903627250526,0.0756290295544618,0.091762234766884,0.00814771484165806,0.0499097651776818,0,0.779594114228095,0.637718927841878
TCGA-DD-AAW0-01,0.567898238943026,0.0881641136692301,0.0843322331814006,0.0728339015339543,0.0536468752433618,0.0501513923995767,0.053846381343498,0.0291268636859524,0,0.822781979328407,0.582283939917734
TCGA-ED-A66X-01,0.269918430668177,0.0917250539593786,0.0595190402831254,0.194004947257485,0.117118420120474,0.101891296151921,0.0328627309840175,0.132960080575421,0,0.52486018256392,0.854083661493685
TCGA-DD-AAC8-01,0.25298897724582,0.137599388780602,0.165029167768267,0.141542727031863,0.174539309828073,0.0196159563529692,0,0.108684472992406,0,0.678369798833138,0.7389086043223
