Mixture,LVECt,Other,LSEC,Hepatocytes,LVEC,Carcinoma,P-value,Correlation,RMSE
TCGA-FV-A495-01,0.0292614639969629,0.321347624890347,0.0485553299712643,0.223133815551474,0.115909615082133,0.261792150507819,0,0.856237201778074,0.598102834112584
TCGA-G3-A3CH-11,0,0.242231301461968,0.110264952143713,0.363059543797433,0.107582496688999,0.176861705907886,0,0.923376784748536,0.39350070659331
TCGA-CC-A3MB-01,0.0885649950041695,0.155908970411794,0.0689216868498932,0.0860314664077206,0.0739775188650832,0.52659536246134,0,0.762892145196252,0.828435039452348
TCGA-BC-A3KF-01,0,0.400355212168226,0.0771366420339996,0.13273525833051,0.0925832470646209,0.297189640402643,0,0.802158629365576,0.743401045399179
TCGA-DD-A4NV-01,0,0.184242005122126,0.0589403036400904,0.261421084494063,0.250688549375642,0.244708057368079,0,0.817326290626759,0.604756859938644
TCGA-CC-A1HT-01,0.044137332480107,0.44531285509823,0.00679791922422578,0.00106098096897298,0.185630640352247,0.317060271876218,0,0.699909122289556,0.897641273236486
TCGA-BD-A3EP-01,0.037617307503186,0.427775901030844,0.0464459835562405,0.0960959889002868,0.119377463039145,0.272687355970298,0,0.753842730881184,0.807542440374299
TCGA-FV-A3R2-11,0,0.219107621753553,0.0737986964771747,0.354507690930139,0.143094256354687,0.209491734484447,0,0.895288190279264,0.452587325877938
TCGA-CC-A3MA-01,0.153902004435393,0.196790502365967,0,0.0167173758567164,0.179724200077288,0.452865917264636,0,0.513587986203401,0.942437497739569
TCGA-ZP-A9CV-01,0.024356520282056,0.194837390787286,0.0775670037296012,0.156612027143499,0.128386411684232,0.418240646373326,0,0.785011436955615,0.729687579118358
TCGA-DD-AACY-01,0.041282730243226,0.206792659408528,0.0590661378284312,0.233122728028624,0.11101241457498,0.348723329916211,0,0.764714856969208,0.672130145721165
TCGA-XR-A8TG-01,0,0.115558500158284,0.0539860055414145,0.152046691642362,0.200907714282184,0.477501088375755,0,0.622488926728577,0.817528619908752
