Mixture,Other,Kupffer cells,TM1,SAMs,T cells,cDC2,cDC1,B cells,P-value,Correlation,RMSE
TCGA-FV-A495-01,0.766987693352353,0.0235468821333706,0.00674789514985381,0.148337218926115,0.00578847411539513,0.0197140101683894,0.0177478239159745,0.0111300022385487,0,0.863319514436729,0.512318327546812
TCGA-G3-A3CH-11,0.865737400097863,0.0332861324579614,0.00833065018239134,0.0329001793492323,0.00380766115589617,0.0520069123730637,0.00393106438359241,0,0,0.917988430620246,0.40808043601505
TCGA-CC-A3MB-01,0.719060507369527,0.00989527009235886,0.0130955144410441,0.100180752863274,0.0125557160232432,0.0821322996091376,0.0254234247732279,0.0376565148281873,0,0.824933626804463,0.57477964994445
TCGA-BC-A3KF-01,0.617539519715763,0.103642315948158,0.0158468797341218,0.0611566858501231,0.00726235304232056,0.13302421727768,0.0251635003537559,0.0363645280780776,0,0.776250329204712,0.635085349614527
TCGA-DD-A4NV-01,0.75274573132204,0,0.0171300252457422,0.101313052751716,0,0.0733940313535263,0.016743619296913,0.0386735400300623,0,0.788129174803397,0.61851024744301
TCGA-CC-A1HT-01,0.419073602796251,0.0941993961997021,0.0789424952979402,0.149733788917089,0.0343053619640372,0.162842255171565,0.00859148285565591,0.0523116167977598,0,0.71880388054211,0.698507104205613
TCGA-BD-A3EP-01,0.609699499659769,0.167945048805568,0.0342339439333629,0.101200596376337,0.00314111968158608,0.039686542702509,0.0190953035538111,0.0249979452870565,0,0.781026700695663,0.626739916419641
TCGA-FV-A3R2-11,0.853978608184667,0.019633525253189,0.0246736277560677,0.0416393299838409,0.00366171620979596,0.0564131926124396,0,0,0,0.921472871169087,0.402850007212607
TCGA-CC-A3MA-01,0.541760003211585,0,0.010811227133447,0.123340584692926,0.0740322336544188,0.145235397529662,0.0464147566827674,0.0584057970951939,0,0.491398644198452,0.877125665604526
TCGA-ZP-A9CV-01,0.732846705880349,0.0240721051665919,0.0397976834208152,0.106636814510844,0.00888369990945974,0.0316414749642429,0.0244092873781612,0.0317122287695367,0,0.865534192763037,0.515196444301532
TCGA-DD-AACY-01,0.804948493441816,0,0.00675715203957028,0.125514644475194,0.00562569853183202,0.028929634445653,0,0.0282243770659344,0,0.855888626690545,0.523058317109719
TCGA-XR-A8TG-01,0.737030586013535,0,0.0413129267001619,0.119360859682611,0.00874403085015485,0.0508428395114604,0.00709553934150529,0.0356132179005713,0,0.698801654218944,0.719148006927394
TCGA-CC-A9FW-01,0.647679554780923,0.0627736067447671,0.0239534555151911,0.12291016036109,0.0219705040719522,0.0644211731270135,0.0189604818560431,0.0373310635430203,0,0.84440462511374,0.550443736095245
TCGA-BC-A10Y-01,0.781623965523265,0.0345267562226282,0.0263740385690003,0.00765781643634852,0.0136869104544327,0.102808579005131,0.0102979726631844,0.0230239611260095,0,0.750166067714887,0.663404581542426
TCGA-KR-A7K7-01,0.563722843405868,0.206144042614067,0.055592490648717,0.096265957038134,0.0105313458630959,0,0.0452180372461022,0.0225252831840151,0,0.904583489845045,0.437515084821745
TCGA-ED-A459-01,0.623006257919989,0.0513288621285401,0.0261923507476018,0.112336981550235,0.00853609996240649,0.115888003773267,0.0279575255456596,0.0347539183723008,0,0.827879121707241,0.577521038999763
TCGA-PD-A5DF-01,0.665594386087982,0,0.0225592249595834,0.160413811897496,0.00387194216290768,0.0929439692240056,0.0123779360577388,0.0422387296102861,0,0.832621808448521,0.568622584934599
TCGA-ED-A5KG-01,0.538734602405502,0,0.00529729965816841,0.133930385192016,0.0478050482705261,0.183191542588709,0.0204756568692201,0.0705654650158589,0,0.685759486001953,0.733232512122521
TCGA-DD-AAVX-01,0.606894927257744,0.0374708669008777,0.0648324567905878,0.157213366880378,0.0187538981031451,0.0807158675097431,0.0283672065381175,0.00575141001940712,0,0.769922329164659,0.642751231262431
TCGA-ED-A7PY-01,0.687579192593318,0,0.0199714357893097,0.207249004810369,0.0125750151947047,0.0245645112267711,0.0269695993492701,0.0210912410362575,0,0.7013615560942,0.716086267897341
TCGA-RC-A7SF-01,0.734424468485178,0,0.0220208399165073,0.210018312393947,0.0112150862023127,0.016116424518263,0,0.00620486848379174,0,0.876965962202147,0.492158337800278
TCGA-DD-AAW0-01,0.721911819166177,0.00819424460941199,0.0529174489320163,0.184600483394307,0.00665298083109771,0,0.00767510959003545,0.018047913476955,0,0.811793675614054,0.587715577347791
TCGA-ED-A66X-01,0.578764526913694,0.0922213858897235,0.0139473889227078,0.13183270578951,0.0121734647435893,0.109708774515566,0.0259104352352515,0.0354413179899577,0,0.681514684370775,0.733439936925271
TCGA-DD-AAC8-01,0.544407286353869,0.161262524665841,0.0676849596342802,0.118458318971052,0.0198424190687721,0.0246839877435181,0.0306757718435273,0.0329847317191405,0,0.750137500046441,0.663063355668665
TCGA-FV-A3I1-01,0.616476277840137,0.0599635469633024,0.0447114589902416,0.15597796189309,0.0094287923237224,0.0428446405977638,0.0289003543510406,0.0416969670407014,0,0.922138978709808,0.436666226796443
TCGA-RC-A7S9-01,0.738946676067657,0,0.00163611825784293,0.0992208224194396,0.00163597327255757,0.0617652178762939,0.0298051413637962,0.0669900507424125,0,0.784855486882013,0.623383578658748
TCGA-ZP-A9D2-01,0.528210683264417,0,0,0.320824486733484,0.00308221713500962,0.0143425478215643,0.0161828944197684,0.117357170625757,0,0.701185586434091,0.714463585474176
TCGA-G3-A5SL-01,0.718443894551415,0,0.0318915792011673,0.123596056369892,0.00575691782858055,0.0963838305468514,0.00695105778803402,0.0169766637140594,0,0.831387531286163,0.565223620123597
TCGA-DD-A3A2-11,0.883281407405973,0.003378485098217,0.00150590798739176,0.0612284063703682,0.000136437101194573,0.0504693560368552,0,0,0,0.922406808150121,0.397153428135896
TCGA-CC-A3M9-01,0,0.107186857304749,0.121952787599176,0.220407259205718,0.126132775964692,0.270502701203503,0.0532760704531247,0.100541548269037,0,0.453628311514853,0.911903753030859
TCGA-BC-A216-01,0.779790666654176,0,0.019618808148944,0.100919680781838,0.0107250310661676,0.0549194549105687,0.0124700571426277,0.0215563012956776,0,0.894105091594514,0.465883501026293
TCGA-ED-A7XP-01,0.517663712874636,0.130676497660428,0.0721682264852538,0.165376641383924,0.00784767248822847,0.0153542595200392,0.0359754929454805,0.0549374966420106,0,0.795921364139669,0.608256772200465
TCGA-BC-A10T-11,0.866057325247114,0,0.0214911065929327,0.0490607245909837,0.0039554002408558,0.059435443328114,0,0,0,0.885031862628073,0.471760720779982
TCGA-DD-A11A-01,0.714552983907116,0.0180844289662214,0.0119016943111107,0.168438578295044,0.00939058307669913,0.0430033497610012,0.0119776831878894,0.0226506984949183,0,0.836441781570721,0.555485923274096
TCGA-DD-A73B-01,0.825927856414245,0,0.0096571609499961,0.0973697708352391,0.000619975740865483,0.0463681747249906,0.0129933723038792,0.00706368903078472,0,0.81558148692377,0.581643489416974
TCGA-DD-AACA-02,0.524594468101993,0.0793697249354326,0.0434658523318546,0.212052511157641,0.0190236589526037,0.0636002824870257,0.028533148234296,0.0293603537991541,0,0.74599758964447,0.667299542948816
TCGA-DD-AACA-01,0.538089247542,0.0475049724699604,0.0283618058084767,0.246997723379096,0.0310895058551057,0.035588397667571,0.0395459482389653,0.0328223990388253,0,0.725580036460304,0.689318283671978
