"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FCN2",0,3.81196935965979,0.974,0.061,0,"Central_venous_LSECs","FCN2"
"CRHBP",0,3.79719694518704,0.944,0.057,0,"Central_venous_LSECs","CRHBP"
"CLEC4G",0,3.6675004461498,0.944,0.043,0,"Central_venous_LSECs","CLEC4G"
"FCN3",0,3.61498160103355,0.993,0.119,0,"Central_venous_LSECs","FCN3"
"CLEC1B",0,3.47200118304056,0.895,0.039,0,"Central_venous_LSECs","CLEC1B"
"STAB1",0,3.29380996599185,0.922,0.096,0,"Central_venous_LSECs","STAB1"
"DNASE1L3",0,3.28529905764708,0.993,0.12,0,"Central_venous_LSECs","DNASE1L3"
"OIT3",0,3.24637882739045,0.869,0.034,0,"Central_venous_LSECs","OIT3"
"CCL14",0,3.2368067546061,0.931,0.083,0,"Central_venous_LSECs","CCL14"
"CLEC4M",0,3.13959729513589,0.768,0.016,0,"Central_venous_LSECs","CLEC4M"
"CLDN5",0,3.06669215021404,0.797,0.045,0,"Central_venous_LSECs","CLDN5"
"FCGR2B",0,3.01621000215896,0.869,0.058,0,"Central_venous_LSECs","FCGR2B"
"SPARC",0,2.92162426392922,0.859,0.063,0,"Central_venous_LSECs","SPARC"
"LIFR",0,2.87195425293851,0.915,0.089,0,"Central_venous_LSECs","LIFR"
"GNG11",0,2.86140571521717,0.918,0.099,0,"Central_venous_LSECs","GNG11"
"ADGRL4",0,2.85758461074677,0.735,0.034,0,"Central_venous_LSECs","ADGRL4"
"NTN4",0,2.79083287579535,0.775,0.057,0,"Central_venous_LSECs","NTN4"
"MEG3",0,2.77964985386692,0.722,0.028,0,"Central_venous_LSECs","MEG3"
"RAMP3",0,2.7412541152449,0.853,0.075,0,"Central_venous_LSECs","RAMP3"
"ENG",0,2.69623936656148,0.866,0.097,0,"Central_venous_LSECs","ENG"
"EGFL7",0,2.68395945178508,0.81,0.082,0,"Central_venous_LSECs","EGFL7"
"STAB2",0,2.67009278767235,0.647,0.014,0,"Central_venous_LSECs","STAB2"
"CD36",0,2.62826481012105,0.804,0.082,0,"Central_venous_LSECs","CD36"
"MARCKSL1",0,2.59989127138338,0.778,0.096,0,"Central_venous_LSECs","MARCKSL1"
"ADGRF5",0,2.59542198695851,0.699,0.037,0,"Central_venous_LSECs","ADGRF5"
"CCL23",0,2.57006923618696,0.601,0.027,0,"Central_venous_LSECs","CCL23"
"TSPAN7",0,2.54615775778026,0.719,0.053,0,"Central_venous_LSECs","TSPAN7"
