"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PLVAP",0,3.45154360893257,0.535,0.034,0,"LVECt","PLVAP"
"PODXL",0,3.12530570055968,0.468,0.02,0,"LVECt","PODXL"
"SOX18",0,3.06259435029894,0.45,0.017,0,"LVECt","SOX18"
"CD34",2.2997638708012e-277,2.64058751448372,0.44,0.024,3.48690198090877e-273,"LVECt","CD34"
"EMCN",3.06588698934667e-210,2.41987914693814,0.394,0.027,4.64849785324742e-206,"LVECt","EMCN"
"RAMP2",6.16464468532815e-171,2.18439489098472,0.379,0.032,9.34683427189455e-167,"LVECt","RAMP2"
"BCL6B",1.24698626543163e-161,1.76165525385797,0.241,0.012,1.89068057564744e-157,"LVECt","BCL6B"
"FLT1",3.98136987595589e-161,2.62099561696696,0.493,0.062,6.03655300592432e-157,"LVECt","FLT1"
"ESAM",1.27381508114466e-160,2.20000165587273,0.411,0.041,1.93135842603154e-156,"LVECt","ESAM"
"PECAM1",8.58586029902495e-146,2.45299989964387,0.649,0.127,1.30178813853816e-141,"LVECt","PECAM1"
"SEMA3G",1.04524330185559e-145,1.2598260240374,0.11,0.001,1.58479789427345e-141,"LVECt","SEMA3G"
"SOX17",9.6107295015145e-144,1.86332536236967,0.17,0.006,1.45717880701963e-139,"LVECt","SOX17"
"FAM107A",3.78685087224239e-143,2.52044919488079,0.372,0.038,5.74162329249391e-139,"LVECt","FAM107A"
"CALCRL",3.74010258699111e-140,2.21108199477291,0.34,0.032,5.67074354239592e-136,"LVECt","CALCRL"
"CDH5",3.74275512203847e-139,1.96444332643359,0.351,0.034,5.67476531603472e-135,"LVECt","CDH5"
"CRIP2",2.68044396219657e-138,2.28995069586491,0.543,0.087,4.06408913548244e-134,"LVECt","CRIP2"
"PALMD",8.28452888335887e-133,2.17389318038464,0.291,0.024,1.25610026929487e-128,"LVECt","PALMD"
"ADGRL4",1.17751361975963e-128,2.0031078341085,0.312,0.029,1.78534615027956e-124,"LVECt","ADGRL4"
"SLC9A3R2",3.68027133109731e-126,2.43435629896771,0.387,0.049,5.58002739220974e-122,"LVECt","SLC9A3R2"
"KDR",7.66095106814345e-126,2.06827163389336,0.301,0.028,1.16155340095191e-121,"LVECt","KDR"
"S1PR1",1.12159113191448e-124,1.9327247821253,0.316,0.031,1.70055647420874e-120,"LVECt","S1PR1"
"PLPP1",1.18862738152141e-123,2.54841363740073,0.511,0.089,1.80219683586276e-119,"LVECt","PLPP1"
"EMP1",1.3195607653634e-120,2.66409621852487,0.475,0.077,2.00071803244398e-116,"LVECt","EMP1"
"CD93",2.40420527164732e-117,2.09977138893429,0.411,0.058,3.64525603287166e-113,"LVECt","CD93"
"SPARCL1",2.29471905154958e-115,2.16570812322669,0.504,0.086,3.47925302595948e-111,"LVECt","SPARCL1"
"ICAM2",3.37545019945137e-113,1.97444970807832,0.309,0.033,5.11785759240817e-109,"LVECt","ICAM2"
"HSPG2",1.58971826159301e-112,2.29659727352039,0.468,0.08,2.41033082822732e-108,"LVECt","HSPG2"
"EGFL7",5.32814143797345e-111,2.16618534349393,0.358,0.046,8.07852804825535e-107,"LVECt","EGFL7"
"KLF2",1.81917163942686e-109,2.28439089933017,0.493,0.091,2.75822803969901e-105,"LVECt","KLF2"
"TIMP3",1.74654586964097e-102,2.52665757775823,0.578,0.133,2.64811284754964e-98,"LVECt","TIMP3"
"SPRY1",9.70218738110407e-102,2.20214181395279,0.401,0.063,1.471045650723e-97,"LVECt","SPRY1"
"JCAD",1.04032979680604e-101,1.62538984674679,0.177,0.011,1.57734803791731e-97,"LVECt","JCAD"
"PCDH17",1.43529035994146e-99,1.90736386992597,0.206,0.016,2.17618724374323e-95,"LVECt","PCDH17"
"AC142391.1",1.52591945249868e-98,1.80021395254393,0.252,0.025,2.3135990738785e-94,"LVECt","AC142391.1"
"GNG11",3.15716713507341e-98,1.86409007537536,0.457,0.081,4.78689681019831e-94,"LVECt","GNG11"
"PIK3R3",7.91067458313628e-97,1.71738886771457,0.206,0.016,1.19941648029512e-92,"LVECt","PIK3R3"
"CLEC14A",2.91592184701362e-95,1.74778477146096,0.344,0.048,4.42112070444206e-91,"LVECt","CLEC14A"
"CYYR1",3.07550161084455e-91,1.53536248498331,0.238,0.024,4.6630755423625e-87,"LVECt","CYYR1"
