"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AIF1",0,2.42053477415123,0.962,0.074,0,"Myeloid","AIF1"
"MS4A7",0,2.34411164957639,0.746,0.01,0,"Myeloid","MS4A7"
"C1QA",0,2.30190708117348,0.681,0.037,0,"Myeloid","C1QA"
"C1QB",0,2.28876913957895,0.679,0.04,0,"Myeloid","C1QB"
"C1QC",0,2.28383984915854,0.642,0.027,0,"Myeloid","C1QC"
"CD68",0,2.276521779264,0.789,0.045,0,"Myeloid","CD68"
"IGSF6",0,2.23225335267827,0.688,0.007,0,"Myeloid","IGSF6"
"CPVL",0,2.21919831868934,0.763,0.038,0,"Myeloid","CPVL"
"LYZ",0,2.14533036121211,0.949,0.135,0,"Myeloid","LYZ"
"RNASE6",0,2.13199452994065,0.719,0.02,0,"Myeloid","RNASE6"
"MS4A6A",0,2.12356396886091,0.761,0.045,0,"Myeloid","MS4A6A"
"LY86",0,2.07441985231712,0.693,0.008,0,"Myeloid","LY86"
"HLA-DMB",0,2.04384221191639,0.898,0.092,0,"Myeloid","HLA-DMB"
"FCGR2A",0,2.03826363304843,0.637,0.014,0,"Myeloid","FCGR2A"
"MNDA",0,2.03482038661012,0.648,0.011,0,"Myeloid","MNDA"
"LGALS2",0,2.02697399879745,0.605,0.025,0,"Myeloid","LGALS2"
"IFI30",0,1.9813745238063,0.71,0.046,0,"Myeloid","IFI30"
"FCER1G",0,1.97543410831006,0.921,0.108,0,"Myeloid","FCER1G"
"IL1B",0,1.95943735094205,0.524,0.009,0,"Myeloid","IL1B"
"LST1",0,1.94294745791647,0.935,0.099,0,"Myeloid","LST1"
"C1orf162",0,1.92379841350859,0.896,0.106,0,"Myeloid","C1orf162"
"CD86",0,1.92224747386506,0.611,0.008,0,"Myeloid","CD86"
"TNFSF13B",0,1.89505393023052,0.721,0.039,0,"Myeloid","TNFSF13B"
"CYBB",0,1.87161056250891,0.573,0.005,0,"Myeloid","CYBB"
"MS4A4A",0,1.85785949003996,0.498,0.005,0,"Myeloid","MS4A4A"
"CSF2RA",0,1.83309140399737,0.56,0.004,0,"Myeloid","CSF2RA"
"FGL2",0,1.8292816401183,0.788,0.079,0,"Myeloid","FGL2"
"C5AR1",0,1.80256997673567,0.492,0.008,0,"Myeloid","C5AR1"
"PLAUR",0,1.80008539224893,0.886,0.137,0,"Myeloid","PLAUR"
"RP11-1143G9.4",0,1.79962658958681,0.565,0.027,0,"Myeloid","RP11-1143G9.4"
"CLEC7A",0,1.79117311093149,0.586,0.013,0,"Myeloid","CLEC7A"
"CLEC10A",0,1.78964822588154,0.448,0.003,0,"Myeloid","CLEC10A"
"CST3",0,1.76878509301975,0.945,0.223,0,"Myeloid","CST3"
"GPNMB",0,1.76357670962509,0.431,0.016,0,"Myeloid","GPNMB"
"HCK",0,1.7515128236108,0.533,0.004,0,"Myeloid","HCK"
"MSR1",0,1.74863631211198,0.475,0.004,0,"Myeloid","MSR1"
"PILRA",0,1.73767551817208,0.505,0.004,0,"Myeloid","PILRA"
"TGFBI",0,1.73251216832895,0.59,0.04,0,"Myeloid","TGFBI"
"CXCL16",0,1.72879224280616,0.729,0.1,0,"Myeloid","CXCL16"
"VSIG4",0,1.71802639166233,0.442,0.003,0,"Myeloid","VSIG4"
"CD14",0,1.71254032834026,0.536,0.06,0,"Myeloid","CD14"
"HLA-DQA1",0,1.70755110791815,0.958,0.178,0,"Myeloid","HLA-DQA1"
"LILRB4",0,1.69990584505938,0.485,0.003,0,"Myeloid","LILRB4"
"MPEG1",0,1.68574534325985,0.481,0.004,0,"Myeloid","MPEG1"
"PHACTR1",0,1.6809514918237,0.54,0.029,0,"Myeloid","PHACTR1"
"CSF1R",0,1.68094090237116,0.489,0.003,0,"Myeloid","CSF1R"
"RAB31",0,1.65759594979341,0.611,0.054,0,"Myeloid","RAB31"
"TREM2",0,1.63689268387118,0.382,0.003,0,"Myeloid","TREM2"
"IL18",0,1.62894229970766,0.49,0.013,0,"Myeloid","IL18"
"C15orf48",0,1.62007501414808,0.663,0.108,0,"Myeloid","C15orf48"
"CTSZ",0,1.60290591361578,0.673,0.109,0,"Myeloid","CTSZ"
"THEMIS2",0,1.60230792537057,0.596,0.04,0,"Myeloid","THEMIS2"
"TYROBP",0,1.60104983852433,0.913,0.188,0,"Myeloid","TYROBP"
"HLA-DQA2",0,1.59716406027861,0.789,0.133,0,"Myeloid","HLA-DQA2"
"HLA-DQB1",0,1.59476413118284,0.977,0.225,0,"Myeloid","HLA-DQB1"
"HLA-DMA",0,1.59360521845544,0.976,0.218,0,"Myeloid","HLA-DMA"
"ITGAX",0,1.58821204295874,0.483,0.012,0,"Myeloid","ITGAX"
"LGMN",0,1.56516400056653,0.64,0.137,0,"Myeloid","LGMN"
"PLEK",0,1.56503331055229,0.755,0.094,0,"Myeloid","PLEK"
"CD163",0,1.54973217733367,0.405,0.003,0,"Myeloid","CD163"
"FOLR2",0,1.5130016859939,0.339,0.004,0,"Myeloid","FOLR2"
"MARCH1",0,1.5063377338347,0.424,0.003,0,"Myeloid","MARCH1"
"C1orf54",0,1.49921664291929,0.596,0.093,0,"Myeloid","C1orf54"
"FPR3",0,1.49685791062907,0.404,0.001,0,"Myeloid","FPR3"
"NCF2",0,1.496280118496,0.421,0.006,0,"Myeloid","NCF2"
"HMOX1",0,1.4784373883538,0.532,0.06,0,"Myeloid","HMOX1"
"SLC31A2",0,1.47389704903814,0.512,0.038,0,"Myeloid","SLC31A2"
"LY96",0,1.47022291141772,0.729,0.14,0,"Myeloid","LY96"
"FPR1",0,1.43635982464334,0.375,0.002,0,"Myeloid","FPR1"
"MAFB",0,1.423876723845,0.401,0.028,0,"Myeloid","MAFB"
