,Hepatocyte
GSM362947,0.05261609629163888
GSM362948,0.05462281402992564
GSM362949,0.06230410788552876
GSM362950,0.05158449943266796
GSM362951,0.12995393126295252
GSM362952,0.0837115096143407
GSM362953,0.15068536672054755
GSM362954,0.04129178244469056
GSM362955,0.11020933114670461
GSM362956,0.035579726481515306
GSM362957,0.12166231583072928
GSM362958,0.07064154344093931
GSM362959,0.03315927595505419
GSM362960,0.04926839938262828
GSM362961,0.18659987346514373
GSM362962,0.2433589191462182
GSM362963,0.2659778094728934
GSM362964,0.06834248222688111
GSM362965,0.07694607216248095
GSM362966,0.0970477870047819
GSM362967,0.24365897404949233
GSM362968,0.2018833778981164
GSM362969,0.20005973734640037
GSM362970,0.07175454955465177
GSM362971,0.1653968835312576
GSM362972,0.16573746696117575
GSM362973,0.26439838164308427
GSM362974,0.10996629034151417
GSM362975,0.26909435506287216
GSM362976,0.14243346561213055
GSM362977,0.21832704512564338
GSM362978,0.14628788094161083
GSM362979,0.1984398710136196
GSM362980,0.32146409990454017
GSM362981,0.14089528486765468
GSM362982,0.0752455469424611
GSM362983,0.05211519393436781
GSM362984,0.11982932118010459
GSM362985,0.1816477387859522
GSM362986,0.04851830711726657
GSM362987,0.07233309954802791
GSM362988,0.07442537413440897
GSM362989,0.18323480454416763
GSM362990,0.19276049113719207
GSM362991,0.09974126157130692
GSM362992,0.07185505379569623
GSM362993,0.06659871092429925
GSM362994,0.09916442714815676
GSM362995,0.15569060368788046
GSM362996,0.1569646415697198
GSM362997,0.1932101274886584
GSM362998,0.2805583931463339
GSM362999,0.49741352745985323
GSM363000,0.1834389797046787
GSM363001,0.2758419526065017
GSM363002,0.12701070080431842
GSM363003,0.27117559963570115
GSM363004,0.2040197963516195
GSM363005,0.2272058971297367
GSM363006,0.25368928807602364
GSM363007,0.15379252768821772
GSM363008,0.0845414180504529
GSM363009,0.027590985396182655
GSM363010,0.022513312538593122
GSM363011,0.03651806157770188
GSM363012,0.19975734525983868
GSM363013,0.06174045160125019
GSM363014,0.1340556646821457
GSM363015,0.09525421156548186
GSM363016,0.14374620758132106
GSM363017,0.04908147724172207
GSM363018,0.17283028462539007
GSM363019,0.28939677815941056
GSM363020,0.2546196175389396
GSM363021,0.2621910088537919
GSM363022,0.2577326952390716
GSM363023,0.2664310461549313
GSM363024,0.17494137719933833
GSM363025,0.22377219690443861
GSM363026,0.2426737302223212
GSM363027,0.20150731754333773
GSM363028,0.12450308165078183
GSM363029,0.07671841924591238
GSM363030,0.03812364736388085
GSM363031,0.10206153568854015
GSM363032,0.03664239596757379
GSM363033,0.05788141288550175
GSM363034,0.13042668949013025
GSM363035,0.19042116313660662
GSM363036,0.12928299430540946
GSM363037,0.08007171259448431
GSM363038,0.07280182608210872
GSM363039,0.13780052567719092
GSM363040,0.3548268417262861
GSM363041,0.03760548247400486
GSM363042,0.27187056498172435
GSM363043,0.16015785404000393
GSM363044,0.25147294440455825
GSM363045,0.012621050513257015
GSM363046,0.21244203409839568
GSM363047,0.3057189330467871
GSM363048,0.07950829598678966
GSM363049,0.09682405269234118
GSM363050,0.05026077620652025
GSM363051,0.036859730625967035
GSM363052,0.03153697701071445
GSM363053,0.10756475980576519
GSM363054,0.016716622765582834
GSM363055,0.006995525494439603
GSM363056,0.050110647037805545
GSM363057,0.11939489836103978
GSM363058,0.3094247941927053
GSM363059,0.174123142282115
GSM363060,0.30498154231478025
GSM363061,0.27704655440730264
GSM363062,0.21111850620254602
GSM363063,0.365293175644404
GSM363064,0.3357450678192291
GSM363065,0.2617280002291935
GSM363066,0.2567562835083178
GSM363067,0.1420550519965318
GSM363068,0.18524644320347083
GSM363069,0.04127458069805179
GSM363070,0.03333895242775309
GSM363071,0.0883089516259925
GSM363072,0.09745293263368549
GSM363073,0.1376621630642927
GSM363074,0.1476997207717251
GSM363075,0.09683406509483539
GSM363076,0.034437219924902784
GSM363077,0.08916587310323498
GSM363078,0.1219837213664755
GSM363079,0.0550349466962492
GSM363080,0.008576018246003292
GSM363081,0.013691748859446129
GSM363082,0.13771680585227808
GSM363083,0.015347025220084465
GSM363084,0.16477644948154802
GSM363085,0.03742868444148861
GSM363086,0.11668875791998712
GSM363087,0.07043798807725121
GSM363088,0.006837364955459169
GSM363089,0.23731661905784596
GSM363090,0.25813270444101244
GSM363091,0.221489418652978
GSM363092,0.4136993695438729
GSM363093,0.3218276986604751
GSM363094,0.3546057508753109
GSM363095,0.15477727478938386
GSM363096,0.19265924736741336
GSM363097,0.23667864993210008
GSM363098,0.06309756824006951
GSM363099,0.026886939387968378
GSM363100,0.03164762823964429
GSM363101,0.08295049593995818
GSM363102,0.17881984476209778
GSM363103,0.17660016800597245
GSM363104,0.29978904169836096
GSM363105,0.10071795281471796
GSM363106,0.0746187791664803
GSM363107,0.10649175678057698
GSM363108,0.1541989403508094
GSM363109,0.05589484112177079
GSM363110,0.20059763329140923
GSM363111,0.20345284917289752
GSM363112,0.2984773981426404
GSM363113,0.2598591718432456
GSM363114,0.2662276330442759
GSM363115,0.12930972698517007
GSM363116,0.23844692885599617
GSM363117,0.18181839543219858
GSM363118,0.19002909006787128
GSM363119,0.2411140749598435
GSM363120,0.20038700542801835
GSM363121,0.06269512102552754
GSM363122,0.14172572926510518
GSM363123,0.15100891279386452
GSM363124,0.2062920059959844
GSM363125,0.10388364269372996
GSM363126,0.10825214365127767
GSM363127,0.04264048470163717
GSM363128,0.08616153493085876
GSM363129,0.026763734604141498
GSM363130,0.13662422807878483
GSM363131,0.24555203473723308
GSM363132,0.26472627828594
GSM363133,0.28780592258395044
GSM363134,0.3121927459108117
GSM363135,0.1989704258097682
GSM363136,0.3266772197374195
GSM363137,0.18846819704187556
GSM363138,0.3013465822627748
GSM363139,0.19768418392102372
GSM363140,0.3080444242203394
GSM363141,0.2543598487677028
GSM363142,0.12677502407507146
GSM363143,0.030650195690927196
GSM363144,0.12686301964333535
GSM363145,0.03736255158440671
GSM363146,0.013527719379695435
GSM363147,0.06894322621082727
GSM363148,0.13007618955195865
GSM363149,0.19885657996366612
GSM363150,0.029040536227783686
GSM363151,0.11575475612510167
GSM363152,0.0955520359905595
GSM363153,0.2559896696063897
GSM363154,0.34694613552540576
GSM363155,0.4073421162365056
GSM363156,0.22731322944795984
GSM363157,0.3134038589702862
GSM363158,0.39976731082839967
GSM363159,0.3613494583792485
GSM363160,0.2610817522003974
GSM363161,0.23397775744182647
GSM363162,0.2266925085078425
GSM363163,0.2217368904017465
GSM363164,0.1274698960207914
GSM363165,0.20197301087508968
GSM363166,0.044440720370973685
GSM363167,0.25316712804359165
GSM363168,0.10347199656329709
GSM363169,0.07182259486663733
GSM363170,0.06427955702981936
GSM363171,0.17561631048376025
GSM363172,0.04656550619199995
GSM363173,0.10433360242475276
GSM363174,0.07118496631106974
GSM363175,0.17804864879902027
GSM363176,0.13504323413872288
GSM363177,0.1793785687924534
GSM363178,0.0999714105594307
GSM363179,0.1900856870238552
GSM363180,0.06568594735693711
GSM363181,0.19724024643124127
GSM363182,0.09202361347238663
GSM363183,0.12370034635728255
GSM363184,0.008535510315357264
GSM363185,0.12051138800457162
GSM363186,0.15654001802280348
GSM363187,0.2537494116160818
GSM363188,0.10020050162993455
GSM363189,0.16659579331220564
GSM363190,0.06299754156128656
GSM363191,0.13305579394625944
GSM363192,0.07779500484309776
GSM363193,0.15810175039353225
GSM363194,0.03902205729380226
GSM363195,0.23966219446265224
GSM363196,0.08995202677745073
GSM363197,0.16043286815901747
GSM363198,0.07021528980936154
GSM363199,0.21141395033160526
GSM363200,0.09285460634862319
GSM363201,0.23613657443282443
GSM363202,0.10029431235769148
GSM363203,0.18995332094020978
GSM363204,0.05691746818653143
GSM363205,0.08095053636303273
GSM363206,0.1392876894001197
GSM363207,0.04531342490757062
GSM363208,0.08851865111336632
GSM363209,0.06493136551346179
GSM363210,0.1692406164394923
GSM363211,0.04921627305192333
GSM363212,0.10133376020171125
GSM363213,0.07872943377216479
GSM363214,0.20957545823639256
GSM363215,0.07012247493076795
GSM363216,0.13655701017117128
GSM363217,0.018306539282957668
GSM363218,0.034643576708678236
GSM363219,0.16156451674561023
GSM363220,0.08572038844248353
GSM363221,0.19381754238270088
GSM363222,0.035989963542903514
GSM363223,0.2370013709876474
GSM363224,0.06614830183452836
GSM363225,0.1973963510226483
GSM363226,0.13694722480898514
GSM363227,0.15680811775710957
GSM363228,0.07050082502351929
GSM363229,0.21176824766992863
GSM363230,0.10359079497282375
GSM363231,0.16791965877319925
GSM363232,0.061242963714339016
GSM363233,0.16176424479459584
GSM363234,0.15736451692789277
GSM363235,0.032662390597359425
GSM363236,0.10721336940728943
GSM363237,0.02001283179098412
GSM363238,0.12859878394228974
GSM363239,0.06844588470100588
GSM363240,0.15013808547474727
GSM363241,0.12404355060813299
GSM363242,0.19852419145184586
GSM363243,0.1942653744238647
GSM363244,0.16040515147709367
GSM363245,0.025848199222126333
GSM363246,0.14708751968678302
GSM363247,0.11053948088599352
GSM363248,0.18944606145063037
GSM363249,0.05362562266074011
GSM363250,0.2205946244349637
GSM363251,0.08450557270564873
GSM363252,0.1688949267160823
GSM363253,0.1599112597059229
GSM363254,0.17631602367396293
GSM363255,0.18834273213640462
GSM363256,0.14711960900509846
GSM363257,0.173705502849118
GSM363258,0.19150714267332425
GSM363259,0.18495268938687026
